0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on April 15, 2016","AUC as on April 15, 2016","AUC as on April 15, 2016","AUC as on April 15, 2016","AUC as on April 15, 2016","AUC as on April 15, 2016","Net Investment April 01-15, 2016","Net Investment April 01-15, 2016","Net Investment April 01-15, 2016","Net Investment April 01-15, 2016","Net Investment April 01-15, 2016","Net Investment April 01-15, 2016","Net Investment April 16-30, 2016","Net Investment April 16-30, 2016","Net Investment April 16-30, 2016","Net Investment April 16-30, 2016","Net Investment April 16-30, 2016","Net Investment April 16-30, 2016","AUC as on April 30, 2016","AUC as on April 30, 2016","AUC as on April 30, 2016","AUC as on April 30, 2016","AUC as on April 30, 2016","AUC as on April 30, 2016","April 30, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"April 30, 2016"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"April 30, 2016"
1,Automobiles & Auto Components,120484,270,120754,18137,41,18178,-4,0,-4,-1,0,-1,381,0,381,57,0,57,118437,270,118707,17805,41,17846,"April 30, 2016"
2,Total Financial Services,387280,46372,433652,58300,6981,65280,-349,-1006,-1355,-52,-151,-204,-420,-1005,-1425,-63,-151,-214,392520,46079,438599,59010,6927,65937,"April 30, 2016"
2a,Banks,182691,2117,184809,27502,319,27820,95,0,95,14,0,14,164,3,168,25,1,25,191400,2117,193517,28774,318,29093,"April 30, 2016"
2b,Other Financial Services1,204588,44255,248843,30798,6662,37460,-444,-1006,-1450,-67,-151,-218,-585,-1008,-1593,-88,-152,-239,201121,43961,245082,30236,6609,36845,"April 30, 2016"
3,Capital Goods,101124,877,102001,15223,132,15355,428,0,428,64,0,64,437,0,437,66,0,66,101678,877,102556,15286,132,15418,"April 30, 2016"
4,Chemicals & Petrochemicals,23558,0,23558,3546,0,3546,67,0,67,10,0,10,79,0,79,12,0,12,24364,0,24364,3663,0,3663,"April 30, 2016"
5,Coal,14887,0,14887,2241,0,2241,-165,0,-165,-25,0,-25,-153,0,-153,-23,0,-23,15220,0,15220,2288,0,2288,"April 30, 2016"
6,Commercial Services & Supplies,4442,200,4642,669,30,699,10,0,10,1,0,1,38,0,38,6,0,6,4583,200,4783,689,30,719,"April 30, 2016"
7,Construction Materials,41588,1007,42594,6260,152,6412,212,27,239,32,4,36,196,0,196,29,0,29,40753,1007,41760,6127,151,6278,"April 30, 2016"
8,Consumer Durables,4866,0,4866,733,0,733,-106,0,-106,-16,0,-16,8,0,8,1,0,1,5027,0,5027,756,0,756,"April 30, 2016"
9,Diversified2,3028,0,3028,456,0,456,-3,0,-3,0,0,0,-3,0,-3,-1,0,-1,3024,0,3024,455,0,455,"April 30, 2016"
10,Diversified Consumer Services,272,0,272,41,0,41,1,0,1,0,0,0,14,0,14,2,0,2,279,0,279,42,0,42,"April 30, 2016"
11,"Food, Beverages & Tobacco",87490,50,87540,13170,8,13178,135,0,135,20,0,20,82,0,82,12,0,12,86061,50,86111,12938,8,12946,"April 30, 2016"
12,Forest Materials,899,0,899,135,0,135,11,0,11,2,0,2,12,0,12,2,0,2,923,0,923,139,0,139,"April 30, 2016"
13,General Industrials,13856,385,14241,2086,58,2144,73,0,73,11,0,11,-5,0,-5,-1,0,-1,13839,385,14224,2081,58,2138,"April 30, 2016"
14,Hardware Technology & Equipment,36,0,36,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,5,0,5,"April 30, 2016"
15,Healthcare Equipment & Supplies,6,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,1,0,1,"April 30, 2016"
16,Healthcare Services,9415,0,9415,1417,0,1417,23,0,23,3,0,3,-31,0,-31,-5,0,-5,9144,0,9144,1375,0,1375,"April 30, 2016"
17,"Hotels, Restaurants & Tourism",6552,125,6677,986,19,1005,6,0,6,1,0,1,240,0,240,36,0,36,6217,125,6342,935,19,953,"April 30, 2016"
18,Household & Personal Products,71458,0,71458,10757,0,10757,24,0,24,4,0,4,186,0,186,28,0,28,70839,0,70839,10650,0,10650,"April 30, 2016"
19,Media,27681,759,28439,4167,114,4281,-17,0,-17,-3,0,-3,-8,0,-8,-1,0,-1,28503,760,29263,4285,114,4399,"April 30, 2016"
20,Metals & Mining,25246,758,26004,3800,114,3914,428,0,428,64,0,64,420,12,432,63,2,65,26702,770,27471,4014,116,4130,"April 30, 2016"
