0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on April 15, 2017","AUC as on April 15, 2017","AUC as on April 15, 2017","AUC as on April 15, 2017","AUC as on April 15, 2017","AUC as on April 15, 2017","Net Investment April 01-15, 2017","Net Investment April 01-15, 2017","Net Investment April 01-15, 2017","Net Investment April 01-15, 2017","Net Investment April 01-15, 2017","Net Investment April 01-15, 2017","Net Investment April 16-30, 2017","Net Investment April 16-30, 2017","Net Investment April 16-30, 2017","Net Investment April 16-30, 2017","Net Investment April 16-30, 2017","Net Investment April 16-30, 2017","AUC as on April 30, 2017","AUC as on April 30, 2017","AUC as on April 30, 2017","AUC as on April 30, 2017","AUC as on April 30, 2017","AUC as on April 30, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,152151,317,152468,23657,49,23706,-296,0,-296,-46,0,-46,-781,0,-781,-122,0,-122,158318,317,158636,24654,49,24703
2,Total Financial Services,552553,40485,593037,85911,6295,92206,3728,1221,4949,580,190,770,352,4968,5320,55,774,828,575105,45416,620521,89556,7072,96629
2a,Banks,273169,4436,277605,42473,690,43162,3837,253,4090,597,39,636,103,160,263,16,25,41,285722,4576,290298,44493,713,45206
2b,Other Financial Services1,279384,36048,315432,43439,5605,49044,-109,968,859,-17,151,134,249,4808,5057,39,749,788,289383,40840,330223,45063,6360,51423
3,Capital Goods,127296,847,128143,19792,132,19924,503,0,503,78,0,78,199,0,199,31,0,31,129530,847,130377,20171,132,20303
4,Chemicals & Petrochemicals,32600,0,32600,5069,0,5069,-335,0,-335,-52,0,-52,-439,0,-439,-68,0,-68,34594,0,34594,5387,0,5387
5,Coal,11843,0,11843,1841,0,1841,22,0,22,3,0,3,13,0,13,2,0,2,11339,0,11339,1766,0,1766
6,Commercial Services & Supplies,5664,200,5864,881,31,912,2,0,2,0,0,0,-334,0,-334,-52,0,-52,5490,200,5690,855,31,886
7,Construction Materials,54991,649,55639,8550,101,8651,73,0,73,11,0,11,955,0,955,149,0,149,59207,649,59856,9220,101,9321
8,Consumer Durables,4087,0,4087,635,0,635,2,0,2,0,0,0,6,0,6,1,0,1,4162,0,4162,648,0,648
