0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,ReportDate
,,"AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","AUC as on April 15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 01-15, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","Net Investment April 16-30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","AUC as on April 30, 2020","April 30, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"April 30, 2020"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"April 30, 2020"
1,Automobiles & Auto Components,99970,317,0,100287,13107,42,0,13149,-505,0,0,-505,-66,0,0,-66,-1418,0,0,0,-1418,-189,0,0,0,-189,107705,317,0,0,108022,14339,42,0,0,14381,"April 30, 2020"
2,Total Financial Services,702001,36963,0,738964,92036,4846,0,96882,-30,-2072,0,-2102,-4,-272,0,-276,-723,-1615,25,0,-2313,-96,-215,3,0,-308,804814,34533,7157,0,846504,107144,4597,953,0,112694,"April 30, 2020"
2a,Banks,408631,7923,0,416554,53574,1039,0,54613,1454,-440,0,1014,191,-58,0,133,-216,-195,0,0,-411,-29,-26,0,0,-55,465367,7788,0,0,473155,61954,1037,0,0,62991,"April 30, 2020"
2b,Other Financial Services1,293370,29041,0,322411,38463,3807,0,42270,-1484,-1632,0,-3116,-195,-214,0,-409,-507,-1420,25,0,-1902,-68,-189,3,0,-254,339448,26746,7157,0,373351,45190,3561,953,0,49704,"April 30, 2020"
3,Capital Goods,61147,463,0,61610,8017,61,0,8078,-229,0,0,-229,-30,0,0,-30,154,-35,0,0,119,21,-5,0,0,16,64930,428,0,0,65358,8644,57,0,0,8701,"April 30, 2020"
4,Chemicals & Petrochemicals,32913,0,0,32913,4315,0,0,4315,-147,0,0,-147,-19,0,0,-19,-242,0,0,0,-242,-32,0,0,0,-32,36390,0,310,0,36700,4845,0,41,0,4886,"April 30, 2020"
5,Coal,7407,0,0,7407,971,0,0,971,-72,0,0,-72,-9,0,0,-9,-119,0,0,0,-119,-16,0,0,0,-16,7347,0,0,0,7347,978,0,0,0,978,"April 30, 2020"
6,Commercial Services & Supplies,5770,0,0,5770,756,0,0,756,-96,0,0,-96,-13,0,0,-13,-121,0,0,0,-121,-16,0,0,0,-16,5505,0,0,0,5505,733,0,0,0,733,"April 30, 2020"
7,Construction Materials,41714,409,0,42123,5469,54,0,5523,-470,0,0,-470,-62,0,0,-62,-535,0,0,0,-535,-71,0,0,0,-71,41484,409,10,0,41903,5523,54,1,0,5578,"April 30, 2020"
8,Consumer Durables,47189,0,0,47189,6187,0,0,6187,45,0,0,45,6,0,0,6,334,0,0,0,334,45,0,0,0,45,48798,0,0,0,48798,6496,0,0,0,6496,"April 30, 2020"
9,Diversified2,5212,0,0,5212,683,0,0,683,5,0,0,5,1,0,0,1,-112,0,0,0,-112,-15,0,0,0,-15,5552,0,0,0,5552,739,0,0,0,739,"April 30, 2020"
10,Diversified Consumer Services,1917,0,0,1917,251,0,0,251,-10,0,0,-10,-1,0,0,-1,-18,0,0,0,-18,-2,0,0,0,-2,1920,0,0,0,1920,256,0,0,0,256,"April 30, 2020"
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"April 30, 2020"
