0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on April 15, 2024","AUC as on April 15, 2024","AUC as on April 15, 2024","AUC as on April 15, 2024","AUC as on April 15, 2024","AUC as on April 15, 2024","AUC as on April 15, 2024","AUC as on April 15, 2024","AUC as on April 15, 2024","AUC as on April 15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 01-15, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","Net Investment April 16-30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","AUC as on April 30, 2024","April 30, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"April 30, 2024"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"April 30, 2024"
1,Automobile and Auto Components,488843,163,11,0,489017,58585,20,1,0,58606,1679,-1,0,0,1678,201,0,0,0,201,-560,0,0,0,-560,-67,0,0,0,-67,507247,163,11,0,507421,60734,19,1,0,60754,"April 30, 2024"
2,Capital Goods,307107,771,29,0,307907,36805,92,4,0,36901,1228,0,0,0,1228,147,0,0,0,147,2408,0,0,0,2408,288,0,0,0,288,329054,771,29,0,329854,39399,92,4,0,39495,"April 30, 2024"
3,Chemicals,101782,0,615,0,102397,12198,0,74,0,12272,373,0,0,0,373,45,0,0,0,45,405,0,0,0,405,48,0,0,0,48,105526,0,615,0,106141,12635,0,74,0,12709,"April 30, 2024"
4,Construction,143498,418,0,90,144006,17197,50,0,11,17258,827,5,0,-4,828,99,1,0,-1,99,-547,0,0,-10,-557,-66,0,0,-1,-67,144517,418,0,80,145015,17304,50,0,10,17364,"April 30, 2024"
5,Construction Materials,112072,1275,60,0,113407,13431,153,7,0,13591,-704,1250,0,0,546,-84,150,0,0,66,-224,0,0,0,-224,-27,0,0,0,-27,115258,1275,60,0,116593,13800,153,7,0,13960,"April 30, 2024"
6,Consumer Durables,193887,0,0,0,193887,23236,0,0,0,23236,-1624,0,0,0,-1624,-195,0,0,0,-195,-111,0,0,0,-111,-13,0,0,0,-13,199567,0,0,0,199567,23895,0,0,0,23895,"April 30, 2024"
7,Consumer Services,242696,1109,1086,0,244891,29085,133,130,0,29348,1713,0,0,0,1713,205,0,0,0,205,-386,0,0,0,-386,-46,0,0,0,-46,250517,1109,1086,0,252712,29995,133,130,0,30258,"April 30, 2024"
8,Diversified,5983,168,0,0,6151,717,20,0,0,737,17,0,0,0,17,2,0,0,0,2,36,0,0,0,36,4,0,0,0,4,6406,168,0,0,6574,767,20,0,0,787,"April 30, 2024"
9,Fast Moving Consumer Goods,392846,133,285,0,393264,47080,16,34,0,47130,-4351,0,0,0,-4351,-521,0,0,0,-521,-3563,0,0,0,-3563,-427,0,0,0,-427,400346,133,285,0,400764,47935,16,34,0,47985,"April 30, 2024"
10,Financial Services,1885646,21708,12223,0,1919577,225982,2602,1465,0,230049,3212,138,859,0,4209,385,17,103,0,505,-12550,-738,726,0,-12562,-1503,-88,87,0,-1504,1930820,21065,13046,0,1964931,231184,2522,1562,0,235268,"April 30, 2024"
11,Forest Materials,2876,467,0,0,3343,345,56,0,0,401,-4,0,0,0,-4,-1,0,0,0,-1,24,0,0,0,24,3,0,0,0,3,3219,467,0,0,3686,385,56,0,0,441,"April 30, 2024"
12,Healthcare,375427,183,0,0,375610,44992,22,0,0,45014,61,0,0,0,61,7,0,0,0,7,-768,0,0,0,-768,-92,0,0,0,-92,377756,183,0,0,377939,45230,22,0,0,45252,"April 30, 2024"
13,Information Technology,590231,0,361,0,590592,70735,0,43,0,70778,-4658,0,0,0,-4658,-558,0,0,0,-558,-4915,0,0,0,-4915,-588,0,0,0,-588,563600,0,361,0,563961,67482,0,43,0,67525,"April 30, 2024"
14,"Media, Entertainment & Publication",12322,0,90,0,12412,1477,0,11,0,1488,-127,0,0,0,-127,-15,0,0,0,-15,73,0,0,0,73,9,0,0,0,9,12797,0,82,0,12879,1532,0,10,0,1542,"April 30, 2024"
15,Metals & Mining,204400,71,0,0,204471,24496,8,0,0,24504,279,0,-1500,0,-1221,33,0,-180,0,-147,-520,0,0,0,-520,-62,0,0,0,-62,209767,71,0,0,209838,25116,8,0,0,25124,"April 30, 2024"
16,"Oil, Gas & Consumable Fuels",602737,439,0,0,603176,72234,53,0,0,72287,-923,0,0,0,-923,-111,0,0,0,-111,-1443,0,0,0,-1443,-173,0,0,0,-173,605043,439,0,0,605482,72444,53,0,0,72497,"April 30, 2024"
17,Power,291821,3560,105,6773,302259,34973,427,13,812,36225,5143,0,0,29,5172,617,0,0,4,621,-834,-41,-5,-7,-887,-100,-5,-1,-1,-107,305933,3519,100,6863,316415,36631,421,12,822,37886,"April 30, 2024"
18,Realty,136921,190,701,20059,157871,16409,23,84,2404,18920,616,0,0,53,669,74,0,0,6,80,-662,0,0,49,-613,-79,0,0,6,-73,140263,190,694,20442,161589,16794,23,83,2448,19348,"April 30, 2024"
19,Services,136669,1056,0,4058,141783,16379,127,0,486,16992,746,0,0,-4,742,89,0,0,0,89,1764,-8,0,-12,1744,211,-1,0,-1,209,145255,1048,0,4057,150360,17392,125,0,486,18003,"April 30, 2024"
20,Telecommunication,205142,278,0,6934,212354,24585,33,0,831,25449,1659,0,0,0,1659,199,0,0,0,199,6619,-87,0,0,6532,792,-10,0,0,782,229378,193,0,6934,236505,27464,23,0,830,28317,"April 30, 2024"
21,Textiles,19438,460,0,0,19898,2330,55,0,0,2385,-134,0,0,0,-134,-16,0,0,0,-16,383,0,0,0,383,45,0,0,0,45,20240,460,0,0,20700,2423,55,0,0,2478,"April 30, 2024"
22,Utilities,1713,100,0,0,1813,205,12,0,0,217,6,0,0,0,6,1,0,0,0,1,-57,0,0,0,-57,-7,0,0,0,-7,1824,100,0,0,1924,218,12,0,0,230,"April 30, 2024"
23,Sovereign,0,230745,2486,0,233231,0,27653,298,0,27951,0,-6477,1081,0,-5396,0,-776,130,0,-646,0,-7844,-837,0,-8681,0,-939,-100,0,-1039,0,221238,1672,0,222910,0,26490,200,0,26690,"April 30, 2024"
24,Others,22911,81999,133469,4793,243172,2746,9827,15995,574,29142,373,4841,1533,0,6747,44,580,184,0,808,1348,-1987,1410,0,771,162,-238,169,0,93,23348,79398,134483,4793,242022,2796,9507,16102,574,28979,"April 30, 2024"
,Grand Total,6476964,345293,151520,42707,7016484,776222,41381,18159,5118,840880,5408,-244,1973,74,7211,648,-29,236,9,864,-14079,-10705,1294,20,-23470,-1686,-1282,155,2,-2811,6627680,332408,152524,43170,7155782,793556,39800,18262,5169,856787,"April 30, 2024"
