0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on July 31, 2014","AUC  as on July 31, 2014","AUC  as on July 31, 2014","AUC  as on July 31, 2014","AUC  as on July 31, 2014","AUC  as on July 31, 2014","Net  Investment July 16-31, 2014","Net  Investment July 16-31, 2014","Net  Investment July 16-31, 2014","Net  Investment July 16-31, 2014","Net  Investment July 16-31, 2014","Net  Investment July 16-31, 2014","Net  Investment August 1-15, 2014","Net  Investment August 1-15, 2014","Net  Investment August 1-15, 2014","Net  Investment August 1-15, 2014","Net  Investment August 1-15, 2014","Net  Investment August 1-15, 2014","AUC  as on August 15, 2014","AUC  as on August 15, 2014","AUC  as on August 15, 2014","AUC  as on August 15, 2014","AUC  as on August 15, 2014","AUC  as on August 15, 2014","August 15, 2014"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"August 15, 2014"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"August 15, 2014"
1,Automobiles & Auto Components,96167,0,96167,15962,0,15962,1015,0,1015,169,0,169,342,0,342,56,0,56,99570,0,99570,16307,0,16307,"August 15, 2014"
2,Total Financial Services,432676,41334,474010,71818,6861,78679,1761,1146,2907,292,190,482,320,-1382,-1063,52,-226,-174,435653,40393,476046,71350,6616,77966,"August 15, 2014"
2a,Banks,238605,89,238694,39605,15,39620,1076,0,1076,179,0,179,355,0,355,58,0,58,236303,89,236392,38701,15,38716,"August 15, 2014"
2b,Other Financial Services1,194071,41245,235316,32213,6846,39059,685,1146,1830,114,190,304,-36,-1382,-1418,-6,-226,-232,199350,40304,239654,32649,6601,39250,"August 15, 2014"
3,Capital Goods,108888,51,108939,18074,8,18082,-750,0,-750,-124,0,-124,-1505,0,-1505,-246,0,-246,108982,51,109033,17849,8,17857,"August 15, 2014"
4,Chemicals & Petrochemicals,16916,0,16916,2808,0,2808,-26,0,-26,-4,0,-4,-186,0,-186,-30,0,-30,16571,0,16571,2714,0,2714,"August 15, 2014"
5,Coal,13072,0,13072,2170,0,2170,25,0,25,4,0,4,-63,0,-63,-10,0,-10,12530,0,12530,2052,0,2052,"August 15, 2014"
6,Commercial Services & Supplies,12936,0,12936,2147,0,2147,15,0,15,2,0,2,99,0,99,16,0,16,13964,0,13964,2287,0,2287,"August 15, 2014"
7,Construction Materials,34839,370,35209,5783,61,5844,-366,0,-366,-61,0,-61,-238,250,12,-39,41,2,36611,620,37231,5996,102,6098,"August 15, 2014"
8,Consumer Durables,6264,0,6264,1040,0,1040,-9,0,-9,-2,0,-2,-37,0,-37,-6,0,-6,6301,0,6301,1032,0,1032,"August 15, 2014"
9,Diversified2,3744,0,3744,621,0,621,-10,0,-10,-2,0,-2,30,0,30,5,0,5,3760,0,3760,616,0,616,"August 15, 2014"
10,Diversified Consumer Services,255,0,255,42,0,42,0,0,0,0,0,0,2,0,2,0,0,0,267,0,267,44,0,44,"August 15, 2014"
11,"Food, Beverages & Tobacco",86527,0,86527,14362,0,14362,750,0,750,125,0,125,305,0,305,50,0,50,87623,0,87623,14351,0,14351,"August 15, 2014"
12,Forest Materials,742,0,742,123,0,123,-5,0,-5,-1,0,-1,2,0,2,0,0,0,753,0,753,123,0,123,"August 15, 2014"
13,General Industrials,11207,0,11207,1860,0,1860,67,0,67,11,0,11,26,0,26,4,0,4,11174,0,11174,1830,0,1830,"August 15, 2014"
14,Hardware Technology & Equipment,99,0,99,16,0,16,-2,0,-2,0,0,0,-2,0,-2,0,0,0,96,0,96,16,0,16,"August 15, 2014"
15,Healthcare Equipment & Supplies,191,0,191,32,0,32,-10,0,-10,-2,0,-2,-3,0,-3,0,0,0,164,0,164,27,0,27,"August 15, 2014"
16,Healthcare Services,6215,125,6340,1032,21,1052,37,0,37,6,0,6,18,0,18,3,0,3,6865,125,6990,1124,20,1145,"August 15, 2014"
17,"Hotels, Restaurants & Tourism",6935,0,6935,1151,0,1151,53,0,53,9,0,9,-87,0,-87,-14,0,-14,6334,0,6334,1037,0,1037,"August 15, 2014"
18,Household & Personal Products,50894,0,50894,8448,0,8448,106,0,106,18,0,18,193,0,193,32,0,32,53054,0,53054,8689,0,8689,"August 15, 2014"
19,Media,23864,980,24845,3961,163,4124,182,16,198,30,3,33,-34,-2,-36,-6,0,-6,21851,872,22724,3579,143,3722,"August 15, 2014"
20,Metals & Mining,59690,634,60323,9908,105,10013,678,10,688,112,2,114,156,0,156,26,0,26,59186,633,59820,9693,104,9797,"August 15, 2014"
21,Oil & Gas,110344,2303,112647,18316,382,18698,-260,95,-165,-43,16,-27,-225,-35,-260,-37,-6,-43,111008,2268,113276,18181,371,18552,"August 15, 2014"
22,Pharmaceuticals & Biotechnology,117628,25,117653,19525,4,19529,491,0,491,81,0,81,186,0,186,30,0,30,119323,25,119348,19542,4,19547,"August 15, 2014"
23,Realty,19698,250,19948,3270,41,3311,16,0,16,3,0,3,544,0,544,89,0,89,19375,250,19625,3173,41,3214,"August 15, 2014"
24,Retailing,4321,0,4321,717,0,717,11,0,11,2,0,2,-14,0,-14,-2,0,-2,4585,0,4585,751,0,751,"August 15, 2014"
25,Software & Services,249836,0,249836,41469,0,41469,541,0,541,90,0,90,344,0,344,56,0,56,252657,0,252657,41380,0,41380,"August 15, 2014"
26,Telecom Services,47375,460,47835,7864,76,7940,73,0,73,12,0,12,-120,0,-120,-20,0,-20,45846,460,46306,7509,75,7584,"August 15, 2014"
27,Telecommunications Equipment,159,0,159,26,0,26,1,0,1,0,0,0,2,0,2,0,0,0,153,0,153,25,0,25,"August 15, 2014"
28,"Textiles, Apparels & Accessories",23004,0,23004,3818,0,3818,48,0,48,8,0,8,-86,0,-86,-14,0,-14,23006,0,23006,3768,0,3768,"August 15, 2014"
29,Transportation,25796,0,25796,4282,0,4282,-13,0,-13,-2,0,-2,-532,0,-532,-87,0,-87,25499,0,25499,4176,0,4176,"August 15, 2014"
29 a,Airlines,98,0,98,16,0,16,1,0,1,0,0,0,-2,0,-2,0,0,0,92,0,92,15,0,15,"August 15, 2014"
29 b,Logistics,1800,0,1800,299,0,299,-11,0,-11,-2,0,-2,-65,0,-65,-11,0,-11,1807,0,1807,296,0,296,"August 15, 2014"
29 c,Marine Port & Services,12864,0,12864,2135,0,2135,63,0,63,10,0,10,-377,0,-377,-62,0,-62,12857,0,12857,2106,0,2106,"August 15, 2014"
29 d,Roads & Highways,2678,0,2678,444,0,444,-53,0,-53,-9,0,-9,-33,0,-33,-5,0,-5,2534,0,2534,415,0,415,"August 15, 2014"
29 e,Shipping,1503,0,1503,249,0,249,3,0,3,0,0,0,-56,0,-56,-9,0,-9,1433,0,1433,235,0,235,"August 15, 2014"
29 f,Surface Transportation,25,0,25,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,4,0,4,"August 15, 2014"
29 g,Transport Related Services,6829,0,6829,1134,0,1134,-18,0,-18,-3,0,-3,0,0,0,0,0,0,6751,0,6751,1106,0,1106,"August 15, 2014"
30,Utilities3,69696,1157,70853,11569,192,11761,25,50,75,4,8,12,-303,30,-273,-50,5,-45,67585,1187,68772,11069,194,11263,"August 15, 2014"
31,Sovereign,0,118516,118516,0,19672,19672,0,9116,9116,0,1513,1513,0,-2471,-2471,0,-405,-405,0,115767,115767,0,18960,18960,"August 15, 2014"
32,Others4,115757,50007,165764,19214,8300,27514,406,2083,2489,67,346,413,2014,-1663,351,330,-272,58,117485,48666,166151,19241,7970,27212,"August 15, 2014"
,Grand Total,1755734,216211,1971945,291428,35888,327316,4852,12516,17368,805,2077,2883,1150,-5273,-4123,188,-864,-675,1767828,211318,1979146,289531,34609,324140,"August 15, 2014"
,,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"1 ""Other Financial Services"" includes Financial Sector other than ""Bank"".  Sub-category under ""Other  Financial Services"" are as follows:","1 ""Other Financial Services"" includes Financial Sector other than ""Bank"".  Sub-category under ""Other  Financial Services"" are as follows:",,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
- Financial  Institutions,- Financial  Institutions,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
- Holding Companies,- Holding Companies,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
- Housing Finance  Companies,- Housing Finance  Companies,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
- Investment Companies,- Investment Companies,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
- Other Finance  companies (including NBFCs),- Other Finance  companies (including NBFCs),,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
,,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"2AS per BSE Classification Companies under ""Diversified"" are as follows:","2AS per BSE Classification Companies under ""Diversified"" are as follows:",,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"2AS per BSE Classification Companies under ""Diversified"" are as follows:","2AS per BSE Classification Companies under ""Diversified"" are as follows:",,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
Mercator Limited,Mercator Limited,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
Kutch Salt & Allied Industries Ltd.,Kutch Salt & Allied Industries Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
SVARTCORP,SVARTCORP,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
Advanced Micronic Devices Ltd.,Advanced Micronic Devices Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
VBC Industries Ltd,VBC Industries Ltd,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
Cosco (India) ltd.,Cosco (India) ltd.,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
DCM Shriram Consolidated Ltd.,DCM Shriram Consolidated Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
Cimmco Ltd,Cimmco Ltd,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
Gillanders Arbuthnot & Co. Ltd.,Gillanders Arbuthnot & Co. Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
ADITYA BIRLA NUVO LTD.,ADITYA BIRLA NUVO LTD.,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
KESORAM IND,KESORAM IND,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"Empire Industries Ltd.,","Empire Industries Ltd.,",,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
BALMER LAWRI,BALMER LAWRI,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
3M INDIA LTD,3M INDIA LTD,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
,,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"3Sub-category  under ""Utilities"" are as follows:","3Sub-category  under ""Utilities"" are as follows:",,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
- Electric  Utilities,- Electric  Utilities,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
- Other  Utilities (Including Pipelines),- Other  Utilities (Including Pipelines),,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
,,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
4AUC of Top 10 companies  under Others Category in Debt is as below,4AUC of Top 10 companies  under Others Category in Debt is as below,4AUC of Top 10 companies  under Others Category in Debt is as below,4AUC of Top 10 companies  under Others Category in Debt is as below,4AUC of Top 10 companies  under Others Category in Debt is as below,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
Sr.  No.,Companies,"As on  August 15, 2014 in INR Cr.",Companies,"As on July  31, 2014 in INR Cr.",,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
1,EXIM BANK,4949,EXIM BANK,5154,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
2,SIDBI,2974,SIDBI,2949,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
3,EMGFL Ltd,2694,EMGFL Ltd,2634,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
4,NATIONAL HOUSING BANK,2335,NATIONAL HOUSING BANK,2460,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
5,NABARD,2272,NABARD,2447,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
6,J.P. MORGAN,2000,J.P. MORGAN,1750,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
7,SISTEMA SHYAM TELESERVICES LIMITED,1280,SISTEMA SHYAM TELESERVICES LIMITED,1280,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
8,VOLKSWAGEN FINANCE PRIVATE LIMITED,1250,GOSWAMI INFRATECH PRIVATE LIMITED,1200,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
9,GOSWAMI INFRATECH PRIVATE LIMITED,1200,VOLKSWAGEN FINANCE PRIVATE LIMITED,1148,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
10,L & T FINANCE LTD,1040,L & T  FINANCE LTD,1040,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
,Total,21993,Total,22062,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
,,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,Note: RBI reference rate is used for conversion from INR to USD,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"AUC as on July 31, 2014","AUC as on July 31, 2014",60.246,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"Net Investment July 16-31, 2014","Net Investment July 16-31, 2014",60.246,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"AUC as on August 15, 2014","AUC as on August 15, 2014",61.0583,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"Net Investment August 1 - 15, 2014","Net Investment August 1 - 15, 2014",61.0583,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
INR to USD conversion of FPI/FII net Investment details on CDSL  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,INR to USD conversion of FPI/FII net Investment details on CDSL  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,INR to USD conversion of FPI/FII net Investment details on CDSL  website is done on the basis of daily RBI reference rate. However here RBI  reference rate of end of period is used for conversion from INR to USD.,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
,,,,,,,,,,,,,,,,,,,,,,,,,,"August 15, 2014"
"Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".","Note: BSE had classified more than 3400 number of issuers into  31 sectors. SEBI has decided to rely on the BSE classification. Any FII  investment outside those 3400 issueres, is classified under  ""Others"".",,,,,,,,,,,,,"August 15, 2014"
