0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on July 31, 2018","AUC as on July 31, 2018","AUC as on July 31, 2018","AUC as on July 31, 2018","AUC as on July 31, 2018","AUC as on July 31, 2018","AUC as on July 31, 2018","AUC as on July 31, 2018","Net Investment July 16-31, 2018","Net Investment July 16-31, 2018","Net Investment July 16-31, 2018","Net Investment July 16-31, 2018","Net Investment July 16-31, 2018","Net Investment July 16-31, 2018","Net Investment July 16-31, 2018","Net Investment July 16-31, 2018","Net Investment August 01-15, 2018","Net Investment August 01-15, 2018","Net Investment August 01-15, 2018","Net Investment August 01-15, 2018","Net Investment August 01-15, 2018","Net Investment August 01-15, 2018","Net Investment August 01-15, 2018","Net Investment August 01-15, 2018","AUC as on August 15, 2018","AUC as on August 15, 2018","AUC as on August 15, 2018","AUC as on August 15, 2018","AUC as on August 15, 2018","AUC as on August 15, 2018","AUC as on August 15, 2018","AUC as on August 15, 2018","August 15, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"August 15, 2018"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"August 15, 2018"
1,Automobiles & Auto Components,214091,317,0,214408,31205,46,0,31251,-910,0,0,-910,-133,0,0,-133,-716,0,0,-716,-103,0,0,-103,211016,317,0,211333,30245,45,0,30290,"August 15, 2018"
2,Total Financial Services,1020425,61340,0,1081765,148735,8941,0,157676,1642,496,0,2138,239,72,0,311,2128,63,0,2191,305,9,0,314,1026544,61182,0,1087726,147133,8769,0,155902,"August 15, 2018"
2a,Banks,578752,6837,0,585589,84358,997,0,85355,-328,-200,0,-528,-48,-29,0,-77,2518,88,0,2606,361,13,0,374,588406,6901,0,595307,84336,989,0,85325,"August 15, 2018"
2b,Other Financial Services1,441672,54503,0,496175,64377,7944,0,72321,1970,696,0,2666,287,101,0,388,-390,-25,0,-415,-56,-4,0,-60,438138,54281,0,492419,62798,7780,0,70578,"August 15, 2018"
3,Capital Goods,106583,1144,0,107727,15535,167,0,15702,18,-41,0,-23,3,-6,0,-3,751,0,0,751,108,0,0,108,106595,1144,0,107739,15278,164,0,15442,"August 15, 2018"
4,Chemicals & Petrochemicals,36265,0,0,36265,5286,0,0,5286,201,0,0,201,29,0,0,29,-110,0,0,-110,-16,0,0,-16,35233,0,0,35233,5050,0,0,5050,"August 15, 2018"
5,Coal,9051,0,0,9051,1319,0,0,1319,48,0,0,48,7,0,0,7,248,0,0,248,36,0,0,36,9940,0,0,9940,1425,0,0,1425,"August 15, 2018"
6,Commercial Services & Supplies,9652,200,0,9852,1407,29,0,1436,-116,0,0,-116,-17,0,0,-17,-78,0,0,-78,-11,0,0,-11,9550,200,0,9750,1369,29,0,1398,"August 15, 2018"
7,Construction Materials,68727,779,0,69506,10017,114,0,10131,414,0,0,414,60,0,0,60,47,0,0,47,7,0,0,7,68627,779,0,69406,9836,112,0,9948,"August 15, 2018"
8,Consumer Durables,39730,0,0,39730,5791,0,0,5791,120,0,0,120,18,0,0,18,223,0,0,223,32,0,0,32,39904,0,0,39904,5719,0,0,5719,"August 15, 2018"
9,Diversified2,2729,0,0,2729,398,0,0,398,-4,0,0,-4,-1,0,0,-1,-60,0,0,-60,-9,0,0,-9,2874,0,0,2874,412,0,0,412,"August 15, 2018"
10,Diversified Consumer Services,2630,0,0,2630,383,0,0,383,0,0,0,0,0,0,0,0,15,0,0,15,2,0,0,2,2539,0,0,2539,364,0,0,364,"August 15, 2018"
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"August 15, 2018"
12,"Food, Beverages & Tobacco",107938,612,0,108550,15733,89,0,15822,-113,0,0,-113,-17,0,0,-17,-26,0,0,-26,-4,0,0,-4,111259,612,0,111871,15947,88,0,16035,"August 15, 2018"
13,Forest Materials,1641,0,0,1641,239,0,0,239,3,0,0,3,0,0,0,0,-9,0,0,-9,-1,0,0,-1,1668,0,0,1668,239,0,0,239,"August 15, 2018"
14,General Industrials,20778,385,0,21163,3029,56,0,3085,84,0,0,84,12,0,0,12,-93,0,0,-93,-13,0,0,-13,20705,385,0,21090,2968,55,0,3023,"August 15, 2018"
15,Hardware Technology & Equipment,54,0,0,54,8,0,0,8,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,50,0,0,50,7,0,0,7,"August 15, 2018"
16,Healthcare Equipment & Supplies,106,0,0,106,15,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,98,14,0,0,14,"August 15, 2018"
17,Healthcare Services,13124,0,0,13124,1913,0,0,1913,-101,0,0,-101,-15,0,0,-15,76,0,0,76,11,0,0,11,14339,0,0,14339,2055,0,0,2055,"August 15, 2018"
