0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on August 15, 2016","AUC as on August 15, 2016","AUC as on August 15, 2016","AUC as on August 15, 2016","AUC as on August 15, 2016","AUC as on August 15, 2016","Net Investment August 01-15, 2016","Net Investment August 01-15, 2016","Net Investment August 01-15, 2016","Net Investment August 01-15, 2016","Net Investment August 01-15, 2016","Net Investment August 01-15, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","August 31, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"August 31, 2016"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"August 31, 2016"
1,Automobiles & Auto Components,140137,317,140454,20971,47,21018,701,0,701,105,0,105,396,0,396,59,0,59,145004,317,145321,21648,47,21696,"August 31, 2016"
2,Total Financial Services,474043,41856,515899,70938,6264,77201,-308,-811,-1119,-46,-121,-167,263,-757,-494,39,-113,-74,489102,40412,529514,73021,6033,79054,"August 31, 2016"
2a,Banks,213429,2353,215782,31938,352,32290,68,-9,59,10,-1,9,185,20,204,28,3,31,223731,2373,226104,33402,354,33756,"August 31, 2016"
2b,Other Financial Services1,260614,39503,300117,38999,5911,44911,-376,-802,-1178,-56,-120,-176,79,-777,-698,12,-116,-104,265371,38039,303410,39619,5679,45298,"August 31, 2016"
3,Capital Goods,124843,848,125691,18682,127,18809,352,0,352,53,0,53,668,0,668,100,0,100,128980,847,129827,19256,127,19383,"August 31, 2016"
4,Chemicals & Petrochemicals,28630,0,28630,4284,0,4284,229,0,229,34,0,34,61,0,61,9,0,9,29611,0,29611,4421,0,4421,"August 31, 2016"
5,Coal,17715,0,17715,2651,0,2651,75,0,75,11,0,11,-586,0,-586,-87,0,-87,16939,0,16939,2529,0,2529,"August 31, 2016"
6,Commercial Services & Supplies,4784,200,4984,716,30,746,23,0,23,3,0,3,-46,0,-46,-7,0,-7,4901,200,5101,732,30,762,"August 31, 2016"
7,Construction Materials,52038,849,52887,7787,127,7914,378,-75,303,57,-11,45,390,0,390,58,0,58,55836,849,56684,8336,127,8463,"August 31, 2016"
8,Consumer Durables,6003,0,6003,898,0,898,3,0,3,0,0,0,15,0,15,2,0,2,6093,0,6093,910,0,910,"August 31, 2016"
9,Diversified2,3776,0,3776,565,0,565,2,0,2,0,0,0,-83,0,-83,-12,0,-12,3825,0,3825,571,0,571,"August 31, 2016"
10,Diversified Consumer Services,221,0,221,33,0,33,-2,0,-2,0,0,0,-1,0,-1,0,0,0,255,0,255,38,0,38,"August 31, 2016"
11,"Food, Beverages & Tobacco",98580,81,98660,14752,12,14764,438,0,438,66,0,66,118,0,118,18,0,18,100710,81,100790,15035,12,15048,"August 31, 2016"
12,Forest Materials,1003,0,1003,150,0,150,12,0,12,2,0,2,30,0,30,5,0,5,1070,0,1070,160,0,160,"August 31, 2016"
13,General Industrials,15892,385,16277,2378,58,2436,170,0,170,25,0,25,-25,0,-25,-4,0,-4,16970,385,17355,2534,57,2591,"August 31, 2016"
14,Hardware Technology & Equipment,35,0,35,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,6,0,6,"August 31, 2016"
15,Healthcare Equipment & Supplies,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,"August 31, 2016"
16,Healthcare Services,10000,0,10000,1496,0,1496,60,0,60,9,0,9,55,0,55,8,0,8,9542,0,9542,1425,0,1425,"August 31, 2016"
17,"Hotels, Restaurants & Tourism",6449,125,6574,965,19,984,69,0,69,10,0,10,1,0,1,0,0,0,6500,125,6625,970,19,989,"August 31, 2016"
18,Household & Personal Products,78013,0,78013,11674,0,11674,-234,0,-234,-35,0,-35,-88,0,-88,-13,0,-13,76915,0,76915,11483,0,11483,"August 31, 2016"
19,Media,34065,763,34828,5098,114,5212,-121,0,-121,-18,0,-18,-178,-3,-181,-27,0,-27,35944,757,36701,5366,113,5479,"August 31, 2016"
20,Metals & Mining,36767,645,37411,5502,96,5598,292,0,292,44,0,44,323,0,323,48,0,48,38380,640,39020,5730,96,5826,"August 31, 2016"
21,Oil & Gas,118567,49,118616,17743,7,17750,1524,0,1524,228,0,228,890,0,890,133,0,133,122735,49,122784,18324,7,18331,"August 31, 2016"
22,Pharmaceuticals & Biotechnology,152165,0,152165,22771,0,22771,-296,0,-296,-44,0,-44,-1309,0,-1309,-195,0,-195,151660,0,151660,22642,0,22642,"August 31, 2016"
23,Realty,17170,211,17381,2569,32,2601,160,0,160,24,0,24,5,0,5,1,0,1,16735,211,16946,2499,31,2530,"August 31, 2016"
24,Retailing,7665,0,7665,1147,0,1147,-31,0,-31,-5,0,-5,-4,0,-4,-1,0,-1,7815,0,7815,1167,0,1167,"August 31, 2016"
25,Software & Services,257098,0,257098,38473,0,38473,659,0,659,99,0,99,-1099,0,-1099,-164,0,-164,243365,0,243365,36333,0,36333,"August 31, 2016"
26,Telecom Services,34582,2778,37360,5175,416,5591,-130,0,-130,-19,0,-19,93,0,93,14,0,14,33911,2778,36689,5063,415,5478,"August 31, 2016"
27,Telecommunications Equipment,226,0,226,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,225,0,225,34,0,34,"August 31, 2016"
28,"Textiles, Apparels & Accessories",32469,0,32469,4859,0,4859,42,0,42,6,0,6,70,0,70,10,0,10,33426,0,33426,4990,0,4990,"August 31, 2016"
29,Transportation,34353,785,35138,5141,118,5258,101,65,166,15,10,25,-328,0,-328,-49,0,-49,34632,785,35417,5170,117,5288,"August 31, 2016"
29 a,Airlines,425,699,1124,64,105,168,52,0,52,8,0,8,-11,0,-11,-2,0,-2,401,699,1100,60,104,164,"August 31, 2016"
29 b,Logistics,2928,1,2929,438,0,438,-19,0,-19,-3,0,-3,-1,0,-1,0,0,0,2950,1,2951,440,0,441,"August 31, 2016"
29 c,Marine Port & Services,19273,65,19338,2884,10,2894,73,65,139,11,10,21,-342,0,-342,-51,0,-51,19260,65,19326,2875,10,2885,"August 31, 2016"
29 d,Roads & Highways,2359,20,2379,353,3,356,-28,0,-28,-4,0,-4,13,0,13,2,0,2,2582,20,2602,385,3,388,"August 31, 2016"
29 e,Shipping,1397,0,1397,209,0,209,14,0,14,2,0,2,1,0,1,0,0,0,1492,0,1492,223,0,223,"August 31, 2016"
29 f,Surface Transportation,56,0,56,8,0,8,-1,0,-1,0,0,0,0,0,0,0,0,0,31,0,31,5,0,5,"August 31, 2016"
29 g,Transport Related Services,7915,0,7915,1184,0,1184,10,0,10,1,0,1,13,0,13,2,0,2,7915,0,7915,1182,0,1182,"August 31, 2016"
30,Utilities3,74700,6785,81485,11178,1015,12194,229,62,291,34,9,44,-485,17,-467,-72,3,-70,76909,6802,83710,11482,1015,12498,"August 31, 2016"
31,Sovereign,0,181301,181301,0,27131,27131,0,-1558,-1558,0,-233,-233,0,697,697,0,104,104,0,179714,179714,0,26830,26830,"August 31, 2016"
32,Others4,325538,104191,429729,48715,15592,64306,1015,54,1068,152,8,160,4512,-315,4197,674,-47,627,338732,103593,442324,50571,15466,66037,"August 31, 2016"
,Grand Total,2187530,342168,2529697,327351,51203,378554,5413,-2264,3149,810,-339,471,3658,-361,3297,546,-54,492,2226760,338545,2565304,332445,50543,382988,"August 31, 2016"
