0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","AUC as on August 15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 01-15, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","August 31, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"August 31, 2021"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"August 31, 2021"
1,Automobiles & Auto Components,191800,317,0,0,192117,25815,43,0,0,25858,-543,0,0,0,-543,-73,0,0,0,-73,-1903,0,0,0,-1903,-260,0,0,0,-260,190014,317,0,0,190331,25975,43,0,0,26018,"August 31, 2021"
2,Total Financial Services,1471517,22816,10425,15369,1520127,198059,3071,1403,2069,204602,-211,14,204,-19,-12,-29,2,27,-3,-3,-1159,-447,-104,156,-1554,-158,-61,-14,21,-212,1523088,22668,10324,9352,1565432,208204,3099,1411,1278,213992,"August 31, 2021"
2a,Banks,846317,5952,81,0,852350,113910,801,11,0,114722,581,-24,0,0,557,78,-3,0,0,75,-4136,-276,0,0,-4412,-565,-38,0,0,-603,852223,5690,81,0,857994,116498,778,11,0,117287,"August 31, 2021"
2b,Other Financial Services1,625201,16864,10344,15369,667778,84149,2270,1392,2069,89880,-792,39,204,-19,-568,-107,5,27,-3,-78,2978,-171,-104,156,2859,407,-23,-14,21,391,670865,16978,10243,9352,707438,91706,2321,1400,1278,96705,"August 31, 2021"
3,Capital Goods,154214,233,100,0,154547,20756,31,13,0,20800,189,0,0,0,189,25,0,0,0,25,-1565,55,0,0,-1510,-214,8,0,0,-206,158995,283,100,0,159378,21734,39,14,0,21787,"August 31, 2021"
4,Chemicals & Petrochemicals,82471,15,170,0,82656,11100,2,23,0,11125,-108,0,0,0,-108,-15,0,0,0,-15,-92,0,0,0,-92,-13,0,0,0,-13,82820,15,170,0,83005,11321,2,23,0,11346,"August 31, 2021"
5,Coal,5890,0,0,0,5890,793,0,0,0,793,-16,0,0,0,-16,-2,0,0,0,-2,-73,0,0,0,-73,-10,0,0,0,-10,5908,0,0,0,5908,808,0,0,0,808,"August 31, 2021"
