0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on November 30, 2014","AUC as on November 30, 2014","AUC as on November 30, 2014","AUC as on November 30, 2014","AUC as on November 30, 2014","AUC as on November 30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment November 16-30, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","Net Investment December 01-15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","AUC as on December 15, 2014","December 15, 2014"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"December 15, 2014"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"December 15, 2014"
1,Automobiles & Auto Components,118281,100,118381,19086,16,19102,18,0,18,3,0,3,800,0,800,128,0,128,116775,100,116875,18638,16,18654,"December 15, 2014"
2,Total Financial Services,476667,54100,530767,76914,8730,85644,1086,1393,2479,175,225,400,998,2832,3831,159,452,611,390238,56534,446772,62286,9023,71309,"December 15, 2014"
2a,Banks,260359,192,260551,42011,31,42042,458,31,489,74,5,79,226,757,983,36,121,157,177726,949,178676,28367,152,28518,"December 15, 2014"
2b,Other Financial Services1,216308,53908,270216,34903,8699,43602,628,1362,1990,101,220,321,772,2075,2848,123,331,455,212511,55585,268096,33919,8872,42791,"December 15, 2014"
3,Capital Goods,119153,337,119490,19226,54,19281,633,-76,557,102,-12,90,-834,100,-734,-133,16,-117,110870,442,111312,17696,71,17767,"December 15, 2014"
4,Chemicals & Petrochemicals,18770,150,18920,3029,24,3053,-31,0,-31,-5,0,-5,139,84,223,22,13,36,17958,240,18198,2866,38,2905,"December 15, 2014"
5,Coal,12262,0,12262,1979,0,1979,-38,0,-38,-6,0,-6,170,0,170,27,0,27,13157,0,13157,2100,0,2100,"December 15, 2014"
