0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","AUC as on November 30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment November 16-30, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","Net Investment December 01-15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","AUC as on December 15, 2024","December 15, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"December 15, 2024"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"December 15, 2024"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"December 15, 2024"
1,Automobile and Auto Components,521496,38,0,0,0,0,0,0,0,0,0,521534,61718,4,0,0,0,0,0,0,0,0,0,61722,-3053,0,0,0,0,0,0,0,0,0,0,-3053,-361,0,0,0,0,0,0,0,0,0,0,-361,-1823,0,0,0,0,0,0,0,0,0,0,-1823,-215,0,0,0,0,0,0,0,0,0,0,-215,526851,38,0,0,0,0,0,0,0,0,0,526889,62099,4,0,0,0,0,0,0,0,0,0,62103,"December 15, 2024"
2,Capital Goods,394142,731,28,0,0,0,0,0,0,0,0,394901,46646,87,3,0,0,0,0,0,0,0,0,46736,681,0,0,0,0,0,0,0,0,0,0,681,81,0,0,0,0,0,0,0,0,0,0,81,2657,-4,0,0,0,0,0,0,0,0,0,2653,313,0,0,0,0,0,0,0,0,0,0,313,410783,731,28,0,0,0,0,0,0,0,0,411542,48418,86,3,0,0,0,0,0,0,0,0,48507,"December 15, 2024"
3,Chemicals,116909,0,615,0,0,0,0,0,0,0,0,117524,13836,0,73,0,0,0,0,0,0,0,0,13909,-197,0,0,0,0,0,0,0,0,0,0,-197,-23,0,0,0,0,0,0,0,0,0,0,-23,646,0,0,0,0,0,0,0,0,0,0,646,76,0,0,0,0,0,0,0,0,0,0,76,119064,0,615,0,0,0,0,0,0,0,0,119679,14034,0,72,0,0,0,0,0,0,0,0,14106,"December 15, 2024"
4,Construction,140878,114,0,0,0,0,0,0,0,0,0,140992,16672,13,0,0,0,0,0,0,0,0,0,16685,89,-13,0,0,0,0,0,0,0,0,0,76,11,-2,0,0,0,0,0,0,0,0,0,9,1148,0,0,0,0,0,0,0,0,0,0,1148,135,0,0,0,0,0,0,0,0,0,0,135,148280,114,0,0,0,0,0,0,0,0,0,148394,17477,13,0,0,0,0,0,0,0,0,0,17490,"December 15, 2024"
5,Construction Materials,118249,1275,380,0,0,0,0,0,0,0,0,119904,13994,151,45,0,0,0,0,0,0,0,0,14190,-1913,0,0,0,0,0,0,0,0,0,0,-1913,-226,0,0,0,0,0,0,0,0,0,0,-226,-174,0,0,0,0,0,0,0,0,0,0,-174,-21,0,0,0,0,0,0,0,0,0,0,-21,125672,1275,320,0,0,0,0,0,0,0,0,127267,14813,150,38,0,0,0,0,0,0,0,0,15001,"December 15, 2024"
6,Consumer Durables,215814,0,0,0,0,0,0,0,0,0,0,215814,25541,0,0,0,0,0,0,0,0,0,0,25541,426,0,0,0,0,0,0,0,0,0,0,426,50,0,0,0,0,0,0,0,0,0,0,50,-748,0,0,0,0,0,0,0,0,0,0,-748,-88,0,0,0,0,0,0,0,0,0,0,-88,224785,0,0,0,0,0,0,0,0,0,0,224785,26495,0,0,0,0,0,0,0,0,0,0,26495,"December 15, 2024"
