0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","AUC as on December 15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 01-15, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","Net Investment December 16-31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","AUC as on December 31, 2019","December 31, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"December 31, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"December 31, 2019"
1,Automobiles & Auto Components,152304,317,0,152621,21537,45,0,21582,-24,0,0,-24,-3,0,0,-3,400,0,0,400,56,0,0,56,155901,317,0,156218,21873,45,0,21918,"December 31, 2019"
2,Total Financial Services,1163213,43470,9747,1216430,164487,6147,1378,172012,1499,-629,44,914,212,-89,6,129,2180,-2114,-4,62,306,-297,-1,8,1181152,41466,9740,1232358,165720,5818,1366,172904,"December 31, 2019"
2a,Banks,694875,7924,0,702799,98260,1120,0,99380,473,24,0,497,67,3,0,70,982,10,0,992,138,1,0,139,698344,7919,0,706263,97980,1111,0,99091,"December 31, 2019"
2b,Other Financial Services1,468339,35547,9747,513633,66226,5027,1378,72631,1026,-653,44,417,145,-92,6,59,1198,-2124,-4,-930,168,-298,-1,-131,482808,33547,9740,526095,67740,4707,1366,73813,"December 31, 2019"
3,Capital Goods,93510,483,0,93993,13223,68,0,13291,-1483,0,0,-1483,-210,0,0,-210,-297,0,0,-297,-42,0,0,-42,94656,483,0,95139,13281,68,0,13349,"December 31, 2019"
4,Chemicals & Petrochemicals,41692,0,0,41692,5896,0,0,5896,88,0,0,88,12,0,0,12,92,0,0,92,13,0,0,13,43152,0,0,43152,6054,0,0,6054,"December 31, 2019"
5,Coal,10487,0,0,10487,1483,0,0,1483,-133,0,0,-133,-19,0,0,-19,31,0,0,31,4,0,0,4,11261,0,0,11261,1580,0,0,1580,"December 31, 2019"
6,Commercial Services & Supplies,9132,0,0,9132,1291,0,0,1291,-5,0,0,-5,-1,0,0,-1,9,0,0,9,1,0,0,1,9020,0,0,9020,1266,0,0,1266,"December 31, 2019"
7,Construction Materials,55795,594,0,56389,7890,84,0,7974,-167,0,0,-167,-24,0,0,-24,-590,-176,0,-766,-83,-25,0,-108,54353,419,0,54772,7626,59,0,7685,"December 31, 2019"
8,Consumer Durables,50652,0,0,50652,7163,0,0,7163,644,0,0,644,91,0,0,91,145,0,0,145,20,0,0,20,51627,0,0,51627,7243,0,0,7243,"December 31, 2019"
9,Diversified2,6096,0,0,6096,862,0,0,862,-6,0,0,-6,-1,0,0,-1,7,0,0,7,1,0,0,1,6435,0,0,6435,903,0,0,903,"December 31, 2019"
10,Diversified Consumer Services,2701,0,0,2701,382,0,0,382,-19,0,0,-19,-3,0,0,-3,-24,0,0,-24,-3,0,0,-3,2763,0,0,2763,388,0,0,388,"December 31, 2019"
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"December 31, 2019"
12,"Food, Beverages & Tobacco",108225,693,0,108918,15304,98,0,15402,-437,8,0,-429,-62,1,0,-61,-575,3,0,-572,-81,0,0,-81,107926,693,0,108619,15142,97,0,15239,"December 31, 2019"
13,Forest Materials,964,434,0,1398,136,61,0,197,5,0,0,5,1,0,0,1,-2,0,0,-2,0,0,0,0,955,434,0,1389,134,61,0,195,"December 31, 2019"
14,General Industrials,14319,385,0,14704,2025,54,0,2079,46,0,0,46,6,0,0,6,90,-385,0,-295,13,-54,0,-41,14904,0,0,14904,2091,0,0,2091,"December 31, 2019"
15,Hardware Technology & Equipment,39,0,0,39,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43,6,0,0,6,"December 31, 2019"
16,Healthcare Equipment & Supplies,69,0,0,69,10,0,0,10,-4,0,0,-4,-1,0,0,-1,-1,0,0,-1,0,0,0,0,72,0,0,72,10,0,0,10,"December 31, 2019"
17,Healthcare Services,19625,0,0,19625,2775,0,0,2775,33,0,0,33,5,0,0,5,-219,0,0,-219,-31,0,0,-31,20097,0,0,20097,2820,0,0,2820,"December 31, 2019"
18,"Hotels, Restaurants & Tourism",13205,104,0,13309,1867,15,0,1882,-68,0,0,-68,-10,0,0,-10,-159,0,0,-159,-22,0,0,-22,13251,104,0,13355,1859,15,0,1874,"December 31, 2019"
19,Household & Personal Products,110013,0,0,110013,15557,0,0,15557,-281,0,0,-281,-40,0,0,-40,-401,0,0,-401,-56,0,0,-56,107902,0,0,107902,15139,0,0,15139,"December 31, 2019"
20,Insurance,76696,0,0,76696,10845,0,0,10845,548,0,0,548,78,0,0,78,802,0,0,802,113,0,0,113,79201,0,0,79201,11112,0,0,11112,"December 31, 2019"
21,Media,24973,206,0,25179,3531,29,0,3560,-94,0,0,-94,-13,0,0,-13,33,0,0,33,5,0,0,5,25709,206,0,25915,3607,29,0,3636,"December 31, 2019"
22,Metals & Mining,45223,553,0,45776,6395,78,0,6473,95,0,0,95,13,0,0,13,133,0,0,133,19,0,0,19,48025,553,0,48578,6738,78,0,6816,"December 31, 2019"
23,Oil & Gas,306393,4664,0,311057,43326,659,0,43985,393,-257,0,136,56,-36,0,20,1706,-67,0,1639,239,-9,0,230,297589,4624,0,302213,41753,649,0,42402,"December 31, 2019"
24,Pharmaceuticals & Biotechnology,102401,500,0,102901,14480,71,0,14551,-387,0,0,-387,-55,0,0,-55,-178,-500,0,-678,-25,-70,0,-95,102073,0,0,102073,14321,0,0,14321,"December 31, 2019"
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"December 31, 2019"
26,Realty,31331,572,0,31903,4430,81,0,4511,8,0,0,8,1,0,0,1,7,0,0,7,1,0,0,1,32420,571,0,32991,4549,80,0,4629,"December 31, 2019"
27,Retailing,33718,150,0,33868,4768,21,0,4789,175,0,0,175,25,0,0,25,104,0,0,104,15,0,0,15,34338,150,0,34488,4818,21,0,4839,"December 31, 2019"
28,Software & Services,300251,0,0,300251,42458,0,0,42458,-226,0,0,-226,-32,0,0,-32,5124,0,0,5124,719,0,0,719,336570,0,0,336570,47222,0,0,47222,"December 31, 2019"
29,Telecom Services,63264,455,0,63719,8946,64,0,9010,-808,-105,0,-913,-114,-15,0,-129,-687,-78,0,-765,-96,-11,0,-107,64708,380,0,65088,9079,53,0,9132,"December 31, 2019"
30,Telecommunications Equipment,151,0,0,151,21,0,0,21,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,155,0,0,155,22,0,0,22,"December 31, 2019"
31,"Textiles, Apparels & Accessories",39417,0,0,39417,5574,0,0,5574,7,0,0,7,1,0,0,1,-372,0,0,-372,-52,0,0,-52,39511,0,0,39511,5543,0,0,5543,"December 31, 2019"
32,Transportation,39677,699,0,40376,5611,99,0,5710,-632,0,0,-632,-89,0,0,-89,-27,700,0,673,-4,98,0,94,39407,1399,0,40806,5529,196,0,5725,"December 31, 2019"
32 a,Airlines,8010,699,0,8709,1133,99,0,1232,-18,0,0,-18,-3,0,0,-3,39,0,0,39,5,0,0,5,8163,699,0,8862,1145,98,0,1243,"December 31, 2019"
32 b,Logistics,1558,0,0,1558,220,0,0,220,3,0,0,3,0,0,0,0,-7,0,0,-7,-1,0,0,-1,1659,0,0,1659,233,0,0,233,"December 31, 2019"
32 c,Marine Port & Services,15421,0,0,15421,2181,0,0,2181,-547,0,0,-547,-77,0,0,-77,-238,0,0,-238,-33,0,0,-33,14809,0,0,14809,2078,0,0,2078,"December 31, 2019"
32 d,Roads & Highways,1588,0,0,1588,224,0,0,224,-25,0,0,-25,-3,0,0,-3,-11,700,0,689,-1,98,0,97,1616,700,0,2316,227,98,0,325,"December 31, 2019"
32 e,Shipping,1206,0,0,1206,171,0,0,171,16,0,0,16,2,0,0,2,7,0,0,7,1,0,0,1,1210,0,0,1210,170,0,0,170,"December 31, 2019"
32 f,Surface Transportation,39,0,0,39,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,38,5,0,0,5,"December 31, 2019"
32 g,Transport Related Services,9475,0,0,9475,1340,0,0,1340,-33,0,0,-33,-5,0,0,-5,117,0,0,117,16,0,0,16,9488,0,0,9488,1331,0,0,1331,"December 31, 2019"
32 h,Airport Services,2381,0,0,2381,337,0,0,337,-29,0,0,-29,-4,0,0,-4,66,0,0,66,9,0,0,9,2425,0,0,2425,340,0,0,340,"December 31, 2019"
33,Utilities3,83666,3737,0,87403,11831,528,0,12359,-527,-125,0,-652,-74,-18,0,-92,961,-16,0,945,135,-2,0,133,86098,3723,0,89821,12080,522,0,12602,"December 31, 2019"
34,Sovereign,0,218096,0,218096,0,30840,0,30840,0,-1770,0,-1770,0,-250,0,-250,0,2756,0,2756,0,387,0,387,0,220809,0,220809,0,30980,0,30980,"December 31, 2019"
35,Others4,29577,157145,2961,189683,4182,22221,419,26822,338,2041,0,2379,48,289,0,337,468,-3902,0,-3434,66,-548,0,-482,14780,151387,2961,169128,2074,21240,415,23729,"December 31, 2019"
,Grand Total,3028779,433257,12708,3474744,428291,61266,1797,491354,-1422,-837,44,-2215,-201,-118,6,-313,8761,-3780,-4,4977,1229,-530,-1,698,3076053,427717,12700,3516470,431581,60010,1782,493373,"December 31, 2019"
