0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on December 15, 2021","AUC as on December 15, 2021","AUC as on December 15, 2021","AUC as on December 15, 2021","AUC as on December 15, 2021","AUC as on December 15, 2021","AUC as on December 15, 2021","AUC as on December 15, 2021","AUC as on December 15, 2021","AUC as on December 15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 01-15, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","Net Investment December 16-31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","AUC as on December 31, 2021","December 31, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"December 31, 2021"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"December 31, 2021"
1,Automobiles & Auto Components,197986,0,0,0,197986,26036,0,0,0,26036,-1321,0,0,0,-1321,-174,0,0,0,-174,-748,0,0,0,-748,-101,0,0,0,-101,197424,0,0,0,197424,26570,0,0,0,26570,"December 31, 2021"
2,Total Financial Services,1478997,17951,6639,0,1503587,194494,2361,873,0,197728,-6860,136,-730,0,-7454,-902,18,-96,0,-980,-5253,-564,413,0,-5404,-707,-76,56,0,-727,1426391,17436,7343,0,1451170,191971,2347,988,0,195306,"December 31, 2021"
2a,Banks,831304,4595,484,0,836383,109320,604,64,0,109988,-3916,-398,0,0,-4314,-515,-52,0,0,-567,-2433,-397,0,0,-2830,-327,-53,0,0,-380,802378,4213,470,0,807061,107988,567,63,0,108618,"December 31, 2021"
2b,Other Financial Services1,647693,13356,6155,0,667204,85174,1756,809,0,87739,-2944,534,-730,0,-3140,-387,70,-96,0,-413,-2820,-167,413,0,-2574,-380,-22,56,0,-346,624013,13222,6874,0,644109,83983,1780,925,0,86688,"December 31, 2021"
3,Capital Goods,153151,265,90,0,153506,20140,35,12,0,20187,553,0,0,0,553,73,0,0,0,73,618,8,0,0,626,83,1,0,0,84,154426,274,90,0,154790,20783,37,12,0,20832,"December 31, 2021"
4,Chemicals & Petrochemicals,82979,0,0,0,82979,10912,0,0,0,10912,401,0,0,0,401,53,0,0,0,53,365,0,0,0,365,49,0,0,0,49,84518,0,0,0,84518,11375,0,0,0,11375,"December 31, 2021"
5,Coal,6027,0,0,0,6027,793,0,0,0,793,-353,0,0,0,-353,-46,0,0,0,-46,7,0,0,0,7,1,0,0,0,1,5982,0,0,0,5982,805,0,0,0,805,"December 31, 2021"
6,Commercial Services & Supplies,39022,0,0,0,39022,5131,0,0,0,5131,-240,0,0,0,-240,-32,0,0,0,-32,-92,0,0,0,-92,-12,0,0,0,-12,39186,0,0,0,39186,5274,0,0,0,5274,"December 31, 2021"
7,Construction Materials,93539,1202,795,0,95536,12301,158,105,0,12564,-158,0,0,0,-158,-21,0,0,0,-21,-46,-120,0,0,-166,-6,-16,0,0,-22,93617,1202,795,0,95614,12599,162,107,0,12868,"December 31, 2021"
8,Consumer Durables,140852,0,0,0,140852,18523,0,0,0,18523,-354,0,0,0,-354,-47,0,0,0,-47,-142,0,0,0,-142,-19,0,0,0,-19,144813,0,0,0,144813,19490,0,0,0,19490,"December 31, 2021"
9,Diversified2,13427,0,0,0,13427,1766,0,0,0,1766,17,0,0,0,17,2,0,0,0,2,30,0,0,0,30,4,0,0,0,4,14961,0,0,0,14961,2014,0,0,0,2014,"December 31, 2021"
10,Diversified Consumer Services,6806,0,0,0,6806,895,0,0,0,895,91,0,0,0,91,12,0,0,0,12,172,0,0,0,172,23,0,0,0,23,7044,0,0,0,7044,948,0,0,0,948,"December 31, 2021"
11,Food & Drugs Retailing,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,328,44,0,0,0,44,425,0,0,0,425,57,0,0,0,57,"December 31, 2021"
12,"Food, Beverages & Tobacco",123888,598,170,0,124656,16292,79,22,0,16393,-913,0,0,0,-913,-120,0,0,0,-120,-455,-10,0,0,-465,-61,-1,0,0,-62,123647,588,170,0,124405,16641,79,23,0,16743,"December 31, 2021"
13,Forest Materials,2211,325,79,0,2615,291,43,10,0,344,10,0,0,0,10,1,0,0,0,1,-8,125,0,0,117,-1,17,0,0,16,2207,450,79,0,2736,297,61,11,0,369,"December 31, 2021"
14,General Industrials,41306,55,0,0,41361,5432,7,0,0,5439,158,0,0,0,158,21,0,0,0,21,-174,0,0,0,-174,-23,0,0,0,-23,40467,55,0,0,40522,5446,7,0,0,5453,"December 31, 2021"
15,Hardware Technology & Equipment,78,0,0,0,78,10,0,0,0,10,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,85,0,0,0,85,12,0,0,0,12,"December 31, 2021"
16,Healthcare Equipment & Supplies,1766,0,0,0,1766,232,0,0,0,232,11,0,0,0,11,1,0,0,0,1,31,0,0,0,31,4,0,0,0,4,1888,0,0,0,1888,254,0,0,0,254,"December 31, 2021"
17,Healthcare Services,69480,0,0,0,69480,9137,0,0,0,9137,-152,0,0,0,-152,-20,0,0,0,-20,-395,0,0,0,-395,-53,0,0,0,-53,70329,0,0,0,70329,9465,0,0,0,9465,"December 31, 2021"
18,"Hotels, Restaurants & Tourism",36161,100,100,0,36361,4755,13,13,0,4781,201,0,0,0,201,26,0,0,0,26,-337,0,0,0,-337,-45,0,0,0,-45,34778,100,100,0,34978,4681,13,13,0,4707,"December 31, 2021"
19,Household & Personal Products,156191,0,0,0,156191,20540,0,0,0,20540,-1562,0,0,0,-1562,-205,0,0,0,-205,-276,0,0,0,-276,-37,0,0,0,-37,158568,0,0,0,158568,21341,0,0,0,21341,"December 31, 2021"
20,Insurance,116973,95,0,0,117068,15382,13,0,0,15395,4997,0,0,0,4997,657,0,0,0,657,128,0,0,0,128,17,0,0,0,17,115860,95,0,0,115955,15593,13,0,0,15606,"December 31, 2021"
21,Media,26270,56,165,0,26491,3455,7,22,0,3484,-214,0,0,0,-214,-28,0,0,0,-28,-348,0,0,0,-348,-47,0,0,0,-47,23230,57,165,0,23452,3126,8,22,0,3156,"December 31, 2021"
22,Metals & Mining,100435,305,0,0,100740,13208,40,0,0,13248,-1192,-59,0,0,-1251,-157,-8,0,0,-165,-105,0,0,0,-105,-14,0,0,0,-14,99776,305,0,0,100081,13428,41,0,0,13469,"December 31, 2021"
23,Oil & Gas,500029,619,319,0,500967,65756,81,42,0,65879,2686,-10,0,0,2676,354,-1,0,0,353,-2946,0,-15,0,-2961,-397,0,-2,0,-399,490912,618,304,0,491834,66069,83,41,0,66193,"December 31, 2021"
24,Pharmaceuticals & Biotechnology,161627,0,0,0,161627,21255,0,0,0,21255,-2495,0,0,0,-2495,-328,0,0,0,-328,1151,0,0,0,1151,155,0,0,0,155,170634,0,0,0,170634,22965,0,0,0,22965,"December 31, 2021"
25,Real Estate Investment,0,0,0,18805,18805,0,0,0,2473,2473,0,0,0,-113,-113,0,0,0,-15,-15,-6,0,0,-102,-108,-1,0,0,-14,-15,0,0,0,18028,18028,0,0,0,2426,2426,"December 31, 2021"
26,Realty,67954,115,92,0,68161,8936,15,12,0,8963,62,-1,0,0,61,8,0,0,0,8,-206,0,0,0,-206,-28,0,0,0,-28,65520,114,92,0,65726,8818,15,12,0,8845,"December 31, 2021"
27,Retailing,104198,105,0,0,104303,13703,14,0,0,13717,-1363,0,0,0,-1363,-179,0,0,0,-179,-403,0,0,0,-403,-54,0,0,0,-54,102294,105,0,0,102399,13767,14,0,0,13781,"December 31, 2021"
28,Software & Services,694336,0,340,0,694676,91308,0,45,0,91353,-1176,0,0,0,-1176,-155,0,0,0,-155,-141,0,0,0,-141,-19,0,0,0,-19,749409,0,340,0,749749,100859,0,46,0,100905,"December 31, 2021"
29,Telecom Services,115156,207,10,0,115373,15143,27,1,0,15171,-263,-15,0,0,-278,-35,-2,0,0,-37,-506,-10,0,0,-516,-68,-1,0,0,-69,113580,207,0,0,113787,15286,28,0,0,15314,"December 31, 2021"
30,Telecommunications Equipment,965,0,0,0,965,127,0,0,0,127,91,0,0,0,91,12,0,0,0,12,11,0,0,0,11,2,0,0,0,2,858,0,0,0,858,115,0,0,0,115,"December 31, 2021"
31,"Textiles, Apparels & Accessories",71457,0,0,0,71457,9397,0,0,0,9397,-164,0,0,0,-164,-22,0,0,0,-22,756,0,0,0,756,102,0,0,0,102,75455,0,0,0,75455,10155,0,0,0,10155,"December 31, 2021"
32,Transportation,62244,1399,2928,0,66571,8185,184,385,0,8754,-37,0,0,0,-37,-5,0,0,0,-5,760,0,0,0,760,102,0,0,0,102,62951,1399,2928,0,67278,8472,188,394,0,9054,"December 31, 2021"
32 a,Airlines,14017,699,0,0,14716,1843,92,0,0,1935,-73,0,0,0,-73,-10,0,0,0,-10,109,0,0,0,109,15,0,0,0,15,14486,699,0,0,15185,1950,94,0,0,2044,"December 31, 2021"
32 b,Logistics,3549,0,0,0,3549,467,0,0,0,467,-1,0,0,0,-1,0,0,0,0,0,19,0,0,0,19,3,0,0,0,3,3671,0,0,0,3671,494,0,0,0,494,"December 31, 2021"
32 c,Marine Port & Services,23877,150,0,0,24027,3140,20,0,0,3160,63,0,0,0,63,8,0,0,0,8,531,0,0,0,531,71,0,0,0,71,23858,150,0,0,24008,3211,20,0,0,3231,"December 31, 2021"
32 d,Roads & Highways,2479,550,2928,0,5957,326,72,385,0,783,-8,0,0,0,-8,-1,0,0,0,-1,-11,0,0,0,-11,-1,0,0,0,-1,2317,550,2928,0,5795,312,74,394,0,780,"December 31, 2021"
32 e,Shipping,1291,0,0,0,1291,170,0,0,0,170,18,0,0,0,18,2,0,0,0,2,-4,0,0,0,-4,-1,0,0,0,-1,1295,0,0,0,1295,174,0,0,0,174,"December 31, 2021"
32 f,Surface Transportation,158,0,0,0,158,21,0,0,0,21,-2,0,0,0,-2,0,0,0,0,0,-11,0,0,0,-11,-1,0,0,0,-1,135,0,0,0,135,18,0,0,0,18,"December 31, 2021"
32 g,Transport Related Services,9867,0,0,0,9867,1298,0,0,0,1298,-58,0,0,0,-58,-8,0,0,0,-8,-82,0,0,0,-82,-11,0,0,0,-11,9396,0,0,0,9396,1265,0,0,0,1265,"December 31, 2021"
32 h,Airport Services,7005,0,0,0,7005,921,0,0,0,921,23,0,0,0,23,3,0,0,0,3,209,0,0,0,209,28,0,0,0,28,7791,0,0,0,7791,1049,0,0,0,1049,"December 31, 2021"
33,Utilities3,177635,1601,250,8037,187523,23360,211,33,1057,24661,-997,-11,0,-32,-1040,-131,-1,0,-4,-136,-573,-31,0,-22,-626,-77,-4,0,-3,-84,168515,1571,250,8148,178484,22680,211,34,1097,24022,"December 31, 2021"
34,Sovereign,0,153433,9561,0,162994,0,20177,1257,0,21434,0,-1748,677,0,-1071,0,-230,89,0,-141,0,-7346,-932,0,-8278,0,-989,-125,0,-1114,0,144921,8643,0,153564,0,19504,1163,0,20667,"December 31, 2021"
35,Others4,18597,89479,104188,4166,216430,2446,11767,13701,548,28462,199,-1052,193,0,-660,26,-138,25,0,-87,108,-1092,1786,0,802,15,-147,240,0,108,16779,88989,105937,4166,215871,2258,11977,14258,561,29054,"December 31, 2021"
,Grand Total,4861746,267907,125727,31008,5286388,639339,35231,16534,4078,695182,-10335,-2759,140,-145,-13099,-1359,-363,18,-19,-1723,-8691,-9040,1251,-123,-16603,-1170,-1217,168,-17,-2236,4856530,258484,127237,30342,5272593,653616,34788,17124,4084,709612,"December 31, 2021"
