0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on January 31, 2015","AUC as on January 31, 2015","AUC as on January 31, 2015","AUC as on January 31, 2015","AUC as on January 31, 2015","AUC as on January 31, 2015","Net Investment January 16-31, 2015","Net Investment January 16-31, 2015","Net Investment January 16-31, 2015","Net Investment January 16-31, 2015","Net Investment January 16-31, 2015","Net Investment January 16-31, 2015","Net Investment February 01-15, 2015","Net Investment February 01-15, 2015","Net Investment February 01-15, 2015","Net Investment February 01-15, 2015","Net Investment February 01-15, 2015","Net Investment February 01-15, 2015","AUC as on February 15, 2015","AUC as on February 15, 2015","AUC as on February 15, 2015","AUC as on February 15, 2015","AUC as on February 15, 2015","AUC as on February 15, 2015"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,118416,100,118516,19174,16,19191,291,0,291,47,0,47,-1417,0,-1417,-228,0,-228,113530,100,113630,18271,16,18287
2,Total Financial Services,418358,63844,482202,67742,10338,78080,2658,5496,8154,430,890,1320,-792,1810,1018,-127,291,164,416970,65747,482717,67106,10581,77687
2a,Banks,180850,1003,181853,29284,162,29446,772,28,800,125,5,130,-448,104,-345,-72,17,-55,178198,1155,179354,28679,186,28865
2b,Other Financial Services1,237509,62840,300349,38458,10175,48634,1886,5468,7354,305,885,1191,-344,1706,1362,-55,275,219,238772,64592,303364,38427,10395,48823
3,Capital Goods,126951,437,127388,20556,71,20627,1601,0,1601,259,0,259,-654,0,-654,-105,0,-105,123284,738,124022,19841,119,19960
4,Chemicals & Petrochemicals,20751,408,21159,3360,66,3426,48,41,89,8,7,14,-26,0,-26,-4,0,-4,22027,408,22435,3545,66,3611
5,Coal,12994,0,12994,2104,0,2104,-34,0,-34,-5,0,-5,7224,0,7224,1163,0,1163,20988,0,20988,3378,0,3378
6,Commercial Services & Supplies,16696,470,17166,2703,76,2780,33,0,33,5,0,5,-18,0,-18,-3,0,-3,17538,470,18008,2823,76,2898
7,Construction Materials,43199,1135,44334,6995,184,7179,528,290,818,85,47,132,160,100,260,26,16,42,43997,1235,45232,7081,199,7279
8,Consumer Durables,5382,60,5442,871,10,881,-26,0,-26,-4,0,-4,78,-60,18,12,-10,3,5735,0,5735,923,0,923
