0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","Net Investment February 01-15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","AUC as on February 15, 2025","February 15, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"February 15, 2025"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"February 15, 2025"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"February 15, 2025"
1,Automobile and Auto Components,494578,32,0,0,0,0,0,0,0,0,0,494610,57083,4,0,0,0,0,0,0,0,0,0,57087,-3899,0,0,0,0,0,0,0,0,0,0,-3899,-450,0,0,0,0,0,0,0,0,0,0,-450,-690,0,0,0,0,0,0,0,0,0,0,-690,-79,0,0,0,0,0,0,0,0,0,0,-79,471157,32,0,0,0,0,0,0,0,0,0,471189,54227,4,0,0,0,0,0,0,0,0,0,54231,"February 15, 2025"
2,Capital Goods,345699,718,27,0,0,0,0,0,0,0,0,346444,39900,83,3,0,0,0,0,0,0,0,0,39986,-3077,0,0,0,0,0,0,0,0,0,0,-3077,-355,0,0,0,0,0,0,0,0,0,0,-355,-3206,-4,0,0,0,0,0,0,0,0,0,-3210,-369,0,0,0,0,0,0,0,0,0,0,-369,301377,718,27,0,0,0,0,0,0,0,0,302122,34686,83,3,0,0,0,0,0,0,0,0,34772,"February 15, 2025"
3,Chemicals,115367,0,523,0,0,0,0,0,0,0,0,115890,13315,0,60,0,0,0,0,0,0,0,0,13375,313,0,-185,0,0,0,0,0,0,0,0,128,36,0,-21,0,0,0,0,0,0,0,0,15,337,0,0,0,0,0,0,0,0,0,0,337,39,0,0,0,0,0,0,0,0,0,0,39,109510,0,523,0,0,0,0,0,0,0,0,110033,12604,0,60,0,0,0,0,0,0,0,0,12664,"February 15, 2025"
4,Construction,131793,113,0,0,121,0,0,0,0,0,0,132027,15211,13,0,0,14,0,0,0,0,0,0,15238,-1256,0,0,0,121,0,0,0,0,0,0,-1135,-145,0,0,0,14,0,0,0,0,0,0,-131,-1886,0,0,0,1,0,0,0,0,0,0,-1885,-217,0,0,0,0,0,0,0,0,0,0,-217,115204,113,0,0,122,0,0,0,0,0,0,115439,13259,13,0,0,14,0,0,0,0,0,0,13286,"February 15, 2025"
5,Construction Materials,116187,1275,320,0,0,0,0,0,0,0,0,117782,13410,147,37,0,0,0,0,0,0,0,0,13594,-1277,0,0,0,0,0,0,0,0,0,0,-1277,-147,0,0,0,0,0,0,0,0,0,0,-147,-2024,0,-10,0,0,0,0,0,0,0,0,-2034,-233,0,-1,0,0,0,0,0,0,0,0,-234,112011,1250,310,0,0,0,0,0,0,0,0,113571,12892,144,36,0,0,0,0,0,0,0,0,13072,"February 15, 2025"
6,Consumer Durables,197231,0,0,0,0,0,0,0,0,0,0,197231,22764,0,0,0,0,0,0,0,0,0,0,22764,-2869,0,0,0,0,0,0,0,0,0,0,-2869,-331,0,0,0,0,0,0,0,0,0,0,-331,-1049,0,0,0,0,0,0,0,0,0,0,-1049,-121,0,0,0,0,0,0,0,0,0,0,-121,185483,0,0,0,0,0,0,0,0,0,0,185483,21348,0,0,0,0,0,0,0,0,0,0,21348,"February 15, 2025"
