0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on February 15, 2019","AUC as on February 15, 2019","AUC as on February 15, 2019","AUC as on February 15, 2019","AUC as on February 15, 2019","AUC as on February 15, 2019","AUC as on February 15, 2019","AUC as on February 15, 2019","Net Investment February 01-15, 2019","Net Investment February 01-15, 2019","Net Investment February 01-15, 2019","Net Investment February 01-15, 2019","Net Investment February 01-15, 2019","Net Investment February 01-15, 2019","Net Investment February 01-15, 2019","Net Investment February 01-15, 2019","Net Investment February 16-28, 2019","Net Investment February 16-28, 2019","Net Investment February 16-28, 2019","Net Investment February 16-28, 2019","Net Investment February 16-28, 2019","Net Investment February 16-28, 2019","Net Investment February 16-28, 2019","Net Investment February 16-28, 2019","AUC as on February 28, 2019","AUC as on February 28, 2019","AUC as on February 28, 2019","AUC as on February 28, 2019","AUC as on February 28, 2019","AUC as on February 28, 2019","AUC as on February 28, 2019","AUC as on February 28, 2019","February 28, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"February 28, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"February 28, 2019"
1,Automobiles & Auto Components,156794,317,0,157111,22006,45,0,22051,197,0,0,197,28,0,0,28,-336,0,0,-336,-47,0,0,-47,158610,317,0,158927,22278,45,0,22323,"February 28, 2019"
2,Total Financial Services,926525,54613,2041,983179,130036,7665,287,137988,4046,1503,10,5559,568,211,1,780,6280,519,-5,6794,882,73,-1,954,934321,55079,2022,991422,131233,7736,284,139253,"February 28, 2019"
2a,Banks,542563,8082,0,550645,76148,1134,0,77282,3738,36,0,3774,525,5,0,530,5416,69,0,5485,761,10,0,771,547384,8168,0,555552,76885,1147,0,78032,"February 28, 2019"
2b,Other Financial Services1,383963,46531,2041,432535,53888,6530,287,60705,308,1468,10,1786,43,206,1,250,864,451,-5,1310,121,63,-1,183,386936,46912,2022,435870,54349,6589,284,61222,"February 28, 2019"
3,Capital Goods,88096,383,0,88479,12364,54,0,12418,-518,0,0,-518,-73,0,0,-73,-131,29,0,-102,-18,4,0,-14,91977,413,0,92390,12919,58,0,12977,"February 28, 2019"
4,Chemicals & Petrochemicals,37541,0,0,37541,5269,0,0,5269,182,0,0,182,26,0,0,26,357,0,0,357,50,0,0,50,39722,0,0,39722,5579,0,0,5579,"February 28, 2019"
5,Coal,8489,0,0,8489,1191,0,0,1191,85,0,0,85,12,0,0,12,109,0,0,109,15,0,0,15,8882,0,0,8882,1248,0,0,1248,"February 28, 2019"
6,Commercial Services & Supplies,6714,200,0,6914,942,28,0,970,24,0,0,24,3,0,0,3,-34,0,0,-34,-5,0,0,-5,7137,200,0,7337,1002,28,0,1030,"February 28, 2019"
