0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","AUC as on February 15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 01-15, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","Net Investment February 16-28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","AUC as on February 28, 2021","February 28, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"February 28, 2021"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"February 28, 2021"
1,Automobiles & Auto Components,208275,317,0,0,208592,28692,44,0,0,28736,129,0,0,0,129,18,0,0,0,18,-1192,0,0,0,-1192,-163,0,0,0,-163,191159,317,0,0,191476,26172,43,0,0,26215,"February 28, 2021"
2,Total Financial Services,1512370,28224,12540,0,1553134,208342,3888,1727,0,213957,11461,867,-608,0,11720,1579,119,-84,0,1614,2805,-1110,-103,0,1592,384,-152,-14,0,218,1395789,27417,12444,0,1435650,191097,3754,1704,0,196555,"February 28, 2021"
2a,Banks,893074,6625,107,0,899806,123029,913,15,0,123957,5729,-24,0,0,5705,789,-3,0,0,786,468,-78,0,0,390,64,-11,0,0,53,829312,6547,107,0,835966,113541,896,15,0,114452,"February 28, 2021"
2b,Other Financial Services1,619295,21599,12433,0,653327,85313,2975,1713,0,90001,5732,891,-608,0,6015,790,123,-84,0,829,2336,-1032,-103,0,1201,320,-141,-14,0,165,566477,20870,12337,0,599684,77556,2857,1689,0,82102,"February 28, 2021"
3,Capital Goods,164858,153,45,0,165056,22711,21,6,0,22738,484,0,0,0,484,67,0,0,0,67,-843,0,0,0,-843,-115,0,0,0,-115,163588,153,45,0,163786,22397,21,6,0,22424,"February 28, 2021"
4,Chemicals & Petrochemicals,53693,0,480,0,54173,7397,0,66,0,7463,-179,0,0,0,-179,-25,0,0,0,-25,639,0,0,0,639,88,0,0,0,88,55327,0,480,0,55807,7575,0,66,0,7641,"February 28, 2021"
5,Coal,5613,0,0,0,5613,773,0,0,0,773,-108,0,0,0,-108,-15,0,0,0,-15,92,0,0,0,92,13,0,0,0,13,6462,0,0,0,6462,885,0,0,0,885,"February 28, 2021"
6,Commercial Services & Supplies,21530,0,0,0,21530,2966,0,0,0,2966,110,0,0,0,110,15,0,0,0,15,-15,0,0,0,-15,-2,0,0,0,-2,23504,0,0,0,23504,3218,0,0,0,3218,"February 28, 2021"
7,Construction Materials,80726,229,200,0,81155,11121,32,28,0,11181,801,0,0,0,801,110,0,0,0,110,547,271,0,0,818,75,37,0,0,112,77752,499,200,0,78451,10645,68,27,0,10740,"February 28, 2021"
8,Consumer Durables,92035,0,0,0,92035,12679,0,0,0,12679,973,0,0,0,973,134,0,0,0,134,-209,0,0,0,-209,-29,0,0,0,-29,88364,0,0,0,88364,12098,0,0,0,12098,"February 28, 2021"
9,Diversified2,9302,200,0,0,9502,1281,28,0,0,1309,-15,0,0,0,-15,-2,0,0,0,-2,-48,0,0,0,-48,-7,0,0,0,-7,9362,200,0,0,9562,1282,27,0,0,1309,"February 28, 2021"
10,Diversified Consumer Services,2847,0,0,0,2847,392,0,0,0,392,-25,0,0,0,-25,-3,0,0,0,-3,-7,0,0,0,-7,-1,0,0,0,-1,3040,0,0,0,3040,416,0,0,0,416,"February 28, 2021"
11,Food & Drugs Retailing,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,"February 28, 2021"
12,"Food, Beverages & Tobacco",112359,214,0,0,112573,15478,29,0,0,15507,-1119,0,0,0,-1119,-154,0,0,0,-154,-1198,-1,0,0,-1199,-164,0,0,0,-164,106053,214,0,0,106267,14520,29,0,0,14549,"February 28, 2021"
13,Forest Materials,1453,335,79,0,1867,200,46,11,0,257,-5,0,0,0,-5,-1,0,0,0,-1,14,0,0,0,14,2,0,0,0,2,1533,335,79,0,1947,210,46,11,0,267,"February 28, 2021"
14,General Industrials,26563,55,0,0,26618,3659,8,0,0,3667,389,0,0,0,389,54,0,0,0,54,411,0,0,0,411,56,0,0,0,56,27389,55,0,0,27444,3750,8,0,0,3758,"February 28, 2021"
15,Hardware Technology & Equipment,53,0,0,0,53,7,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,52,7,0,0,0,7,"February 28, 2021"
16,Healthcare Equipment & Supplies,265,0,0,0,265,37,0,0,0,37,32,0,0,0,32,4,0,0,0,4,96,0,0,0,96,13,0,0,0,13,766,0,0,0,766,105,0,0,0,105,"February 28, 2021"
17,Healthcare Services,42477,0,0,0,42477,5852,0,0,0,5852,409,0,0,0,409,56,0,0,0,56,105,0,0,0,105,14,0,0,0,14,41543,0,0,0,41543,5688,0,0,0,5688,"February 28, 2021"
18,"Hotels, Restaurants & Tourism",22599,100,0,0,22699,3113,14,0,0,3127,91,0,0,0,91,13,0,0,0,13,269,0,0,0,269,37,0,0,0,37,23440,100,0,0,23540,3209,14,0,0,3223,"February 28, 2021"
19,Household & Personal Products,140928,0,0,0,140928,19414,0,0,0,19414,-743,0,0,0,-743,-102,0,0,0,-102,104,0,0,0,104,14,0,0,0,14,134906,0,0,0,134906,18470,0,0,0,18470,"February 28, 2021"
20,Insurance,96263,90,0,0,96353,13261,12,0,0,13273,539,0,0,0,539,74,0,0,0,74,1243,0,0,0,1243,170,0,0,0,170,96264,90,0,0,96354,13180,12,0,0,13192,"February 28, 2021"
21,Media,20879,108,230,0,21217,2876,15,32,0,2923,-110,65,165,0,120,-15,9,23,0,17,115,0,0,0,115,16,0,0,0,16,20478,57,230,0,20765,2804,8,31,0,2843,"February 28, 2021"
22,Metals & Mining,64504,544,70,0,65118,8886,75,10,0,8971,528,0,0,0,528,73,0,0,0,73,980,0,0,0,980,134,0,0,0,134,71094,544,70,0,71708,9733,74,10,0,9817,"February 28, 2021"
