0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,ReportDate
,,"AUC as on Feb 15, 2012","AUC as on Feb 15, 2012","AUC as on Feb 15, 2012","AUC as on Feb 15, 2012","AUC as on Feb 15, 2012","AUC as on Feb 15, 2012","Net Investment  Feb 16-29, 2012","Net Investment  Feb 16-29, 2012","Net Investment  Feb 16-29, 2012","Net Investment  Feb 16-29, 2012","Net Investment  Feb 16-29, 2012","Net Investment  Feb 16-29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","February 29, 2012"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"February 29, 2012"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"February 29, 2012"
1,Automobiles & Auto  Components,49466,0,49466,10043,0,10043,275,0,275,56,0,56,48506,0,48506,9911,0,9911,"February 29, 2012"
2,Total Financial Services,275479,31201,306680,55933,6335,62268,8522,2671,11193,1741,546,2287,271186,34306,305492,55411,7010,62421,"February 29, 2012"
2a,Banks,163229,17,163246,33142,3,33145,2480,-6,2474,507,-1,505,157879,12,157891,32259,2,32262,"February 29, 2012"
2b,Other Financial  Services#,112250,31184,143435,22791,6332,29123,6042,2677,8719,1235,547,1782,113307,34294,147601,23152,7007,30159,"February 29, 2012"
3,Capital Goods,68212,375,68587,13850,76,13926,951,23,974,194,5,199,66955,400,67355,13681,82,13763,"February 29, 2012"
4,Chemicals &  Petrochemicals,8422,75,8497,1710,15,1725,55,0,55,11,0,11,8391,75,8466,1715,15,1730,"February 29, 2012"
5,Coal,12459,0,12459,2530,0,2530,-353,0,-353,-72,0,-72,11957,0,11957,2443,0,2443,"February 29, 2012"
6,Commercial  Services & Supplies,8799,0,8799,1787,0,1787,-20,0,-20,-4,0,-4,8672,0,8672,1772,0,1772,"February 29, 2012"
7,Construction  Materials,20396,60,20456,4141,12,4153,132,0,132,27,0,27,19678,60,19738,4021,12,4033,"February 29, 2012"
8,Consumer  Durables,6978,0,6978,1417,0,1417,6,0,6,1,0,1,7195,0,7195,1470,0,1470,"February 29, 2012"
9,Diversified,2462,0,2462,500,0,500,-5,0,-5,-1,0,-1,2485,0,2485,508,0,508,"February 29, 2012"
10,Diversified  Consumer Services,817,0,817,166,0,166,-38,0,-38,-8,0,-8,702,0,702,143,0,143,"February 29, 2012"
11,"Food, Beverages  & Tobacco",45983,58,46041,9336,12,9348,217,-25,192,44,-5,39,45980,31,46011,9395,6,9401,"February 29, 2012"
12,Forest Materials,426,0,426,87,0,87,4,0,4,1,0,1,420,0,420,86,0,86,"February 29, 2012"
13,General  Industrials,7012,0,7012,1424,0,1424,-60,0,-60,-12,0,-12,6587,0,6587,1346,0,1346,"February 29, 2012"
14,Hardware  Technology & Equipment,351,0,351,71,0,71,-15,0,-15,-3,0,-3,325,0,325,66,0,66,"February 29, 2012"
15,Healthcare  Equipment & Supplies,2057,0,2057,418,0,418,15,0,15,3,0,3,1958,0,1958,400,0,400,"February 29, 2012"
16,Healthcare  Services,2801,0,2801,569,0,569,-3,0,-3,-1,0,-1,2607,0,2607,533,0,533,"February 29, 2012"
17,"Hotels,  Restaurants & Tourism",4062,100,4162,825,20,845,56,0,56,11,0,11,4064,100,4164,830,20,851,"February 29, 2012"
