0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on December 31, 2014","AUC as on December 31, 2014","AUC as on December 31, 2014","AUC as on December 31, 2014","AUC as on December 31, 2014","AUC as on December 31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment December 16-31, 2014","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","Net Investment January 01-15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","AUC as on January 15, 2015","January 15, 2015"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"January 15, 2015"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"January 15, 2015"
1,Automobiles & Auto Components,115755,100,115855,18278,16,18293,-51,0,-51,-8,0,-8,97,0,97,16,0,16,118195,100,118295,19138,16,19154,"January 15, 2015"
2,Total Financial Services,388952,56225,445177,61415,8878,70293,121,-973,-851,19,-154,-134,902,1994,2895,146,323,469,410062,58822,468885,66397,9525,75922,"January 15, 2015"
2a,Banks,173628,971,174599,27416,153,27569,227,21,248,36,3,39,828,18,846,134,3,137,183870,990,184860,29772,160,29932,"January 15, 2015"
2b,Other Financial Services1,215324,55254,270577,33999,8725,42724,-106,-993,-1099,-17,-157,-174,74,1976,2049,12,320,332,226192,57833,284025,36625,9364,45989,"January 15, 2015"
3,Capital Goods,112173,437,112611,17712,69,17781,-924,-5,-929,-146,-1,-147,-30,0,-30,-5,0,-5,116843,437,117280,18919,71,18990,"January 15, 2015"
4,Chemicals & Petrochemicals,19742,240,19982,3117,38,3155,96,0,96,15,0,15,30,120,150,5,19,24,20654,283,20937,3344,46,3390,"January 15, 2015"
5,Coal,13738,0,13738,2169,0,2169,349,0,349,55,0,55,-8,0,-8,-1,0,-1,13203,0,13203,2138,0,2138,"January 15, 2015"
6,Commercial Services & Supplies,13864,470,14334,2189,74,2263,-116,0,-116,-18,0,-18,1,0,1,0,0,0,14202,470,14672,2300,76,2376,"January 15, 2015"
7,Construction Materials,37853,795,38648,5977,126,6102,-276,0,-276,-44,0,-44,-106,50,-56,-17,8,-9,41197,845,42042,6671,137,6807,"January 15, 2015"
8,Consumer Durables,6535,25,6560,1032,4,1036,-62,0,-62,-10,0,-10,-115,35,-80,-19,6,-13,5193,60,5253,841,10,851,"January 15, 2015"
9,Diversified2,4491,0,4491,709,0,709,-17,0,-17,-3,0,-3,-7,0,-7,-1,0,-1,4610,0,4610,746,0,746,"January 15, 2015"
10,Diversified Consumer Services,561,0,561,89,0,89,197,0,197,31,0,31,27,0,27,4,0,4,582,0,582,94,0,94,"January 15, 2015"
11,"Food, Beverages & Tobacco",96672,0,96672,15264,0,15264,-185,0,-185,-29,0,-29,-111,0,-111,-18,0,-18,97021,0,97021,15710,0,15710,"January 15, 2015"
12,Forest Materials,816,0,816,129,0,129,1,0,1,0,0,0,2,0,2,0,0,0,848,0,848,137,0,137,"January 15, 2015"
13,General Industrials,12519,0,12519,1977,0,1977,-22,0,-22,-3,0,-3,27,0,27,4,0,4,12755,0,12755,2065,0,2065,"January 15, 2015"
14,Hardware Technology & Equipment,67,0,67,11,0,11,-6,0,-6,-1,0,-1,-1,0,-1,0,0,0,62,0,62,10,0,10,"January 15, 2015"
15,Healthcare Equipment & Supplies,195,0,195,31,0,31,29,0,29,5,0,5,27,0,27,4,0,4,220,0,220,36,0,36,"January 15, 2015"
16,Healthcare Services,7019,125,7144,1108,20,1128,19,0,19,3,0,3,-5,0,-5,-1,0,-1,7111,125,7236,1151,20,1172,"January 15, 2015"
17,"Hotels, Restaurants & Tourism",8527,0,8527,1346,0,1346,-11,0,-11,-2,0,-2,-62,0,-62,-10,0,-10,8704,0,8704,1409,0,1409,"January 15, 2015"
