0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on December 31, 2016","AUC as on December 31, 2016","AUC as on December 31, 2016","AUC as on December 31, 2016","AUC as on December 31, 2016","AUC as on December 31, 2016","Net Investment December 16-31, 2016","Net Investment December 16-31, 2016","Net Investment December 16-31, 2016","Net Investment December 16-31, 2016","Net Investment December 16-31, 2016","Net Investment December 16-31, 2016","Net Investment January 01-15, 2017","Net Investment January 01-15, 2017","Net Investment January 01-15, 2017","Net Investment January 01-15, 2017","Net Investment January 01-15, 2017","Net Investment January 01-15, 2017","AUC as on January 15, 2017","AUC as on January 15, 2017","AUC as on January 15, 2017","AUC as on January 15, 2017","AUC as on January 15, 2017","AUC as on January 15, 2017","January 15, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"January 15, 2017"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"January 15, 2017"
1,Automobiles & Auto Components,136614,317,136932,20104,47,20150,-188,0,-188,-28,0,-28,-119,0,-119,-17,0,-17,141133,317,141450,20685,47,20731,"January 15, 2017"
2,Total Financial Services,430459,34415,464874,63345,5064,68409,-1579,195,-1384,-232,29,-204,-162,-705,-867,-24,-103,-127,441317,33437,474754,64680,4901,69580,"January 15, 2017"
2a,Banks,205265,3930,209195,30206,578,30785,-877,220,-657,-129,32,-97,-146,266,120,-21,39,18,214300,3837,218137,31408,562,31970,"January 15, 2017"
2b,Other Financial Services1,225194,30485,255679,33139,4486,37625,-702,-25,-727,-103,-4,-107,-16,-971,-987,-2,-142,-145,227017,29600,256617,33272,4338,37610,"January 15, 2017"
3,Capital Goods,112131,847,112979,16501,125,16626,-509,0,-509,-75,0,-75,-366,0,-366,-54,0,-54,119253,847,120100,17478,124,17602,"January 15, 2017"
4,Chemicals & Petrochemicals,29077,0,29077,4279,0,4279,-228,0,-228,-34,0,-34,-170,0,-170,-25,0,-25,30571,0,30571,4481,0,4481,"January 15, 2017"
5,Coal,13050,0,13050,1920,0,1920,-177,0,-177,-26,0,-26,-86,0,-86,-13,0,-13,13700,0,13700,2008,0,2008,"January 15, 2017"
6,Commercial Services & Supplies,4100,200,4300,603,29,633,-151,0,-151,-22,0,-22,70,0,70,10,0,10,4748,200,4948,696,29,725,"January 15, 2017"
7,Construction Materials,43789,649,44438,6444,95,6539,-343,-250,-594,-51,-37,-87,-153,0,-153,-22,0,-22,45160,649,45809,6619,95,6714,"January 15, 2017"
8,Consumer Durables,3280,0,3280,483,0,483,3,0,3,0,0,0,-19,0,-19,-3,0,-3,3303,0,3303,484,0,484,"January 15, 2017"
9,Diversified2,3285,0,3285,483,0,483,-34,0,-34,-5,0,-5,-92,0,-92,-14,0,-14,3383,0,3383,496,0,496,"January 15, 2017"
10,Diversified Consumer Services,252,0,252,37,0,37,-2,0,-2,0,0,0,-3,0,-3,0,0,0,297,0,297,44,0,44,"January 15, 2017"
11,"Food, Beverages & Tobacco",88703,89,88792,13053,13,13066,-1189,0,-1189,-175,0,-175,-493,0,-493,-72,0,-72,90675,89,90764,13289,13,13302,"January 15, 2017"
12,Forest Materials,1024,0,1024,151,0,151,-7,0,-7,-1,0,-1,4,0,4,1,0,1,1079,0,1079,158,0,158,"January 15, 2017"
13,General Industrials,17359,385,17744,2554,57,2611,-101,0,-101,-15,0,-15,-76,0,-76,-11,0,-11,17723,385,18108,2597,56,2654,"January 15, 2017"
14,Hardware Technology & Equipment,54,0,54,8,0,8,6,0,6,1,0,1,0,0,0,0,0,0,56,0,56,8,0,8,"January 15, 2017"
15,Healthcare Equipment & Supplies,1,0,1,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,1,0,1,0,0,0,"January 15, 2017"
16,Healthcare Services,8448,0,8448,1243,0,1243,-57,0,-57,-8,0,-8,-3,0,-3,0,0,0,8590,0,8590,1259,0,1259,"January 15, 2017"
17,"Hotels, Restaurants & Tourism",5082,125,5207,748,18,766,-19,0,-19,-3,0,-3,-19,0,-19,-3,0,-3,5202,125,5327,762,18,781,"January 15, 2017"
18,Household & Personal Products,69518,0,69518,10230,0,10230,-314,0,-314,-46,0,-46,-98,0,-98,-14,0,-14,70547,0,70547,10339,0,10339,"January 15, 2017"
19,Media,30590,769,31359,4502,113,4615,40,-1,39,6,0,6,-216,-3,-219,-32,0,-32,32094,770,32864,4704,113,4817,"January 15, 2017"
