0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on December 31, 2018","AUC as on December 31, 2018","AUC as on December 31, 2018","AUC as on December 31, 2018","AUC as on December 31, 2018","AUC as on December 31, 2018","AUC as on December 31, 2018","AUC as on December 31, 2018","Net Investment December 16-31, 2018","Net Investment December 16-31, 2018","Net Investment December 16-31, 2018","Net Investment December 16-31, 2018","Net Investment December 16-31, 2018","Net Investment December 16-31, 2018","Net Investment December 16-31, 2018","Net Investment December 16-31, 2018","Net Investment January 01-15, 2019","Net Investment January 01-15, 2019","Net Investment January 01-15, 2019","Net Investment January 01-15, 2019","Net Investment January 01-15, 2019","Net Investment January 01-15, 2019","Net Investment January 01-15, 2019","Net Investment January 01-15, 2019","AUC as on January 15, 2019","AUC as on January 15, 2019","AUC as on January 15, 2019","AUC as on January 15, 2019","AUC as on January 15, 2019","AUC as on January 15, 2019","AUC as on January 15, 2019","AUC as on January 15, 2019","January 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"January 15, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"January 15, 2019"
1,Automobiles & Auto Components,179104,317,0,179421,25662,45,0,25707,263,0,0,263,38,0,0,38,-335,0,0,-335,-47,0,0,-47,169820,317,0,170137,23908,45,0,23953,"January 15, 2019"
2,Total Financial Services,959590,54751,2064,1016405,137492,7845,296,145633,1239,279,-4,1514,178,40,-1,217,-2213,-576,1,-2788,-312,-81,0,-393,958338,53908,2061,1014307,134920,7589,290,142799,"January 15, 2019"
2a,Banks,543299,6310,0,549609,77845,904,0,78749,-1138,-25,0,-1163,-163,-4,0,-167,-2268,18,0,-2250,-319,3,0,-316,544394,8054,0,552448,76643,1134,0,77777,"January 15, 2019"
2b,Other Financial Services1,416291,48441,2064,466796,59647,6941,296,66884,2377,303,-4,2676,341,43,-1,383,55,-594,1,-538,8,-84,0,-76,413944,45854,2061,461859,58277,6456,290,65023,"January 15, 2019"
3,Capital Goods,101659,383,0,102042,14566,55,0,14621,473,0,0,473,68,0,0,68,-922,0,0,-922,-130,0,0,-130,98627,384,0,99011,13885,54,0,13939,"January 15, 2019"
4,Chemicals & Petrochemicals,38137,0,0,38137,5464,0,0,5464,-250,0,0,-250,-36,0,0,-36,70,0,0,70,10,0,0,10,38769,0,0,38769,5458,0,0,5458,"January 15, 2019"
5,Coal,9099,0,0,9099,1304,0,0,1304,-121,0,0,-121,-17,0,0,-17,119,0,0,119,17,0,0,17,8833,0,0,8833,1244,0,0,1244,"January 15, 2019"
6,Commercial Services & Supplies,8223,200,0,8423,1178,29,0,1207,66,0,0,66,9,0,0,9,21,0,0,21,3,0,0,3,7837,200,0,8037,1103,28,0,1131,"January 15, 2019"
7,Construction Materials,58292,679,0,58971,8352,97,0,8449,388,0,0,388,56,0,0,56,185,0,0,185,26,0,0,26,56078,679,0,56757,7895,96,0,7991,"January 15, 2019"
8,Consumer Durables,39285,0,0,39285,5629,0,0,5629,-33,0,0,-33,-5,0,0,-5,-135,0,0,-135,-19,0,0,-19,39530,0,0,39530,5565,0,0,5565,"January 15, 2019"
9,Diversified2,3767,0,0,3767,540,0,0,540,-11,0,0,-11,-2,0,0,-2,-11,0,0,-11,-1,0,0,-1,3818,0,0,3818,538,0,0,538,"January 15, 2019"
10,Diversified Consumer Services,2808,0,0,2808,402,0,0,402,-19,0,0,-19,-3,0,0,-3,-6,0,0,-6,-1,0,0,-1,2801,0,0,2801,394,0,0,394,"January 15, 2019"
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"January 15, 2019"
12,"Food, Beverages & Tobacco",104422,662,0,105084,14962,95,0,15057,539,0,0,539,77,0,0,77,431,0,0,431,61,0,0,61,107908,662,0,108570,15192,93,0,15285,"January 15, 2019"
13,Forest Materials,1422,335,0,1757,204,48,0,252,-28,0,0,-28,-4,0,0,-4,-48,0,0,-48,-7,0,0,-7,1334,335,0,1669,188,47,0,235,"January 15, 2019"
14,General Industrials,18430,385,0,18815,2641,55,0,2696,-117,0,0,-117,-17,0,0,-17,3,0,0,3,0,0,0,0,17987,385,0,18372,2532,54,0,2586,"January 15, 2019"
15,Hardware Technology & Equipment,43,0,0,43,6,0,0,6,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,43,6,0,0,6,"January 15, 2019"
16,Healthcare Equipment & Supplies,97,0,0,97,14,0,0,14,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,98,14,0,0,14,"January 15, 2019"
17,Healthcare Services,15483,0,0,15483,2218,0,0,2218,-19,0,0,-19,-3,0,0,-3,-18,0,0,-18,-3,0,0,-3,15994,0,0,15994,2252,0,0,2252,"January 15, 2019"
18,"Hotels, Restaurants & Tourism",13624,4,0,13628,1952,1,0,1953,-137,0,0,-137,-20,0,0,-20,-101,0,0,-101,-14,0,0,-14,13249,4,0,13253,1865,0,0,1865,"January 15, 2019"
19,Household & Personal Products,109152,0,0,109152,15639,0,0,15639,520,0,0,520,74,0,0,74,291,0,0,291,41,0,0,41,107966,0,0,107966,15200,0,0,15200,"January 15, 2019"
