0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on January 15, 2024","AUC as on January 15, 2024","AUC as on January 15, 2024","AUC as on January 15, 2024","AUC as on January 15, 2024","AUC as on January 15, 2024","AUC as on January 15, 2024","AUC as on January 15, 2024","AUC as on January 15, 2024","AUC as on January 15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 01-15, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","Net Investment January 16-31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","AUC as on January 31, 2024","January 31, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"January 31, 2024"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"January 31, 2024"
1,Automobile and Auto Components,410834,133,11,0,410978,49586,16,1,0,49603,-1630,119,0,0,-1511,-197,14,0,0,-183,-437,0,0,0,-437,-53,0,0,0,-53,420703,133,11,0,420847,50638,16,1,0,50655,"January 31, 2024"
2,Capital Goods,272530,843,0,0,273373,32893,102,0,0,32995,-304,-6,0,0,-310,-37,-1,0,0,-38,1000,0,0,0,1000,120,0,0,0,120,279625,843,0,0,280468,33657,102,0,0,33759,"January 31, 2024"
3,Chemicals,102290,0,0,0,102290,12346,0,0,0,12346,-91,0,0,0,-91,-11,0,0,0,-11,-1036,0,615,0,-421,-125,0,74,0,-51,96938,0,615,0,97553,11668,0,74,0,11742,"January 31, 2024"
4,Construction,139948,407,2178,0,142533,16891,49,263,0,17203,-218,0,0,0,-218,-26,0,0,0,-26,-75,0,0,0,-75,-9,0,0,0,-9,140676,407,2178,0,143261,16932,49,262,0,17243,"January 31, 2024"
5,Construction Materials,114684,896,556,0,116136,13842,108,67,0,14017,232,0,0,0,232,28,0,0,0,28,-193,0,0,0,-193,-23,0,0,0,-23,118325,896,556,0,119777,14242,108,67,0,14417,"January 31, 2024"
6,Consumer Durables,206340,0,0,0,206340,24904,0,0,0,24904,386,0,0,0,386,47,0,0,0,47,-1445,0,0,0,-1445,-174,0,0,0,-174,195445,0,0,0,195445,23525,0,0,0,23525,"January 31, 2024"
7,Consumer Services,191113,1109,670,0,192892,23067,134,81,0,23282,1015,0,0,0,1015,122,0,0,0,122,-97,0,0,0,-97,-12,0,0,0,-12,190130,1109,670,0,191909,22885,133,81,0,23099,"January 31, 2024"
8,Diversified,4481,165,0,0,4646,541,20,0,0,561,-264,0,0,0,-264,-32,0,0,0,-32,19,0,0,0,19,2,0,0,0,2,4705,165,0,0,4870,566,20,0,0,586,"January 31, 2024"
9,Fast Moving Consumer Goods,417392,133,285,0,417810,50377,16,34,0,50427,-634,-12,285,0,-361,-76,-1,34,0,-43,-2016,0,0,0,-2016,-243,0,0,0,-243,406935,133,285,0,407353,48981,16,34,0,49031,"January 31, 2024"
10,Financial Services,1962086,19983,5477,0,1987546,236815,2412,661,0,239888,1248,-76,-113,0,1059,151,-9,-14,0,128,-31261,258,899,0,-30104,-3763,31,108,0,-3624,1842078,19946,7112,0,1869136,221722,2401,856,0,224979,"January 31, 2024"
