0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","AUC as on January 15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 01-15, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","Net Investment January 16-31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","AUC as on January 31, 2025","January 31, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"January 31, 2025"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"January 31, 2025"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"January 31, 2025"
1,Automobile and Auto Components,498326,32,0,0,0,0,0,0,0,0,0,498358,57609,4,0,0,0,0,0,0,0,0,0,57613,-1924,0,0,0,0,0,0,0,0,0,0,-1924,-222,0,0,0,0,0,0,0,0,0,0,-222,-3899,0,0,0,0,0,0,0,0,0,0,-3899,-450,0,0,0,0,0,0,0,0,0,0,-450,494578,32,0,0,0,0,0,0,0,0,0,494610,57083,4,0,0,0,0,0,0,0,0,0,57087,"January 31, 2025"
2,Capital Goods,350248,721,27,0,0,0,0,0,0,0,0,350996,40491,83,3,0,0,0,0,0,0,0,0,40577,-2620,-6,0,0,0,0,0,0,0,0,0,-2626,-303,-1,0,0,0,0,0,0,0,0,0,-304,-3077,0,0,0,0,0,0,0,0,0,0,-3077,-355,0,0,0,0,0,0,0,0,0,0,-355,345699,718,27,0,0,0,0,0,0,0,0,346444,39900,83,3,0,0,0,0,0,0,0,0,39986,"January 31, 2025"
3,Chemicals,110954,0,615,0,0,0,0,0,0,0,0,111569,12827,0,71,0,0,0,0,0,0,0,0,12898,42,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0,0,0,0,0,5,313,0,-185,0,0,0,0,0,0,0,0,128,36,0,-21,0,0,0,0,0,0,0,0,15,115367,0,523,0,0,0,0,0,0,0,0,115890,13315,0,60,0,0,0,0,0,0,0,0,13375,"January 31, 2025"
4,Construction,130937,113,0,0,0,0,0,0,0,0,0,131050,15137,13,0,0,0,0,0,0,0,0,0,15150,-1623,0,0,0,0,0,0,0,0,0,0,-1623,-188,0,0,0,0,0,0,0,0,0,0,-188,-1256,0,0,0,121,0,0,0,0,0,0,-1135,-145,0,0,0,14,0,0,0,0,0,0,-131,131793,113,0,0,121,0,0,0,0,0,0,132027,15211,13,0,0,14,0,0,0,0,0,0,15238,"January 31, 2025"
5,Construction Materials,109982,1275,320,0,0,0,0,0,0,0,0,111577,12715,147,37,0,0,0,0,0,0,0,0,12899,-793,0,0,0,0,0,0,0,0,0,0,-793,-92,0,0,0,0,0,0,0,0,0,0,-92,-1277,0,0,0,0,0,0,0,0,0,0,-1277,-147,0,0,0,0,0,0,0,0,0,0,-147,116187,1275,320,0,0,0,0,0,0,0,0,117782,13410,147,37,0,0,0,0,0,0,0,0,13594,"January 31, 2025"
6,Consumer Durables,205428,0,0,0,0,0,0,0,0,0,0,205428,23749,0,0,0,0,0,0,0,0,0,0,23749,-931,0,0,0,0,0,0,0,0,0,0,-931,-108,0,0,0,0,0,0,0,0,0,0,-108,-2869,0,0,0,0,0,0,0,0,0,0,-2869,-331,0,0,0,0,0,0,0,0,0,0,-331,197231,0,0,0,0,0,0,0,0,0,0,197231,22764,0,0,0,0,0,0,0,0,0,0,22764,"January 31, 2025"
