0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on June 30, 2017","AUC as on June 30, 2017","AUC as on June 30, 2017","AUC as on June 30, 2017","AUC as on June 30, 2017","AUC as on June 30, 2017","Net Investment June 16-30, 2017","Net Investment June 16-30, 2017","Net Investment June 16-30, 2017","Net Investment June 16-30, 2017","Net Investment June 16-30, 2017","Net Investment June 16-30, 2017","Net Investment July 01-15, 2017","Net Investment July 01-15, 2017","Net Investment July 01-15, 2017","Net Investment July 01-15, 2017","Net Investment July 01-15, 2017","Net Investment July 01-15, 2017","AUC as on July 15, 2017","AUC as on July 15, 2017","AUC as on July 15, 2017","AUC as on July 15, 2017","AUC as on July 15, 2017","AUC as on July 15, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,171165,317,171482,26440,49,26489,-90,0,-90,-14,0,-14,-269,0,-269,-42,0,-42,174445,317,174763,27065,49,27114
2,Total Financial Services,602743,53650,656393,93105,8287,101392,-41,1113,1072,-6,172,166,619,-937,-318,96,-145,-49,617548,52795,670343,95812,8191,104004
2a,Banks,301509,5222,306731,46574,807,47380,-607,514,-93,-94,79,-14,1226,141,1368,190,22,212,310086,5385,315471,48110,836,48945
2b,Other Financial Services1,301234,48428,349662,46531,7481,54012,566,599,1166,88,93,180,-607,-1078,-1686,-94,-167,-262,307462,47410,354872,47703,7356,55058
3,Capital Goods,126119,883,127002,19481,136,19618,-611,0,-611,-94,0,-94,-593,0,-593,-92,0,-92,115810,883,116693,17968,137,18105
4,Chemicals & Petrochemicals,36273,0,36273,5603,0,5603,92,0,92,14,0,14,-96,0,-96,-15,0,-15,37199,0,37199,5771,0,5771
5,Coal,9923,0,9923,1533,0,1533,-97,0,-97,-15,0,-15,21,0,21,3,0,3,10170,0,10170,1578,0,1578
6,Commercial Services & Supplies,6260,200,6460,967,31,998,14,0,14,2,0,2,147,0,147,23,0,23,6805,200,7005,1056,31,1087
7,Construction Materials,55862,649,56511,8629,100,8729,-559,0,-559,-86,0,-86,273,0,273,42,0,42,60054,649,60702,9317,101,9418
8,Consumer Durables,3992,0,3992,617,0,617,59,0,59,9,0,9,44,0,44,7,0,7,4088,0,4088,634,0,634
9,Diversified2,4639,0,4639,717,0,717,-11,0,-11,-2,0,-2,53,0,53,8,0,8,1838,0,1838,285,0,285
10,Diversified Consumer Services,251,0,251,39,0,39,0,0,0,0,0,0,2,0,2,0,0,0,257,0,257,40,0,40
11,"Food, Beverages & Tobacco",113188,89,113277,17484,14,17498,-141,0,-141,-22,0,-22,-100,0,-100,-16,0,-16,117949,89,118038,18300,14,18314
12,Forest Materials,1543,0,1543,238,0,238,14,0,14,2,0,2,-18,0,-18,-3,0,-3,1526,0,1526,237,0,237
13,General Industrials,20344,385,20729,3143,59,3202,-4,0,-4,-1,0,-1,63,0,63,10,0,10,20484,385,20869,3178,60,3238
14,Hardware Technology & Equipment,27,0,27,4,0,4,6,0,6,1,0,1,2,0,2,0,0,0,32,0,32,5,0,5
15,Healthcare Equipment & Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Healthcare Services,11038,0,11038,1705,0,1705,-107,0,-107,-17,0,-17,-41,0,-41,-6,0,-6,10794,0,10794,1675,0,1675
17,"Hotels, Restaurants & Tourism",7106,125,7231,1098,19,1117,117,0,117,18,0,18,39,0,39,6,0,6,7405,125,7530,1149,19,1168
18,Household & Personal Products,80576,0,80576,12446,0,12446,-459,0,-459,-71,0,-71,-172,0,-172,-27,0,-27,86730,0,86730,13456,0,13456
19,Media,33056,725,33781,5106,112,5218,-415,0,-415,-64,0,-64,-90,-3,-93,-14,0,-14,34154,724,34878,5299,112,5411
20,Metals & Mining,44536,1516,46051,6879,234,7114,21,0,21,3,0,3,79,0,79,12,0,12,47193,1516,48708,7322,235,7557
21,Oil & Gas,162210,59,162269,25056,9,25065,1257,0,1257,194,0,194,832,0,832,129,0,129,164807,59,164866,25570,9,25579
22,Pharmaceuticals & Biotechnology,111986,0,111986,17298,0,17298,-229,0,-229,-35,0,-35,-267,0,-267,-41,0,-41,116827,0,116827,18126,0,18126
23,Realty,22370,528,22898,3455,82,3537,603,15,619,93,2,96,-94,0,-94,-15,0,-15,23380,528,23908,3627,82,3709
24,Retailing,7347,0,7347,1135,0,1135,6,0,6,1,0,1,15,0,15,2,0,2,7269,0,7269,1128,0,1128
25,Software & Services,219115,0,219115,33846,0,33846,-368,0,-368,-57,0,-57,-1034,0,-1034,-160,0,-160,226132,0,226132,35084,0,35084
26,Telecom Services,35987,2029,38016,5559,313,5872,319,-53,267,49,-8,41,377,-53,324,58,-8,50,38334,1979,40313,5948,307,6255
27,Telecommunications Equipment,275,0,275,43,0,43,0,0,0,0,0,0,-1,0,-1,0,0,0,312,0,312,48,0,48
28,"Textiles, Apparels & Accessories",27591,9,27600,4262,1,4263,79,0,79,12,0,12,-1,0,-1,0,0,0,28038,9,28047,4350,1,4351
29,Transportation,35865,719,36584,5540,111,5651,-3,0,-3,-1,0,-1,-175,0,-175,-27,0,-27,36534,719,37253,5668,112,5780
29 a,Airlines,866,699,1565,134,108,242,87,0,87,13,0,13,27,0,27,4,0,4,858,699,1557,133,108,242
29 b,Logistics,2659,0,2659,411,0,411,7,0,7,1,0,1,-9,0,-9,-1,0,-1,2697,0,2697,418,0,418
29 c,Marine Port & Services,20901,0,20901,3229,0,3229,-105,0,-105,-16,0,-16,-189,0,-189,-29,0,-29,21259,0,21259,3298,0,3298
29 d,Roads & Highways,2310,20,2330,357,3,360,-46,0,-46,-7,0,-7,-24,0,-24,-4,0,-4,2388,20,2408,371,3,374
29 e,Shipping,1601,0,1601,247,0,247,17,0,17,3,0,3,26,0,26,4,0,4,1614,0,1614,250,0,250
29 f,Surface Transportation,60,0,60,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,60,0,60,9,0,9
29 g,Transport Related Services,7468,0,7468,1154,0,1154,36,0,36,6,0,6,-6,0,-6,-1,0,-1,7657,0,7657,1188,0,1188
30,Utilities3,84194,5852,90046,13005,904,13909,-618,335,-283,-95,52,-44,8,98,106,1,15,16,86511,5954,92465,13422,924,14346
31,Sovereign,0,219091,219091,0,33843,33843,0,5316,5316,0,821,821,0,9966,9966,0,1546,1546,0,229627,229627,0,35627,35627
32,Others4,445472,114257,559729,68812,17649,86461,150,622,772,23,96,119,876,1335,2210,136,207,343,465657,116532,582189,72246,18080,90326
,Grand Total,2481052,401083,2882135,383246,61955,445201,-1016,7349,6333,-157,1135,978,497,10405,10902,77,1614,1691,2548283,413090,2961373,395365,64091,459456
