0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","AUC as on June 30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment June 16-30, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","Net Investment July 01-15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","AUC as on July 15, 2024","July 15, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"July 15, 2024"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"July 15, 2024"
1,Automobile and Auto Components,571132,163,10,0,571305,68437,20,1,0,68458,2054,0,0,0,2054,246,0,0,0,246,2993,0,0,0,2993,358,0,0,0,358,576949,163,10,0,577122,69041,19,1,0,69061,"July 15, 2024"
2,Capital Goods,409070,771,29,0,409870,49018,92,4,0,49114,2929,0,0,0,2929,351,0,0,0,351,3612,0,0,0,3612,432,0,0,0,432,419579,771,29,0,420379,50209,92,4,0,50305,"July 15, 2024"
3,Chemicals,113531,0,615,0,114146,13604,0,74,0,13678,1037,0,0,0,1037,124,0,0,0,124,-118,0,0,0,-118,-14,0,0,0,-14,116088,0,615,0,116703,13892,0,74,0,13966,"July 15, 2024"
4,Construction,141565,305,0,87,141957,16963,37,0,10,17010,-63,0,0,1,-62,-8,0,0,0,-8,-902,0,0,0,-902,-108,0,0,0,-108,146785,305,0,88,147178,17565,37,0,10,17612,"July 15, 2024"
5,Construction Materials,132499,1275,380,0,134154,15877,153,46,0,16076,1475,0,0,0,1475,177,0,0,0,177,194,0,0,0,194,23,0,0,0,23,135321,1275,380,0,136976,16193,153,45,0,16391,"July 15, 2024"
6,Consumer Durables,209491,0,0,0,209491,25103,0,0,0,25103,1038,0,0,0,1038,124,0,0,0,124,125,0,0,0,125,15,0,0,0,15,212077,0,0,0,212077,25378,0,0,0,25378,"July 15, 2024"
7,Consumer Services,279761,1109,670,0,281540,33523,133,80,0,33736,3097,0,0,0,3097,371,0,0,0,371,1642,0,0,0,1642,196,0,0,0,196,297441,1109,670,0,299220,35594,133,80,0,35807,"July 15, 2024"
8,Diversified,6480,168,0,0,6648,776,20,0,0,796,109,0,0,0,109,13,0,0,0,13,316,50,0,0,366,38,6,0,0,44,7387,218,0,0,7605,884,26,0,0,910,"July 15, 2024"
9,Fast Moving Consumer Goods,421822,115,285,0,422222,50546,14,34,0,50594,-677,-12,0,0,-689,-81,-1,0,0,-82,1809,0,0,0,1809,217,0,0,0,217,445113,115,285,0,445513,53265,14,34,0,53313,"July 15, 2024"
10,Financial Services,2054913,20669,14033,0,2089615,246235,2477,1682,0,250394,8162,-266,-542,0,7354,978,-32,-65,0,881,471,1101,247,0,1820,56,132,30,0,218,2077268,21518,14404,0,2113190,248579,2575,1724,0,252878,"July 15, 2024"
11,Forest Materials,4143,458,0,0,4601,496,55,0,0,551,162,0,0,0,162,19,0,0,0,19,43,0,0,0,43,5,0,0,0,5,4051,458,0,0,4509,485,55,0,0,540,"July 15, 2024"
12,Healthcare,399604,213,0,0,399817,47883,26,0,0,47909,2886,-45,0,0,2841,346,-5,0,0,341,2378,0,0,0,2378,285,0,0,0,285,416952,213,0,0,417165,49895,26,0,0,49921,"July 15, 2024"
13,Information Technology,597930,0,21,0,597951,71648,0,3,0,71651,1578,0,0,0,1578,189,0,0,0,189,2765,-340,0,0,2425,331,-41,0,0,290,646225,0,21,0,646246,77331,0,3,0,77334,"July 15, 2024"
14,"Media, Entertainment & Publication",13556,0,65,0,13621,1624,0,8,0,1632,-3,0,-10,0,-13,0,0,-1,0,-1,338,0,0,0,338,40,0,0,0,40,14554,0,65,0,14619,1742,0,8,0,1750,"July 15, 2024"
15,Metals & Mining,219771,71,1250,0,221092,26335,8,150,0,26493,-1128,0,0,0,-1128,-135,0,0,0,-135,1969,0,0,0,1969,236,0,0,0,236,218877,71,1250,0,220198,26192,8,150,0,26350,"July 15, 2024"
16,"Oil, Gas & Consumable Fuels",616324,413,0,0,616737,73852,50,0,0,73902,1048,0,0,0,1048,126,0,0,0,126,1944,-25,0,0,1920,233,-3,0,0,230,654704,388,0,0,655092,78346,46,0,0,78392,"July 15, 2024"
17,Power,319441,3418,250,6741,329850,38278,410,30,808,39526,-2439,0,0,-4,-2443,-292,0,0,0,-292,-891,-44,-14,-33,-982,-107,-5,-2,-4,-117,323847,3418,237,6863,334365,38754,409,28,821,40012,"July 15, 2024"
18,Realty,163404,834,690,19609,184537,19580,100,83,2350,22113,918,639,0,-157,1400,110,77,0,-19,168,192,0,0,127,319,23,0,0,15,38,167265,834,688,20071,188858,20016,100,82,2402,22600,"July 15, 2024"
19,Services,154786,1131,0,3983,159900,18548,136,0,477,19161,375,0,0,-5,370,45,0,0,-1,44,547,0,0,-7,540,65,0,0,-1,65,158261,1048,0,3997,163306,18938,125,0,478,19541,"July 15, 2024"
20,Telecommunication,263835,194,0,10262,274291,31615,23,0,1230,32868,6208,0,0,0,6208,744,0,0,0,744,934,0,0,0,934,112,0,0,0,112,263761,193,0,11233,275187,31563,23,0,1344,32930,"July 15, 2024"
21,Textiles,23182,460,0,0,23642,2778,55,0,0,2833,151,0,0,0,151,18,0,0,0,18,41,0,0,0,41,5,0,0,0,5,20653,460,0,0,21113,2471,55,0,0,2526,"July 15, 2024"
