0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","AUC as on July 15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 01-15, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","July 31,2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"July 31,2025"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"July 31,2025"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"July 31,2025"
1,Automobile and Auto Components,509003,50,220,0,0,0,0,0,0,0,0,509273,59306,6,26,0,0,0,0,0,0,0,0,59338,-1159,25,0,0,0,0,0,0,0,0,0,-1134,-135,3,0,0,0,0,0,0,0,0,0,-132,-2425,0,0,0,0,0,0,0,0,0,0,-2425,-277,0,0,0,0,0,0,0,0,0,0,-277,501618,50,220,0,0,0,0,0,0,0,0,501888,57292,6,25,0,0,0,0,0,0,0,0,57323,"July 31,2025"
2,Capital Goods,392113,596,38,0,0,0,0,0,0,0,0,392747,45687,69,4,0,0,0,0,0,0,0,0,45760,922,-22,-1,0,0,0,0,0,0,0,0,899,107,-3,0,0,0,0,0,0,0,0,0,104,-617,-7,0,0,0,0,0,0,0,0,0,-624,-70,-1,0,0,0,0,0,0,0,0,0,-71,379369,589,38,0,0,0,0,0,0,0,0,379996,43330,67,4,0,0,0,0,0,0,0,0,43401,"July 31,2025"
3,Chemicals,135592,0,523,0,0,0,0,0,0,0,0,136115,15798,0,61,0,0,0,0,0,0,0,0,15859,168,0,0,0,0,0,0,0,0,0,0,168,20,0,0,0,0,0,0,0,0,0,0,20,961,0,0,0,0,0,0,0,0,0,0,961,110,0,0,0,0,0,0,0,0,0,0,110,137733,0,523,0,0,0,0,0,0,0,0,138256,15731,0,60,0,0,0,0,0,0,0,0,15791,"July 31,2025"
4,Construction,122434,95,150,0,94,0,0,0,0,0,0,122773,14265,11,17,0,11,0,0,0,0,0,0,14304,-38,0,-100,0,1,0,0,0,0,0,0,-137,-4,0,-12,0,0,0,0,0,0,0,0,-16,-1316,0,0,0,0,0,0,0,0,0,0,-1316,-150,0,0,0,0,0,0,0,0,0,0,-150,122926,95,150,0,95,0,0,0,0,0,0,123266,14040,11,17,0,11,0,0,0,0,0,0,14079,"July 31,2025"
5,Construction Materials,125173,1250,0,0,0,0,0,0,0,0,0,126423,14584,146,0,0,0,0,0,0,0,0,0,14730,136,0,0,0,0,0,0,0,0,0,0,136,16,0,0,0,0,0,0,0,0,0,0,16,193,0,0,0,0,0,0,0,0,0,0,193,22,0,0,0,0,0,0,0,0,0,0,22,124187,1250,0,0,0,0,0,0,0,0,0,125437,14184,143,0,0,0,0,0,0,0,0,0,14327,"July 31,2025"
6,Consumer Durables,193422,0,0,0,0,0,0,0,0,0,0,193422,22536,0,0,0,0,0,0,0,0,0,0,22536,-1292,0,0,0,0,0,0,0,0,0,0,-1292,-151,0,0,0,0,0,0,0,0,0,0,-151,-1322,0,0,0,0,0,0,0,0,0,0,-1322,-151,0,0,0,0,0,0,0,0,0,0,-151,189879,0,0,0,0,0,0,0,0,0,0,189879,21687,0,0,0,0,0,0,0,0,0,0,21687,"July 31,2025"
