0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","AUC as on July 15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 01-15, 2019","Net Investment July 16-31, 2019","Net Investment July 16-31, 2019","Net Investment July 16-31, 2019","Net Investment July 16-31, 2019","Net Investment July 16-31, 2019","Net Investment July 16-31, 2019","Net Investment July 16-31, 2019","Net Investment July 16-31, 2019","AUC as on July 31, 2019","AUC as on July 31, 2019","AUC as on July 31, 2019","AUC as on July 31, 2019","AUC as on July 31, 2019","AUC as on July 31, 2019","AUC as on July 31, 2019","AUC as on July 31, 2019","July 31, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"July 31, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"July 31, 2019"
1,Automobiles & Auto Components,146028,317,0,146345,21292,46,0,21338,37,0,0,37,5,0,0,5,-1737,0,0,-1737,-252,0,0,-252,130108,317,0,130425,18895,46,0,18941,"July 31, 2019"
2,Total Financial Services,1091734,53670,4400,1149804,159183,7825,642,167650,-684,-323,-3,-1010,-100,-47,0,-147,-6014,186,-5,-5833,-873,27,-1,-847,1026670,54673,8900,1090243,149102,7940,1292,158334,"July 31, 2019"
2a,Banks,633781,7973,0,641754,92410,1163,0,93573,-1531,-17,0,-1548,-223,-3,0,-226,-4937,62,0,-4875,-717,9,0,-708,598321,8055,0,606376,86893,1170,0,88063,"July 31, 2019"
2b,Other Financial Services1,457952,45697,4400,508049,66773,6663,642,74078,847,-306,-3,538,123,-45,0,78,-1076,124,-5,-957,-156,18,-1,-139,428348,46618,8900,483866,62209,6770,1292,70271,"July 31, 2019"
3,Capital Goods,99149,578,0,99727,14457,84,0,14541,-226,0,0,-226,-33,0,0,-33,-925,0,0,-925,-134,0,0,-134,92936,578,0,93514,13497,84,0,13581,"July 31, 2019"
4,Chemicals & Petrochemicals,43661,0,0,43661,6366,0,0,6366,23,0,0,23,3,0,0,3,183,0,0,183,27,0,0,27,41769,0,0,41769,6066,0,0,6066,"July 31, 2019"
5,Coal,13041,0,0,13041,1901,0,0,1901,111,0,0,111,16,0,0,16,-189,0,0,-189,-27,0,0,-27,11373,0,0,11373,1652,0,0,1652,"July 31, 2019"
6,Commercial Services & Supplies,6890,200,0,7090,1005,29,0,1034,-5,0,0,-5,-1,0,0,-1,-8,0,0,-8,-1,0,0,-1,6591,200,0,6791,957,29,0,986,"July 31, 2019"
7,Construction Materials,60069,569,0,60638,8759,83,0,8842,-121,0,0,-121,-18,0,0,-18,-235,0,0,-235,-34,0,0,-34,58402,569,0,58971,8482,83,0,8565,"July 31, 2019"
8,Consumer Durables,39577,0,0,39577,5771,0,0,5771,-214,0,0,-214,-31,0,0,-31,115,0,0,115,17,0,0,17,41877,0,0,41877,6082,0,0,6082,"July 31, 2019"
9,Diversified2,3537,0,0,3537,516,0,0,516,73,0,0,73,11,0,0,11,9,0,0,9,1,0,0,1,3255,0,0,3255,473,0,0,473,"July 31, 2019"
10,Diversified Consumer Services,3041,0,0,3041,443,0,0,443,22,0,0,22,3,0,0,3,54,0,0,54,8,0,0,8,2825,0,0,2825,410,0,0,410,"July 31, 2019"
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"July 31, 2019"
12,"Food, Beverages & Tobacco",99838,662,0,100500,14557,96,0,14653,-643,0,0,-643,-94,0,0,-94,-452,0,0,-452,-66,0,0,-66,109017,662,0,109679,15832,96,0,15928,"July 31, 2019"
13,Forest Materials,1016,335,0,1351,148,49,0,197,-7,0,0,-7,-1,0,0,-1,0,0,0,0,0,0,0,0,869,335,0,1204,126,49,0,175,"July 31, 2019"
14,General Industrials,17670,385,0,18055,2576,56,0,2632,-11,0,0,-11,-2,0,0,-2,5,0,0,5,1,0,0,1,15856,385,0,16241,2303,56,0,2359,"July 31, 2019"
15,Hardware Technology & Equipment,38,0,0,38,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,33,5,0,0,5,"July 31, 2019"
16,Healthcare Equipment & Supplies,80,0,0,80,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,78,11,0,0,11,"July 31, 2019"
17,Healthcare Services,15800,0,0,15800,2304,0,0,2304,58,0,0,58,8,0,0,8,-20,0,0,-20,-3,0,0,-3,16179,0,0,16179,2350,0,0,2350,"July 31, 2019"
18,"Hotels, Restaurants & Tourism",10985,104,0,11089,1602,15,0,1617,34,0,0,34,5,0,0,5,13,0,0,13,2,0,0,2,11170,104,0,11274,1622,15,0,1637,"July 31, 2019"
19,Household & Personal Products,99000,0,0,99000,14435,0,0,14435,67,0,0,67,10,0,0,10,-664,0,0,-664,-96,0,0,-96,98304,0,0,98304,14277,0,0,14277,"July 31, 2019"
20,Insurance,45935,0,0,45935,6698,0,0,6698,141,0,0,141,21,0,0,21,838,0,0,838,122,0,0,122,48412,0,0,48412,7031,0,0,7031,"July 31, 2019"
21,Media,23177,172,0,23349,3379,25,0,3404,82,0,0,82,12,0,0,12,50,4,0,54,7,1,0,8,23678,177,0,23855,3439,26,0,3465,"July 31, 2019"
