0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on May 31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment June 01-15, 2017","Net Investment June 01-15, 2017","Net Investment June 01-15, 2017","Net Investment June 01-15, 2017","Net Investment June 01-15, 2017","Net Investment June 01-15, 2017","AUC as on June 15, 2017","AUC as on June 15, 2017","AUC as on June 15, 2017","AUC as on June 15, 2017","AUC as on June 15, 2017","AUC as on June 15, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,171556,317,171874,26575,49,26624,377,0,377,58,0,58,655,0,655,102,0,102,174531,317,174848,27152,49,27201
2,Total Financial Services,593719,49851,643571,91969,7722,99691,6748,3214,9962,1045,498,1543,5624,2759,8382,875,429,1304,614023,52703,666726,95523,8199,103722
2a,Banks,300237,4533,304770,46508,702,47210,4823,6,4828,747,1,748,5437,178,5615,846,28,874,308229,4718,312947,47951,734,48685
2b,Other Financial Services1,293483,45318,338800,45461,7020,52481,1926,3208,5134,298,497,795,186,2581,2767,29,401,430,305794,47985,353779,47572,7465,55037
3,Capital Goods,132197,883,133080,20478,137,20614,-22,26,4,-3,4,1,34,0,34,5,0,5,130450,883,131333,20294,137,20431
4,Chemicals & Petrochemicals,36107,0,36107,5593,0,5593,198,0,198,31,0,31,33,0,33,5,0,5,36600,0,36600,5694,0,5694
5,Coal,10762,0,10762,1667,0,1667,-59,0,-59,-9,0,-9,-18,0,-18,-3,0,-3,10424,0,10424,1622,0,1622
6,Commercial Services & Supplies,5699,200,5899,883,31,914,35,0,35,5,0,5,189,0,189,29,0,29,6333,200,6533,985,31,1016
7,Construction Materials,58706,649,59355,9094,100,9194,-326,0,-326,-51,0,-51,-96,0,-96,-15,0,-15,57408,649,58057,8931,101,9032
