0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on May 31, 2024","AUC as on May 31, 2024","AUC as on May 31, 2024","AUC as on May 31, 2024","AUC as on May 31, 2024","AUC as on May 31, 2024","AUC as on May 31, 2024","AUC as on May 31, 2024","AUC as on May 31, 2024","AUC as on May 31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment May 16-31, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","Net Investment June 01-15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","AUC as on June 15, 2024","June 15, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"June 15, 2024"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"June 15, 2024"
1,Automobile and Auto Components,523996,163,10,0,524169,62906,20,1,0,62927,-3323,0,0,0,-3323,-399,0,0,0,-399,-315,0,0,0,-315,-38,0,0,0,-38,577864,163,10,0,578037,69167,19,1,0,69187,"June 15, 2024"
2,Capital Goods,375815,771,29,0,376615,45117,93,4,0,45214,5648,0,0,0,5648,678,0,0,0,678,-137,0,0,0,-137,-16,0,0,0,-16,404048,771,29,0,404848,48362,92,4,0,48458,"June 15, 2024"
3,Chemicals,100951,0,615,0,101566,12119,0,74,0,12193,568,0,0,0,568,68,0,0,0,68,923,0,0,0,923,110,0,0,0,110,109672,0,615,0,110287,13127,0,74,0,13201,"June 15, 2024"
4,Construction,146151,305,0,73,146529,17545,37,0,9,17591,1125,-113,0,-2,1010,135,-14,0,0,121,-2660,0,0,14,-2646,-318,0,0,2,-316,146256,305,0,86,146647,17506,37,0,10,17553,"June 15, 2024"
5,Construction Materials,112786,1275,380,0,114441,13540,153,46,0,13739,-456,0,321,0,-135,-55,0,38,0,-17,302,0,0,0,302,36,0,0,0,36,124938,1275,380,0,126593,14954,153,45,0,15152,"June 15, 2024"
6,Consumer Durables,197892,0,0,0,197892,23757,0,0,0,23757,-102,0,0,0,-102,-12,0,0,0,-12,-953,0,0,0,-953,-114,0,0,0,-114,207287,0,0,0,207287,24811,0,0,0,24811,"June 15, 2024"
7,Consumer Services,243750,1109,670,0,245529,29262,133,80,0,29475,2026,0,0,0,2026,243,0,0,0,243,1607,0,0,0,1607,192,0,0,0,192,265803,1109,670,0,267582,31815,133,80,0,32028,"June 15, 2024"
8,Diversified,5995,168,0,0,6163,720,20,0,0,740,-9,0,0,0,-9,-1,0,0,0,-1,8,0,0,0,8,1,0,0,0,1,6454,168,0,0,6622,773,20,0,0,793,"June 15, 2024"
9,Fast Moving Consumer Goods,397024,133,285,0,397442,47663,16,34,0,47713,-3015,0,0,0,-3015,-362,0,0,0,-362,-245,-6,0,0,-251,-29,-1,0,0,-30,425039,127,285,0,425451,50875,15,34,0,50924,"June 15, 2024"
10,Financial Services,1896907,20575,14414,0,1931896,227723,2470,1730,0,231923,1104,306,1285,0,2695,133,37,154,0,324,1008,280,161,0,1449,120,34,19,0,173,1971419,20710,14575,0,2006704,235969,2479,1745,0,240193,"June 15, 2024"
11,Forest Materials,3209,458,0,0,3667,385,55,0,0,440,66,-10,0,0,56,8,-1,0,0,7,138,15,0,0,153,17,2,0,0,19,3838,458,0,0,4296,459,55,0,0,514,"June 15, 2024"
