0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","AUC as on June 15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 01-15, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","Net Investment June 16-30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","AUC as on June 30, 2025","June 30,2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"June 30,2025"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"June 30,2025"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"June 30,2025"
1,Automobile and Auto Components,490153,32,220,0,0,0,0,0,0,0,0,490405,56930,4,26,0,0,0,0,0,0,0,0,56960,-296,0,0,0,0,0,0,0,0,0,0,-296,-34,0,0,0,0,0,0,0,0,0,0,-34,5020,-6,0,0,0,0,0,0,0,0,0,5014,587,-1,0,0,0,0,0,0,0,0,0,586,510983,25,220,0,0,0,0,0,0,0,0,511228,59733,3,26,0,0,0,0,0,0,0,0,59762,"June 30,2025"
2,Capital Goods,379132,618,39,0,0,0,0,0,0,0,0,379789,44035,72,5,0,0,0,0,0,0,0,0,44112,1191,-3,0,0,0,0,0,0,0,0,0,1188,138,-1,0,0,0,0,0,0,0,0,0,137,-3022,0,0,0,0,0,0,0,0,0,0,-3022,-353,0,0,0,0,0,0,0,0,0,0,-353,394124,618,39,0,0,0,0,0,0,0,0,394781,46073,72,5,0,0,0,0,0,0,0,0,46150,"June 30,2025"
3,Chemicals,131258,0,523,0,0,0,0,0,0,0,0,131781,15245,0,61,0,0,0,0,0,0,0,0,15306,1405,0,0,0,0,0,0,0,0,0,0,1405,163,0,0,0,0,0,0,0,0,0,0,163,987,0,0,0,0,0,0,0,0,0,0,987,115,0,0,0,0,0,0,0,0,0,0,115,137226,0,523,0,0,0,0,0,0,0,0,137749,16042,0,61,0,0,0,0,0,0,0,0,16103,"June 30,2025"
4,Construction,124748,95,0,0,90,0,0,0,0,0,0,124933,14489,11,0,0,10,0,0,0,0,0,0,14510,-224,0,0,0,-1,0,0,0,0,0,0,-225,-26,0,0,0,0,0,0,0,0,0,0,-26,-14,250,0,0,1,0,0,0,0,0,0,237,-2,29,0,0,0,0,0,0,0,0,0,27,127820,345,0,0,90,0,0,0,0,0,0,128255,14942,40,0,0,11,0,0,0,0,0,0,14993,"June 30,2025"
5,Construction Materials,114767,1250,0,0,0,0,0,0,0,0,0,116017,13330,145,0,0,0,0,0,0,0,0,0,13475,-584,0,0,0,0,0,0,0,0,0,0,-584,-68,0,0,0,0,0,0,0,0,0,0,-68,842,0,0,0,0,0,0,0,0,0,0,842,98,0,0,0,0,0,0,0,0,0,0,98,122722,1250,0,0,0,0,0,0,0,0,0,123972,14346,146,0,0,0,0,0,0,0,0,0,14492,"June 30,2025"
6,Consumer Durables,186335,0,0,0,0,0,0,0,0,0,0,186335,21642,0,0,0,0,0,0,0,0,0,0,21642,-1893,0,0,0,0,0,0,0,0,0,0,-1893,-220,0,0,0,0,0,0,0,0,0,0,-220,-600,0,0,0,0,0,0,0,0,0,0,-600,-70,0,0,0,0,0,0,0,0,0,0,-70,194034,0,0,0,0,0,0,0,0,0,0,194034,22682,0,0,0,0,0,0,0,0,0,0,22682,"June 30,2025"
