0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","AUC  as on June 15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 1-15, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","Net  Investment  June 16-30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","AUC  as on June 30, 2012","June 30, 2012"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"June 30, 2012"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"June 30, 2012"
1,Automobiles  & Auto Components,46102,0,46102,8267,0,8267,-421,0,-421,-75,0,-75,-146,0,-146,-26,0,-26,47622,0,47622,8457,0,8457,"June 30, 2012"
2,Total Financial Services,259548,31462,291010,46545,5642,52187,914,-2538,-1624,164,-455,-291,-1129,-148,-1277,-201,-26,-227,266795,31144,297939,47381,5531,52911,"June 30, 2012"
2a,Banks,151099,9,151107,27097,2,27098,734,0,734,132,0,132,-464,0,-464,-82,0,-82,155828,9,155837,27674,2,27675,"June 30, 2012"
2b,Other  Financial Services1,108449,31453,139902,19448,5641,25089,180,-2538,-2358,32,-455,-423,-666,-148,-813,-118,-26,-144,110967,31135,142102,19707,5529,25236,"June 30, 2012"
3,Capital  Goods,57862,463,58324,10376,83,10459,-478,0,-478,-86,0,-86,-277,-62,-339,-49,-11,-60,59501,400,59901,10567,71,10638,"June 30, 2012"
4,Chemicals  & Petrochemicals,7337,0,7337,1316,0,1316,-41,0,-41,-7,0,-7,105,0,105,19,0,19,7680,0,7680,1364,0,1364,"June 30, 2012"
5,Coal,12366,0,12366,2218,0,2218,12,0,12,2,0,2,71,0,71,13,0,13,12710,0,12710,2257,0,2257,"June 30, 2012"
6,Commercial  Services & Supplies,5721,0,5721,1026,0,1026,-35,0,-35,-6,0,-6,-58,0,-58,-10,0,-10,5682,0,5682,1009,0,1009,"June 30, 2012"
7,Construction  Materials,20326,60,20386,3645,11,3656,118,0,118,21,0,21,286,0,286,51,0,51,21549,60,21609,3827,11,3838,"June 30, 2012"
