0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","AUC as on June 15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 01-15, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","Net Investment June 16-30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","AUC as on June 30, 2019","June 30, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"June 30, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"June 30, 2019"
1,Automobiles & Auto Components,154084,317,0,154401,22150,46,0,22196,1151,0,0,1151,166,0,0,166,263,0,0,263,38,0,0,38,151922,317,0,152239,22044,46,0,22090,"June 30, 2019"
2,Total Financial Services,1095960,54797,4317,1155074,157546,7877,621,166044,610,-212,-4,394,88,-30,-1,57,-7,-974,-7,-988,-1,-141,-1,-143,1103154,53831,4262,1161247,160068,7811,618,168497,"June 30, 2019"
2a,Banks,634542,7978,0,642520,91216,1147,0,92363,251,0,0,251,36,0,0,36,-1440,15,0,-1425,-209,2,0,-207,640758,7995,0,648753,92974,1160,0,94134,"June 30, 2019"
2b,Other Financial Services1,461419,46819,4317,512555,66330,6730,621,73681,359,-212,-4,143,52,-30,-1,21,1433,-989,-7,437,208,-143,-1,64,462396,45836,4262,512494,67094,6651,618,74363,"June 30, 2019"
3,Capital Goods,103724,478,0,104202,14911,69,0,14980,888,177,0,1065,128,25,0,153,943,101,0,1044,137,15,0,152,105443,578,0,106021,15300,84,0,15384,"June 30, 2019"
4,Chemicals & Petrochemicals,45420,0,0,45420,6529,0,0,6529,-120,0,0,-120,-17,0,0,-17,142,0,0,142,21,0,0,21,43539,0,0,43539,6317,0,0,6317,"June 30, 2019"
5,Coal,14083,0,0,14083,2024,0,0,2024,171,0,0,171,25,0,0,25,180,0,0,180,26,0,0,26,14108,0,0,14108,2047,0,0,2047,"June 30, 2019"
6,Commercial Services & Supplies,7573,200,0,7773,1089,29,0,1118,8,0,0,8,1,0,0,1,17,0,0,17,3,0,0,3,7461,200,0,7661,1083,29,0,1112,"June 30, 2019"
7,Construction Materials,59258,578,0,59836,8518,83,0,8601,-407,0,0,-407,-59,0,0,-59,-279,-10,0,-289,-40,-1,0,-41,59846,569,0,60415,8684,83,0,8767,"June 30, 2019"
