0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,ReportDate
,,"AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","AUC as on Feb 29, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","Net Investment  Mar 1-15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","AUC as on Mar 15, 2012","March 15, 2012"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"March 15, 2012"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"March 15, 2012"
1,Automobiles & Auto  Components,48506,0,48506,9911,0,9911,247,0,247,49,0,49,48590,0,48590,9675,0,9675,"March 15, 2012"
2,Total Financial  Services,271186,34306,305492,55411,7010,62421,1302,393,1695,259,78,338,277548,34487,312035,55264,6867,62131,"March 15, 2012"
2a,Banks,157879,12,157891,32259,2,32262,458,0,458,91,0,91,162711,12,162723,32398,2,32400,"March 15, 2012"
2b,Other  Financial Services2,113307,34294,147601,23152,7007,30159,845,393,1238,168,78,246,114837,34475,149312,22866,6864,29730,"March 15, 2012"
3,Capital  Goods,66955,400,67355,13681,82,13763,313,0,313,62,0,62,68824,400,69224,13704,80,13783,"March 15, 2012"
4,Chemicals  & Petrochemicals,8391,75,8466,1715,15,1730,6,0,6,1,0,1,8145,75,8220,1622,15,1637,"March 15, 2012"
5,Coal,11957,0,11957,2443,0,2443,142,0,142,28,0,28,12346,0,12346,2458,0,2458,"March 15, 2012"
6,Commercial  Services & Supplies,8672,0,8672,1772,0,1772,-62,0,-62,-12,0,-12,7704,0,7704,1534,0,1534,"March 15, 2012"
7,Construction  Materials,19678,60,19738,4021,12,4033,153,0,153,30,0,30,20624,60,20684,4107,12,4119,"March 15, 2012"
8,Consumer  Durables,7195,0,7195,1470,0,1470,43,0,43,8,0,8,7299,0,7299,1453,0,1453,"March 15, 2012"
9,Diversified3,2485,0,2485,508,0,508,-12,44,33,-2,9,6,2542,45,2587,506,9,515,"March 15, 2012"
10,Diversified  Consumer Services,702,0,702,143,0,143,-87,0,-87,-17,0,-17,626,0,626,125,0,125,"March 15, 2012"
11,"Food,  Beverages & Tobacco",45980,31,46011,9395,6,9401,457,-29,428,91,-6,85,47268,1,47269,9412,0,9412,"March 15, 2012"
12,Forest  Materials,420,0,420,86,0,86,7,0,7,1,0,1,421,0,421,84,0,84,"March 15, 2012"
13,General  Industrials,6587,0,6587,1346,0,1346,59,0,59,12,0,12,6764,0,6764,1347,0,1347,"March 15, 2012"
14,Hardware  Technology & Equipment,325,0,325,66,0,66,1,0,1,0,0,0,346,0,346,69,0,69,"March 15, 2012"
15,Healthcare  Equipment & Supplies,1958,0,1958,400,0,400,7,0,7,1,0,1,1954,0,1954,389,0,389,"March 15, 2012"
16,Healthcare  Services,2607,0,2607,533,0,533,650,0,650,129,0,129,3508,0,3508,699,0,699,"March 15, 2012"
17,"Hotels,  Restaurants & Tourism",4064,100,4164,830,20,851,32,0,32,6,0,6,4208,100,4308,838,20,858,"March 15, 2012"
18,Household  & Personal Products,29503,0,29503,6028,0,6028,109,0,109,22,0,22,30118,0,30118,5997,0,5997,"March 15, 2012"
