0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","AUC  as on February 28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  February 16-28, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","Net  Investment  March 1-15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","AUC  as on March 15, 2013","March 15, 2013"
,,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,IN  INR Cr.,IN  INR Cr.,IN  INR Cr.,IN  USD Mn,IN  USD Mn,IN  USD Mn,"March 15, 2013"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"March 15, 2013"
1,Automobiles & Auto Components,57174,0,57174,10632,0,10632,167,0,167,31,0,31,95,0,95,17,0,17,58478,0,58478,10797,0,10797,"March 15, 2013"
2,Total Financial Services,336755,0,336755,62625,0,62625,1638,1289,2926,305,240,544,959,2213,3172,177,409,586,349241,40778,390019,64483,7529,72012,"March 15, 2013"
2a,Banks,201118,128,201246,37401,24,37425,654,54,708,122,10,132,385,0,385,71,0,71,205997,128,206125,38035,24,38058,"March 15, 2013"
2b,Other Financial Services1,135638,38556,174194,25224,7170,32394,983,1235,2218,183,230,412,574,2213,2787,106,409,515,143244,40650,183894,26448,7505,33954,"March 15, 2013"
3,Capital Goods,64395,443,64838,11975,82,12058,-372,88,-284,-69,16,-53,131,0,131,24,0,24,66531,443,66974,12284,82,12366,"March 15, 2013"
4,Chemicals & Petrochemicals,8087,4,8091,1504,1,1505,-41,0,-41,-8,0,-8,7,0,7,1,0,1,8359,4,8363,1543,1,1544,"March 15, 2013"
5,Coal,11336,0,11336,2108,0,2108,-226,0,-226,-42,0,-42,-28,0,-28,-5,0,-5,11585,0,11585,2139,0,2139,"March 15, 2013"
6,Commercial Services & Supplies,6305,0,6305,1173,0,1173,20,0,20,4,0,4,177,0,177,33,0,33,6942,0,6942,1282,0,1282,"March 15, 2013"
7,Construction Materials,27330,0,27330,5083,0,5083,323,0,323,60,0,60,188,0,188,35,0,35,27545,0,27545,5086,0,5086,"March 15, 2013"
8,Consumer Durables,10617,0,10617,1974,0,1974,46,0,46,9,0,9,83,0,83,15,0,15,11985,0,11985,2213,0,2213,"March 15, 2013"
9,Diversified2,2292,0,2292,426,0,426,1,0,1,0,0,0,21,0,21,4,0,4,2345,0,2345,433,0,433,"March 15, 2013"
10,Diversified Consumer Services,401,0,401,75,0,75,-13,0,-13,-2,0,-2,-5,0,-5,-1,0,-1,384,0,384,71,0,71,"March 15, 2013"
11,"Food, Beverages & Tobacco",73934,76,74010,13749,14,13763,99,0,99,18,0,18,731,-75,656,135,-14,121,77034,1,77035,14223,0,14223,"March 15, 2013"
12,Forest Materials,378,0,378,70,0,70,-5,0,-5,-1,0,-1,-1,0,-1,0,0,0,368,0,368,68,0,68,"March 15, 2013"
13,General Industrials,6110,0,6110,1136,0,1136,8,0,8,2,0,2,52,0,52,10,0,10,6236,0,6236,1151,0,1151,"March 15, 2013"
14,Hardware Technology & Equipment,195,0,195,36,0,36,0,0,0,0,0,0,-4,0,-4,-1,0,-1,237,0,237,44,0,44,"March 15, 2013"
15,Healthcare Equipment & Supplies,439,0,439,82,0,82,-15,0,-15,-3,0,-3,4,0,4,1,0,1,515,0,515,95,0,95,"March 15, 2013"
16,Healthcare Services,4472,125,4597,832,23,855,10,0,10,2,0,2,10,0,10,2,0,2,4365,125,4490,806,23,829,"March 15, 2013"
17,"Hotels, Restaurants & Tourism",4097,0,4097,762,0,762,-5,0,-5,-1,0,-1,63,0,63,12,0,12,4860,0,4860,897,0,897,"March 15, 2013"
18,Household & Personal Products,42565,95,42660,7916,18,7933,56,0,56,10,0,10,126,0,126,23,0,23,44175,95,44270,8156,18,8174,"March 15, 2013"
19,Media,14882,190,15072,2768,35,2803,69,0,69,13,0,13,232,0,232,43,0,43,15416,190,15606,2846,35,2881,"March 15, 2013"
20,Metals & Mining,35389,505,35894,6581,94,6675,-659,0,-659,-123,0,-123,-270,10,-260,-50,2,-48,35585,515,36100,6570,95,6665,"March 15, 2013"
21,Oil & Gas,81547,5205,86752,15165,968,16133,-559,-580,-1139,-104,-108,-212,-327,-220,-547,-60,-41,-101,83426,5044,88470,15404,931,16335,"March 15, 2013"
22,Pharmaceuticals & Biotechnology,65888,407,66295,12253,76,12329,367,0,367,68,0,68,967,0,967,179,0,179,68888,407,69296,12719,75,12794,"March 15, 2013"
23,Realty,18183,200,18383,3381,37,3419,271,0,271,50,0,50,165,-55,110,31,-10,20,18640,200,18840,3442,37,3479,"March 15, 2013"
24,Retailing,2850,0,2850,530,0,530,3,0,3,1,0,1,6,0,6,1,0,1,2812,0,2812,519,0,519,"March 15, 2013"
25,Software & Services,153083,0,153083,28468,0,28468,1007,0,1007,187,0,187,1499,0,1499,277,0,277,157903,0,157903,29155,0,29155,"March 15, 2013"
