0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on February 28, 2018","AUC as on February 28, 2018","AUC as on February 28, 2018","AUC as on February 28, 2018","AUC as on February 28, 2018","AUC as on February 28, 2018","AUC as on February 28, 2018","AUC as on February 28, 2018","Net Investment February 16-28, 2018","Net Investment February 16-28, 2018","Net Investment February 16-28, 2018","Net Investment February 16-28, 2018","Net Investment February 16-28, 2018","Net Investment February 16-28, 2018","Net Investment February 16-28, 2018","Net Investment February 16-28, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","Net Investment March 01-15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","AUC as on March 15, 2018","March 15, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"March 15, 2018"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"March 15, 2018"
1,Automobiles & Auto Components,184656,347,0,185003,28364,53,0,28417,-2169,0,0,-2169,-333,0,0,-333,-644,0,0,-644,-99,0,0,-99,213564,347,0,213911,32888,53,0,32942,"March 15, 2018"
2,Total Financial Services,630236,58316,0,688552,96806,8958,0,105763,3929,-734,0,3196,604,-113,0,491,2549,-2492,0,57,392,-384,0,9,921017,66140,0,987157,141833,10185,0,152018,"March 15, 2018"
2a,Banks,303160,5942,0,309103,46566,913,0,47479,231,-50,0,181,35,-8,0,28,363,-315,0,48,56,-49,0,7,519793,7580,0,527373,80046,1167,0,81214,"March 15, 2018"
2b,Other Financial Services1,327075,52374,0,379449,50240,8045,0,58284,3698,-683,0,3015,568,-105,0,463,2186,-2177,0,9,337,-335,0,1,401224,58560,0,459784,61787,9018,0,70805,"March 15, 2018"
3,Capital Goods,128928,958,0,129886,19804,147,0,19951,-1156,5,0,-1151,-178,1,0,-177,237,0,0,237,37,0,0,37,119712,1203,0,120915,18439,185,0,18620,"March 15, 2018"
4,Chemicals & Petrochemicals,34261,0,0,34261,5263,0,0,5263,-425,0,0,-425,-65,0,0,-65,24,0,0,24,4,0,0,4,37491,0,0,37491,5773,0,0,5773,"March 15, 2018"
5,Coal,11057,0,0,11057,1698,0,0,1698,52,0,0,52,8,0,0,8,-323,0,0,-323,-50,0,0,-50,10316,0,0,10316,1589,0,0,1589,"March 15, 2018"
