0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","AUC as on February 28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment February 16-28, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","Net Investment March 01-15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","AUC as on March 15, 2025","March 15, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"March 15, 2025"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"March 15, 2025"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"March 15, 2025"
1,Automobile and Auto Components,435188,32,0,0,0,0,0,0,0,0,0,435220,49792,4,0,0,0,0,0,0,0,0,0,49796,-3279,0,0,0,0,0,0,0,0,0,0,-3279,-375,0,0,0,0,0,0,0,0,0,0,-375,-3640,0,0,0,0,0,0,0,0,0,0,-3640,-418,0,0,0,0,0,0,0,0,0,0,-418,436583,32,0,0,0,0,0,0,0,0,0,436615,50134,4,0,0,0,0,0,0,0,0,0,50138,"March 15, 2025"
2,Capital Goods,284893,714,27,0,0,0,0,0,0,0,0,285634,32596,82,3,0,0,0,0,0,0,0,0,32681,-1258,-4,0,0,0,0,0,0,0,0,0,-1262,-144,0,0,0,0,0,0,0,0,0,0,-144,-1912,-21,-1,0,0,0,0,0,0,0,0,-1934,-220,-2,0,0,0,0,0,0,0,0,0,-222,296299,693,26,0,0,0,0,0,0,0,0,297018,34025,80,3,0,0,0,0,0,0,0,0,34108,"March 15, 2025"
3,Chemicals,106791,0,523,0,0,0,0,0,0,0,0,107314,12219,0,60,0,0,0,0,0,0,0,0,12279,92,0,0,0,0,0,0,0,0,0,0,92,11,0,0,0,0,0,0,0,0,0,0,11,-129,0,0,0,0,0,0,0,0,0,0,-129,-15,0,0,0,0,0,0,0,0,0,0,-15,111088,0,523,0,0,0,0,0,0,0,0,111611,12756,0,60,0,0,0,0,0,0,0,0,12816,"March 15, 2025"
4,Construction,110402,95,0,0,126,0,0,0,0,0,0,110623,12632,11,0,0,14,0,0,0,0,0,0,12657,-1465,0,0,0,-1,0,0,0,0,0,0,-1466,-168,0,0,0,0,0,0,0,0,0,0,-168,-864,-18,0,0,2,0,0,0,0,0,0,-880,-99,-2,0,0,0,0,0,0,0,0,0,-101,110406,95,0,0,113,0,0,0,0,0,0,110614,12678,11,0,0,13,0,0,0,0,0,0,12702,"March 15, 2025"
5,Construction Materials,102114,1250,310,0,0,0,0,0,0,0,0,103674,11683,143,35,0,0,0,0,0,0,0,0,11861,-1820,-25,25,0,0,0,0,0,0,0,0,-1820,-208,-3,3,0,0,0,0,0,0,0,0,-208,-1465,0,-335,0,0,0,0,0,0,0,0,-1800,-168,0,-38,0,0,0,0,0,0,0,0,-206,102830,1250,0,0,0,0,0,0,0,0,0,104080,11808,144,0,0,0,0,0,0,0,0,0,11952,"March 15, 2025"
6,Consumer Durables,179028,0,0,0,0,0,0,0,0,0,0,179028,20484,0,0,0,0,0,0,0,0,0,0,20484,-1241,0,0,0,0,0,0,0,0,0,0,-1241,-142,0,0,0,0,0,0,0,0,0,0,-142,-1566,0,0,0,0,0,0,0,0,0,0,-1566,-180,0,0,0,0,0,0,0,0,0,0,-180,178245,0,0,0,0,0,0,0,0,0,0,178245,20468,0,0,0,0,0,0,0,0,0,0,20468,"March 15, 2025"
7,Consumer Services,267418,1089,50,0,0,0,0,0,0,0,0,268557,30597,125,6,0,0,0,0,0,0,0,0,30728,-595,0,-683,0,0,0,0,0,0,0,0,-1278,-68,0,-78,0,0,0,0,0,0,0,0,-146,-1900,0,0,0,0,0,0,0,0,0,0,-1900,-218,0,0,0,0,0,0,0,0,0,0,-218,259165,1089,50,50,0,0,0,0,0,0,0,260354,29761,125,6,6,0,0,0,0,0,0,0,29898,"March 15, 2025"
8,Diversified,5875,291,0,0,0,0,0,0,0,0,0,6166,672,33,0,0,0,0,0,0,0,0,0,705,-249,-15,0,0,0,0,0,0,0,0,0,-264,-28,-2,0,0,0,0,0,0,0,0,0,-30,-279,0,0,0,0,0,0,0,0,0,0,-279,-32,0,0,0,0,0,0,0,0,0,0,-32,5807,291,0,0,0,0,0,0,0,0,0,6098,667,33,0,0,0,0,0,0,0,0,0,700,"March 15, 2025"
9,Fast Moving Consumer Goods,346182,104,285,0,0,0,0,0,0,0,0,346571,39609,12,33,0,0,0,0,0,0,0,0,39654,-2568,0,0,0,0,0,0,0,0,0,0,-2568,-294,0,0,0,0,0,0,0,0,0,0,-294,-5106,-1,0,0,0,0,0,0,0,0,0,-5107,-586,0,0,0,0,0,0,0,0,0,0,-586,350161,104,285,0,0,0,0,0,0,0,0,350550,40210,12,33,0,0,0,0,0,0,0,0,40255,"March 15, 2025"
10,Financial Services,1923223,18042,17106,0,0,0,0,0,0,283,0,1958654,220047,2064,1957,0,0,0,0,0,0,32,0,224100,-1647,391,374,0,0,0,0,0,0,59,0,-823,-188,45,43,0,0,0,0,0,0,7,0,-93,-3311,2172,661,0,0,0,0,0,0,151,0,-327,-380,249,76,0,0,0,0,0,0,17,0,-38,1920389,19744,18294,3909,0,0,0,0,0,419,0,1962755,220523,2267,2101,449,0,0,0,0,0,48,0,225388,"March 15, 2025"
11,Forest Materials,2955,415,0,0,0,0,0,0,0,0,0,3370,338,47,0,0,0,0,0,0,0,0,0,385,-28,0,0,0,0,0,0,0,0,0,0,-28,-3,0,0,0,0,0,0,0,0,0,0,-3,-22,78,0,0,0,0,0,0,0,0,0,56,-3,9,0,0,0,0,0,0,0,0,0,6,2833,493,0,0,0,0,0,0,0,0,0,3326,325,57,0,0,0,0,0,0,0,0,0,382,"March 15, 2025"
12,Healthcare,425078,477,1450,0,0,0,0,0,0,0,0,427005,48636,55,166,0,0,0,0,0,0,0,0,48857,-2996,0,150,0,0,0,0,0,0,0,0,-2846,-343,0,17,0,0,0,0,0,0,0,0,-326,-2049,0,0,0,0,0,0,0,0,0,0,-2049,-235,0,0,0,0,0,0,0,0,0,0,-235,434873,477,1450,0,0,0,0,0,0,0,0,436800,49938,55,167,0,0,0,0,0,0,0,0,50160,"March 15, 2025"
13,Information Technology,615512,0,10,0,0,0,0,0,0,0,0,615522,70424,0,1,0,0,0,0,0,0,0,0,70425,112,0,0,0,0,0,0,0,0,0,0,112,13,0,0,0,0,0,0,0,0,0,0,13,-6934,0,0,0,0,0,0,0,0,0,0,-6934,-796,0,0,0,0,0,0,0,0,0,0,-796,588526,0,10,0,0,0,0,0,0,0,0,588536,67582,0,1,0,0,0,0,0,0,0,0,67583,"March 15, 2025"
14,"Media, Entertainment & Publication",10203,0,0,0,0,0,0,0,0,0,0,10203,1167,0,0,0,0,0,0,0,0,0,0,1167,34,0,0,0,0,0,0,0,0,0,0,34,4,0,0,0,0,0,0,0,0,0,0,4,143,0,0,0,0,0,0,0,0,0,0,143,16,0,0,0,0,0,0,0,0,0,0,16,10715,0,0,0,0,0,0,0,0,0,0,10715,1230,0,0,0,0,0,0,0,0,0,0,1230,"March 15, 2025"
15,Metals & Mining,180267,175,1250,0,0,0,0,0,0,0,0,181692,20625,20,143,0,0,0,0,0,0,0,0,20788,-606,12,0,0,0,0,0,0,0,0,0,-594,-69,1,0,0,0,0,0,0,0,0,0,-68,1179,0,0,0,0,0,0,0,0,0,0,1179,135,0,0,0,0,0,0,0,0,0,0,135,194087,175,1250,0,0,0,0,0,0,0,0,195512,22288,20,144,0,0,0,0,0,0,0,0,22452,"March 15, 2025"
16,"Oil, Gas & Consumable Fuels",436844,440,0,0,0,0,0,0,0,0,0,437284,49982,50,0,0,0,0,0,0,0,0,0,50032,-943,0,0,0,0,0,0,0,0,0,0,-943,-108,0,0,0,0,0,0,0,0,0,0,-108,-970,0,0,0,0,0,0,0,0,0,0,-970,-111,0,0,0,0,0,0,0,0,0,0,-111,453365,440,0,0,0,0,0,0,0,0,0,453805,52061,50,0,0,0,0,0,0,0,0,0,52111,"March 15, 2025"
17,Power,213106,3115,5,0,5448,0,0,0,0,0,0,221674,24383,356,1,0,623,0,0,0,0,0,0,25363,-1234,-26,0,0,2,0,0,0,0,0,0,-1258,-141,-3,0,0,0,0,0,0,0,0,0,-144,-1867,52,-20,0,-91,0,0,0,0,0,0,-1926,-214,6,-2,0,-10,0,0,0,0,0,0,-220,227392,3170,5,0,5329,0,0,0,0,0,0,235896,26112,364,1,0,612,0,0,0,0,0,0,27089,"March 15, 2025"
18,Realty,127585,981,1062,0,23067,0,0,0,0,0,0,152695,14598,112,122,0,2639,0,0,0,0,0,0,17471,-407,-28,0,0,-207,0,0,0,0,0,0,-642,-47,-3,0,0,-24,0,0,0,0,0,0,-74,-27,0,0,0,-61,0,0,0,0,0,0,-88,-3,0,0,0,-7,0,0,0,0,0,0,-10,127246,981,1058,435,23071,0,0,0,0,0,0,152791,14612,113,122,50,2649,0,0,0,0,0,0,17546,"March 15, 2025"
19,Services,126222,2704,2944,0,3896,0,0,0,0,0,0,135766,14442,309,337,0,446,0,0,0,0,0,0,15534,-84,0,1100,0,-3,0,0,0,0,0,0,1013,-10,0,126,0,0,0,0,0,0,0,0,116,305,912,-432,0,0,0,0,0,0,0,0,785,35,105,-50,0,0,0,0,0,0,0,0,90,130022,3465,2620,655,3400,0,0,0,0,0,0,140162,14931,398,301,75,390,0,0,0,0,0,0,16095,"March 15, 2025"
20,Telecommunication,272360,120,7900,0,12095,0,0,0,0,0,0,292475,31162,14,904,0,1384,0,0,0,0,0,0,33464,5661,0,0,0,0,0,0,0,0,0,0,5661,648,0,0,0,0,0,0,0,0,0,0,648,-340,0,0,0,0,0,0,0,0,0,0,-340,-39,0,0,0,0,0,0,0,0,0,0,-39,281477,121,7900,820,11935,0,0,0,0,0,0,302253,32323,14,907,94,1370,0,0,0,0,0,0,34708,"March 15, 2025"
21,Textiles,21633,460,0,0,0,0,0,0,0,0,0,22093,2475,53,0,0,0,0,0,0,0,0,0,2528,-125,0,0,0,0,0,0,0,0,0,0,-125,-14,0,0,0,0,0,0,0,0,0,0,-14,-23,0,0,0,0,0,0,0,0,0,0,-23,-3,0,0,0,0,0,0,0,0,0,0,-3,21798,460,0,0,0,0,0,0,0,0,0,22258,2503,53,0,0,0,0,0,0,0,0,0,2556,"March 15, 2025"
