0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","AUC as on March 15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 01-15, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","Net Investment March 16-31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","AUC as on March 31, 2022","March 31, 2022"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"March 31, 2022"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"March 31, 2022"
1,Automobiles & Auto Components,174340,0,0,0,174340,22793,0,0,0,22793,-5603,0,0,0,-5603,-733,0,0,0,-733,-857,0,0,0,-857,-113,0,0,0,-113,183254,0,0,0,183254,24174,0,0,0,24174,"March 31, 2022"
2,Total Financial Services,1302984,16542,6950,0,1326476,170352,2163,909,0,173424,-20604,-485,174,0,-20915,-2694,-63,23,0,-2734,-3370,-281,-355,0,-4006,-445,-37,-47,0,-529,1366611,16218,6640,0,1389469,180275,2139,876,0,183290,"March 31, 2022"
2a,Banks,769090,3957,519,0,773566,100551,517,68,0,101136,-13338,-70,100,0,-13308,-1744,-9,13,0,-1740,-2907,-21,-99,0,-3027,-383,-3,-13,0,-399,797471,3935,418,0,801824,105197,519,55,0,105771,"March 31, 2022"
2b,Other Financial Services1,533894,12585,6431,0,552910,69801,1645,841,0,72287,-7266,-414,74,0,-7606,-950,-54,10,0,-994,-463,-260,-256,0,-979,-61,-34,-34,0,-129,569140,12282,6222,0,587644,75077,1620,821,0,77518,"March 31, 2022"
3,Capital Goods,137306,255,60,0,137621,17951,33,8,0,17992,-3350,-18,0,0,-3368,-438,-2,0,0,-440,-254,0,0,0,-254,-33,0,0,0,-33,142313,255,60,0,142628,18773,34,8,0,18815,"March 31, 2022"
4,Chemicals & Petrochemicals,80961,0,0,0,80961,10585,0,0,0,10585,286,0,0,0,286,37,0,0,0,37,1186,0,0,0,1186,157,0,0,0,157,86729,0,0,0,86729,11441,0,0,0,11441,"March 31, 2022"
5,Coal,7439,0,0,0,7439,973,0,0,0,973,-190,0,0,0,-190,-25,0,0,0,-25,106,0,0,0,106,14,0,0,0,14,8004,0,0,0,8004,1056,0,0,0,1056,"March 31, 2022"
