0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on May 15, 2017","AUC as on May 15, 2017","AUC as on May 15, 2017","AUC as on May 15, 2017","AUC as on May 15, 2017","AUC as on May 15, 2017","Net Investment May 01-15, 2017","Net Investment May 01-15, 2017","Net Investment May 01-15, 2017","Net Investment May 01-15, 2017","Net Investment May 01-15, 2017","Net Investment May 01-15, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","Net Investment May 16-31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017","AUC as on May 31, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,165506,317,165823,25812,50,25862,775,0,775,121,0,121,377,0,377,58,0,58,171556,317,171874,26575,49,26624
2,Total Financial Services,582451,46592,629043,90839,7266,98106,510,1009,1519,80,157,237,6748,3214,9962,1045,498,1543,593719,49851,643571,91969,7722,99691
2a,Banks,288733,4541,293274,45031,708,45739,505,-51,454,79,-8,71,4823,6,4828,747,1,748,300237,4533,304770,46508,702,47210
2b,Other Financial Services1,293718,42051,335769,45808,6558,52367,5,1060,1065,1,165,166,1926,3208,5134,298,497,795,293483,45318,338800,45461,7020,52481
3,Capital Goods,131223,858,132082,20466,134,20600,-14,11,-3,-2,2,0,-22,26,4,-3,4,1,132197,883,133080,20478,137,20614
4,Chemicals & Petrochemicals,35347,0,35347,5513,0,5513,-217,0,-217,-34,0,-34,198,0,198,31,0,31,36107,0,36107,5593,0,5593
5,Coal,11402,0,11402,1778,0,1778,63,0,63,10,0,10,-59,0,-59,-9,0,-9,10762,0,10762,1667,0,1667
