0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","AUC as on May 15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 01-15, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","Net Investment May 16-31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","AUC as on May 31, 2019","May 31, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"May 31, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"May 31, 2019"
1,Automobiles & Auto Components,150333,317,0,150650,21412,45,0,21457,-301,0,0,-301,-43,0,0,-43,-777,0,0,-777,-111,0,0,-111,155342,317,0,155659,22253,45,0,22298,"May 31, 2019"
2,Total Financial Services,1008796,56098,4181,1069075,143685,7990,596,152271,-1654,-1300,2195,-759,-236,-185,313,-108,6134,-1099,62,5097,879,-157,9,731,1118041,55057,4213,1177311,160165,7887,604,168656,"May 31, 2019"
2a,Banks,593456,7961,0,601417,84527,1134,0,85661,-1211,-19,0,-1230,-173,-3,0,-176,1686,10,0,1696,242,1,0,243,649049,7977,0,657026,92979,1143,0,94122,"May 31, 2019"
2b,Other Financial Services1,415340,48137,4181,467658,59158,6856,596,66610,-442,-1280,2195,473,-63,-182,313,68,4448,-1108,62,3402,637,-159,9,487,468992,47080,4213,520285,67185,6744,604,74533,"May 31, 2019"
3,Capital Goods,92612,303,0,92915,13191,43,0,13234,-482,-10,0,-492,-69,-1,0,-70,1853,0,0,1853,265,0,0,265,104685,303,0,104988,14997,43,0,15040,"May 31, 2019"
4,Chemicals & Petrochemicals,42686,0,0,42686,6080,0,0,6080,-108,0,0,-108,-15,0,0,-15,454,0,0,454,65,0,0,65,46201,0,0,46201,6619,0,0,6619,"May 31, 2019"
5,Coal,12664,0,0,12664,1804,0,0,1804,211,0,0,211,30,0,0,30,319,0,0,319,46,0,0,46,13703,0,0,13703,1963,0,0,1963,"May 31, 2019"
6,Commercial Services & Supplies,6551,200,0,6751,933,28,0,961,17,0,0,17,2,0,0,2,28,0,0,28,4,0,0,4,7754,200,0,7954,1111,29,0,1140,"May 31, 2019"
7,Construction Materials,57553,578,0,58131,8197,82,0,8279,-681,0,0,-681,-97,0,0,-97,-818,0,0,-818,-117,0,0,-117,62230,578,0,62808,8915,83,0,8998,"May 31, 2019"
8,Consumer Durables,38768,0,0,38768,5522,0,0,5522,-191,0,0,-191,-27,0,0,-27,20,0,0,20,3,0,0,3,41807,0,0,41807,5989,0,0,5989,"May 31, 2019"
9,Diversified2,3863,0,0,3863,550,0,0,550,36,0,0,36,5,0,0,5,16,0,0,16,2,0,0,2,3881,0,0,3881,556,0,0,556,"May 31, 2019"
10,Diversified Consumer Services,2965,0,0,2965,422,0,0,422,43,0,0,43,6,0,0,6,-8,0,0,-8,-1,0,0,-1,3082,0,0,3082,441,0,0,441,"May 31, 2019"
