0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on May 15, 2022","AUC as on May 15, 2022","AUC as on May 15, 2022","AUC as on May 15, 2022","AUC as on May 15, 2022","AUC as on May 15, 2022","AUC as on May 15, 2022","AUC as on May 15, 2022","AUC as on May 15, 2022","AUC as on May 15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 01-15, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","Net Investment May 16-31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","AUC as on May 31, 2022","May 31, 2022"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"May 31, 2022"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"May 31, 2022"
1,Automobile and Auto Components,206363,0,0,0,206363,26678,0,0,0,26678,-1210,0,0,0,-1210,-156,0,0,0,-156,-188,0,21,0,-167,-24,0,3,0,-21,228813,0,10,0,228823,29462,0,1,0,29463,"May 31, 2022"
2,Capital Goods,87430,426,0,0,87856,11303,55,0,0,11358,-638,0,0,0,-638,-83,0,0,0,-83,807,0,0,0,807,104,0,0,0,104,94510,426,0,0,94936,12169,55,0,0,12224,"May 31, 2022"
3,Chemicals,92336,0,0,0,92336,11937,0,0,0,11937,-423,0,0,0,-423,-55,0,0,0,-55,944,0,0,0,944,122,0,0,0,122,97732,0,0,0,97732,12584,0,0,0,12584,"May 31, 2022"
4,Construction,51600,660,2238,2406,56904,6671,85,289,311,7356,-751,0,0,-9,-760,-97,0,0,-1,-98,-424,0,0,-4,-428,-55,0,0,-1,-56,54644,660,2238,2427,59969,7036,85,288,312,7721,"May 31, 2022"
5,Construction Materials,71862,1277,795,0,73934,9290,165,103,0,9558,-698,0,0,0,-698,-90,0,0,0,-90,-752,0,0,0,-752,-97,0,0,0,-97,70495,1277,795,0,72567,9077,164,102,0,9343,"May 31, 2022"
6,Consumer Durables,163339,0,0,0,163339,21116,0,0,0,21116,-1369,0,0,0,-1369,-177,0,0,0,-177,-1336,0,0,0,-1336,-172,0,0,0,-172,160593,0,0,0,160593,20678,0,0,0,20678,"May 31, 2022"
7,Consumer Services,90377,419,125,0,90921,11684,54,16,0,11754,-1032,200,0,0,-832,-133,26,0,0,-107,-690,0,0,0,-690,-89,0,0,0,-89,102462,419,125,0,103006,13193,54,16,0,13263,"May 31, 2022"
8,Diversified,1399,200,0,0,1599,181,26,0,0,207,-19,0,0,0,-19,-2,0,0,0,-2,-27,0,0,0,-27,-3,0,0,0,-3,1469,200,0,0,1669,189,26,0,0,215,"May 31, 2022"
9,Fast Moving Consumer Goods,267224,232,128,0,267584,34545,30,16,0,34591,526,0,-25,0,501,68,0,-3,0,65,-1093,0,0,0,-1093,-141,0,0,0,-141,278116,231,128,0,278475,35810,30,16,0,35856,"May 31, 2022"
10,Financial Services,1305823,16683,6665,0,1329171,168811,2157,862,0,171830,-8355,-40,-2,0,-8397,-1080,-5,0,0,-1085,-3661,-130,-103,0,-3894,-471,-17,-13,0,-501,1394240,16555,6551,0,1417346,179522,2132,844,0,182498,"May 31, 2022"
11,Forest Materials,1060,440,0,0,1500,137,57,0,0,194,14,0,0,0,14,2,0,0,0,2,20,0,0,0,20,3,0,0,0,3,1191,440,0,0,1631,153,57,0,0,210,"May 31, 2022"
12,Healthcare,204237,262,0,0,204499,26403,34,0,0,26437,-838,88,0,0,-750,-108,11,0,0,-97,133,0,0,0,133,17,0,0,0,17,206172,262,0,0,206434,26547,34,0,0,26581,"May 31, 2022"
13,Information Technology,555811,0,340,0,556151,71853,0,44,0,71897,-5628,0,0,0,-5628,-728,0,0,0,-728,-10506,0,0,0,-10506,-1353,0,0,0,-1353,545067,0,340,0,545407,70183,0,44,0,70227,"May 31, 2022"
14,"Media, Entertainment & Publication",20283,0,165,0,20448,2622,0,21,0,2643,-25,0,0,0,-25,-3,0,0,0,-3,-150,0,0,0,-150,-19,0,0,0,-19,21250,0,165,0,21415,2736,0,21,0,2757,"May 31, 2022"
15,Metals & Mining,134477,16,0,0,134493,17385,2,0,0,17387,-1179,0,0,0,-1179,-152,0,0,0,-152,-1573,0,12,0,-1561,-202,0,2,0,-200,134022,16,12,0,134050,17257,2,2,0,17261,"May 31, 2022"
16,"Oil, Gas & Consumable Fuels",522715,457,568,0,523740,67574,59,73,0,67706,-3723,0,-25,0,-3748,-481,0,-3,0,-484,155,0,0,0,155,20,0,0,0,20,555923,457,566,0,556946,71580,59,73,0,71712,"May 31, 2022"
17,Power,204696,1464,250,8195,214605,26462,189,32,1059,27742,1408,0,0,-3,1405,182,0,0,0,182,899,0,0,0,899,116,0,0,0,116,199855,1461,250,7941,209507,25733,188,32,1023,26976,"May 31, 2022"
18,Realty,49873,99,103,18640,68715,6447,13,13,2410,8883,-248,0,0,-23,-271,-32,0,0,-3,-35,-239,0,0,-23,-262,-31,0,0,-3,-34,52991,99,105,19233,72428,6823,13,14,2476,9326,"May 31, 2022"
19,Services,64993,849,0,0,65842,8402,110,0,0,8512,-390,0,0,0,-390,-50,0,0,0,-50,3046,0,0,0,3046,392,0,0,0,392,72431,849,0,0,73280,9326,109,0,0,9435,"May 31, 2022"
