0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","AUC as on May 15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 01-15, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","Net Investment May 16-31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","AUC as on May 31, 2025","May 31, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"May 31, 2025"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"May 31, 2025"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"May 31, 2025"
1,Automobile and Auto Components,501610,32,0,0,0,0,0,0,0,0,0,501642,58608,4,0,0,0,0,0,0,0,0,0,58612,1610,0,0,0,0,0,0,0,0,0,0,1610,188,0,0,0,0,0,0,0,0,0,0,188,-1509,0,0,0,0,0,0,0,0,0,0,-1509,-177,0,0,0,0,0,0,0,0,0,0,-177,491804,32,220,0,0,0,0,0,0,0,0,492056,57536,4,26,0,0,0,0,0,0,0,0,57566,"May 31, 2025"
2,Capital Goods,353582,628,39,0,0,0,0,0,0,0,0,354249,41313,73,5,0,0,0,0,0,0,0,0,41391,2233,-4,0,0,0,0,0,0,0,0,0,2229,261,0,0,0,0,0,0,0,0,0,0,261,3094,-5,0,0,0,0,0,0,0,0,0,3089,362,-1,0,0,0,0,0,0,0,0,0,361,378879,623,39,0,0,0,0,0,0,0,0,379541,44325,73,5,0,0,0,0,0,0,0,0,44403,"May 31, 2025"
3,Chemicals,125730,0,523,0,0,0,0,0,0,0,0,126253,14690,0,61,0,0,0,0,0,0,0,0,14751,833,0,0,0,0,0,0,0,0,0,0,833,97,0,0,0,0,0,0,0,0,0,0,97,475,0,0,0,0,0,0,0,0,0,0,475,56,0,0,0,0,0,0,0,0,0,0,56,127574,0,523,0,0,0,0,0,0,0,0,128097,14925,0,61,0,0,0,0,0,0,0,0,14986,"May 31, 2025"
4,Construction,123480,95,0,0,102,0,0,0,0,0,0,123677,14427,11,0,0,12,0,0,0,0,0,0,14450,-190,0,0,0,-1,0,0,0,0,0,0,-191,-22,0,0,0,0,0,0,0,0,0,0,-22,457,0,0,0,-1,0,0,0,0,0,0,456,53,0,0,0,0,0,0,0,0,0,0,53,127222,95,0,0,106,0,0,0,0,0,0,127423,14884,11,0,0,12,0,0,0,0,0,0,14907,"May 31, 2025"
5,Construction Materials,119140,1250,0,0,0,0,0,0,0,0,0,120390,13920,146,0,0,0,0,0,0,0,0,0,14066,155,0,0,0,0,0,0,0,0,0,0,155,18,0,0,0,0,0,0,0,0,0,0,18,420,0,0,0,0,0,0,0,0,0,0,420,49,0,0,0,0,0,0,0,0,0,0,49,113475,1250,0,0,0,0,0,0,0,0,0,114725,13275,146,0,0,0,0,0,0,0,0,0,13421,"May 31, 2025"
6,Consumer Durables,197016,0,0,0,0,0,0,0,0,0,0,197016,23019,0,0,0,0,0,0,0,0,0,0,23019,-622,0,0,0,0,0,0,0,0,0,0,-622,-73,0,0,0,0,0,0,0,0,0,0,-73,-1112,0,0,0,0,0,0,0,0,0,0,-1112,-130,0,0,0,0,0,0,0,0,0,0,-130,191917,0,0,0,0,0,0,0,0,0,0,191917,22452,0,0,0,0,0,0,0,0,0,0,22452,"May 31, 2025"
