0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","AUC as on November 15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 01-15, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","Net Investment November 16-30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","AUC as on November 30, 2022","November 15, 2022"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"November 15, 2022"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"November 15, 2022"
1,Automobile and Auto Components,268885,0,11,0,268896,33021,0,2,0,33023,2251,0,0,0,2251,276,0,0,0,276,800,0,0,0,800,98,0,0,0,98,271908,0,10,0,271918,33323,0,2,0,33325,"November 15, 2022"
2,Capital Goods,127902,403,0,0,128305,15707,49,0,0,15756,1640,0,0,0,1640,201,0,0,0,201,1098,0,0,0,1098,135,0,0,0,135,129454,403,0,0,129857,15865,49,0,0,15914,"November 15, 2022"
3,Chemicals,104566,0,0,0,104566,12842,0,0,0,12842,675,0,0,0,675,83,0,0,0,83,69,0,0,0,69,9,0,0,0,9,105523,0,0,0,105523,12932,0,0,0,12932,"November 15, 2022"
4,Construction,69615,623,2208,0,72446,8549,77,271,0,8897,545,0,0,0,545,67,0,0,0,67,612,0,0,0,612,75,0,0,0,75,73356,623,2208,0,76187,8990,76,271,0,9337,"November 15, 2022"
5,Construction Materials,83133,1195,783,0,85111,10209,147,96,0,10452,623,0,0,0,623,76,0,0,0,76,468,-118,153,0,503,57,-14,19,0,62,84868,924,1060,0,86852,10401,113,130,0,10644,"November 15, 2022"
6,Consumer Durables,168881,0,0,0,168881,20740,0,0,0,20740,-436,0,0,0,-436,-54,0,0,0,-54,-839,0,0,0,-839,-103,0,0,0,-103,169845,0,0,0,169845,20815,0,0,0,20815,"November 15, 2022"
7,Consumer Services,117351,419,420,0,118190,14412,52,52,0,14516,1680,0,0,0,1680,206,0,0,0,206,1157,0,0,0,1157,142,0,0,0,142,118749,419,420,0,119588,14553,52,51,0,14656,"November 15, 2022"
