0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","Net Investment November 01-15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","AUC as on November 15, 2024","November 15, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"November 15, 2024"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"November 15, 2024"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"November 15, 2024"
1,Automobile and Auto Components,533563,38,0,0,0,0,0,0,0,0,0,533601,63452,4,0,0,0,0,0,0,0,0,0,63456,-2309,0,0,0,0,0,0,0,0,0,0,-2309,-275,0,0,0,0,0,0,0,0,0,0,-275,-4411,0,0,0,0,0,0,0,0,0,0,-4411,-523,0,0,0,0,0,0,0,0,0,0,-523,511452,38,0,0,0,0,0,0,0,0,0,511490,60595,4,0,0,0,0,0,0,0,0,0,60599,"November 15, 2024"
2,Capital Goods,384812,735,28,0,0,0,0,0,0,0,0,385575,45763,87,3,0,0,0,0,0,0,0,0,45853,-1933,-4,0,0,0,0,0,0,0,0,0,-1937,-230,0,0,0,0,0,0,0,0,0,0,-230,-1004,0,0,0,0,0,0,0,0,0,0,-1004,-119,0,0,0,0,0,0,0,0,0,0,-119,366353,735,28,0,0,0,0,0,0,0,0,367116,43404,87,3,0,0,0,0,0,0,0,0,43494,"November 15, 2024"
3,Chemicals,118520,0,615,0,0,0,0,0,0,0,0,119135,14095,0,73,0,0,0,0,0,0,0,0,14168,31,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,4,210,0,0,0,0,0,0,0,0,0,0,210,25,0,0,0,0,0,0,0,0,0,0,25,113687,0,615,0,0,0,0,0,0,0,0,114302,13469,0,73,0,0,0,0,0,0,0,0,13542,"November 15, 2024"
4,Construction,136157,129,0,0,82,0,0,0,0,0,0,136368,16192,15,0,0,10,0,0,0,0,0,0,16217,-2927,15,0,0,0,0,0,0,0,0,0,-2912,-348,2,0,0,0,0,0,0,0,0,0,-346,1917,-3,0,0,-1,0,0,0,0,0,0,1913,227,0,0,0,0,0,0,0,0,0,0,227,132936,127,0,0,81,0,0,0,0,0,0,133144,15750,15,0,0,10,0,0,0,0,0,0,15775,"November 15, 2024"
5,Construction Materials,122031,1275,380,0,0,0,0,0,0,0,0,123686,14512,152,45,0,0,0,0,0,0,0,0,14709,-2014,0,0,0,0,0,0,0,0,0,0,-2014,-239,0,0,0,0,0,0,0,0,0,0,-239,-802,0,0,0,0,0,0,0,0,0,0,-802,-95,0,0,0,0,0,0,0,0,0,0,-95,115730,1275,380,0,0,0,0,0,0,0,0,117385,13711,151,45,0,0,0,0,0,0,0,0,13907,"November 15, 2024"
6,Consumer Durables,218783,0,0,0,0,0,0,0,0,0,0,218783,26018,0,0,0,0,0,0,0,0,0,0,26018,-2017,0,0,0,0,0,0,0,0,0,0,-2017,-240,0,0,0,0,0,0,0,0,0,0,-240,-433,0,0,0,0,0,0,0,0,0,0,-433,-51,0,0,0,0,0,0,0,0,0,0,-51,208359,0,0,0,0,0,0,0,0,0,0,208359,24686,0,0,0,0,0,0,0,0,0,0,24686,"November 15, 2024"
