0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","AUC as on November 15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 01-15, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","Net Investment November 16-30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","AUC as on November 30, 2019","November 30, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"November 30, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"November 30, 2019"
1,Automobiles & Auto Components,156387,317,0,156704,21808,44,0,21852,-103,0,0,-103,-14,0,0,-14,-843,0,0,-843,-117,0,0,-117,155055,317,0,155372,21618,44,0,21662,"November 30, 2019"
2,Total Financial Services,1113267,46808,9428,1169503,155244,6527,1315,163086,7345,-3048,48,4345,1024,-425,7,606,9434,-2782,78,6730,1315,-388,11,938,1149832,43996,9937,1203765,160310,6134,1385,167829,"November 30, 2019"
2a,Banks,663263,7774,0,671037,92491,1084,0,93575,6629,-47,0,6582,924,-7,0,917,9814,92,0,9906,1368,13,0,1381,688614,7774,0,696388,96007,1084,0,97091,"November 30, 2019"
2b,Other Financial Services1,450004,39033,9428,498465,62752,5443,1315,69510,716,-3002,48,-2238,100,-419,7,-312,-380,-2875,78,-3177,-53,-401,11,-443,461218,36222,9937,507377,64303,5050,1385,70738,"November 30, 2019"
3,Capital Goods,96958,483,0,97441,13521,67,0,13588,686,0,0,686,96,0,0,96,113,0,0,113,16,0,0,16,96022,483,0,96505,13387,67,0,13454,"November 30, 2019"
4,Chemicals & Petrochemicals,40772,0,0,40772,5686,0,0,5686,13,0,0,13,2,0,0,2,-248,0,0,-248,-35,0,0,-35,42084,0,0,42084,5867,0,0,5867,"November 30, 2019"
5,Coal,10876,0,0,10876,1517,0,0,1517,81,0,0,81,11,0,0,11,-35,0,0,-35,-5,0,0,-5,10985,0,0,10985,1531,0,0,1531,"November 30, 2019"
6,Commercial Services & Supplies,8789,200,0,8989,1226,28,0,1254,28,0,0,28,4,0,0,4,-23,0,0,-23,-3,0,0,-3,9160,200,0,9360,1277,28,0,1305,"November 30, 2019"
7,Construction Materials,54430,599,0,55029,7590,84,0,7674,-31,0,0,-31,-4,0,0,-4,45,-5,0,40,6,-1,0,5,57709,594,0,58303,8046,83,0,8129,"November 30, 2019"
8,Consumer Durables,50609,0,0,50609,7057,0,0,7057,267,0,0,267,37,0,0,37,-48,0,0,-48,-7,0,0,-7,49507,0,0,49507,6902,0,0,6902,"November 30, 2019"
9,Diversified2,6287,0,0,6287,877,0,0,877,34,0,0,34,5,0,0,5,-34,0,0,-34,-5,0,0,-5,6180,0,0,6180,862,0,0,862,"November 30, 2019"
10,Diversified Consumer Services,2751,0,0,2751,384,0,0,384,-17,0,0,-17,-2,0,0,-2,28,0,0,28,4,0,0,4,2765,0,0,2765,385,0,0,385,"November 30, 2019"
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"November 30, 2019"
12,"Food, Beverages & Tobacco",112304,708,0,113012,15661,99,0,15760,-429,-17,0,-446,-60,-2,0,-62,-1088,-23,0,-1111,-152,-3,0,-155,110434,695,0,111129,15397,97,0,15494,"November 30, 2019"
13,Forest Materials,994,434,0,1428,139,61,0,200,-15,0,0,-15,-2,0,0,-2,10,0,0,10,1,0,0,1,992,434,0,1426,138,61,0,199,"November 30, 2019"
14,General Industrials,13920,385,0,14305,1941,54,0,1995,-89,0,0,-89,-12,0,0,-12,-78,0,0,-78,-11,0,0,-11,14295,385,0,14680,1993,54,0,2047,"November 30, 2019"
15,Hardware Technology & Equipment,31,0,0,31,4,0,0,4,6,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,41,0,0,41,6,0,0,6,"November 30, 2019"
