0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on November 15, 2023","AUC as on November 15, 2023","AUC as on November 15, 2023","AUC as on November 15, 2023","AUC as on November 15, 2023","AUC as on November 15, 2023","AUC as on November 15, 2023","AUC as on November 15, 2023","AUC as on November 15, 2023","AUC as on November 15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 01-15, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","Novemeber 30, 2023"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"Novemeber 30, 2023"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"Novemeber 30, 2023"
1,Automobile and Auto Components,364325,13,11,0,364349,43827,2,1,0,43830,-1722,0,0,0,-1722,-207,0,0,0,-207,2132,-1,0,0,2131,256,0,0,0,256,384535,13,11,0,384559,46135,2,1,0,46138,"Novemeber 30, 2023"
2,Capital Goods,232424,149,0,0,232573,27960,18,0,0,27978,-214,-212,0,0,-426,-26,-26,0,0,-52,3785,0,0,0,3785,454,0,0,0,454,248334,149,0,0,248483,29794,18,0,0,29812,"Novemeber 30, 2023"
3,Chemicals,95718,0,0,0,95718,11515,0,0,0,11515,-83,0,0,0,-83,-10,0,0,0,-10,-12,0,0,0,-12,-1,0,0,0,-1,97452,0,0,0,97452,11692,0,0,0,11692,"Novemeber 30, 2023"
4,Construction,119257,441,2178,0,121876,14346,53,262,0,14661,-322,-54,0,0,-376,-39,-6,0,0,-45,-576,0,0,0,-576,-69,0,0,0,-69,120842,441,2178,0,123461,14498,53,261,0,14812,"Novemeber 30, 2023"
5,Construction Materials,97604,958,837,0,99399,11742,115,101,0,11958,153,0,0,0,153,18,0,0,0,18,644,0,0,0,644,77,0,0,0,77,101524,958,837,0,103319,12180,115,100,0,12395,"Novemeber 30, 2023"
6,Consumer Durables,186228,0,0,0,186228,22403,0,0,0,22403,-544,-200,0,0,-744,-65,-24,0,0,-89,180,0,0,0,180,22,0,0,0,22,190902,0,0,0,190902,22904,0,0,0,22904,"Novemeber 30, 2023"
7,Consumer Services,162800,1109,545,0,164454,19584,133,66,0,19783,836,0,0,0,836,101,0,0,0,101,3534,0,0,0,3534,424,0,0,0,424,170760,1109,545,0,172414,20487,133,65,0,20685,"Novemeber 30, 2023"
8,Diversified,3953,179,0,0,4132,476,22,0,0,498,-20,0,0,0,-20,-2,0,0,0,-2,-22,0,0,0,-22,-3,0,0,0,-3,3894,179,0,0,4073,467,22,0,0,489,"Novemeber 30, 2023"
9,Fast Moving Consumer Goods,381977,144,0,0,382121,45951,17,0,0,45968,-1056,0,0,0,-1056,-127,0,0,0,-127,-643,0,0,0,-643,-77,0,0,0,-77,388673,144,0,0,388817,46631,17,0,0,46648,"Novemeber 30, 2023"
10,Financial Services,1773124,18164,5673,0,1796961,213303,2185,682,0,216170,-1566,349,518,0,-699,-188,42,62,0,-84,-2427,186,-234,0,-2475,-291,22,-28,0,-297,1801596,18420,5409,0,1825425,216148,2210,649,0,219007,"Novemeber 30, 2023"
11,Forest Materials,2627,497,0,0,3124,316,60,0,0,376,-23,22,0,0,-1,-3,3,0,0,0,-45,0,0,0,-45,-5,0,0,0,-5,2551,497,0,0,3048,306,60,0,0,366,"Novemeber 30, 2023"
