0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","AUC as on September 30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment September 16-30, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","Net Investment October 01-15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","AUC as on October 15, 2019","October 15, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"October 15, 2019"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"October 15, 2019"
1,Automobiles & Auto Components,147222,317,0,147539,20828,45,0,20873,1553,0,0,1553,220,0,0,220,-18,0,0,-18,-2,0,0,-2,151133,317,0,151450,21191,45,0,21236,"October 15, 2019"
2,Total Financial Services,820887,52482,9305,882674,116133,7425,1316,124874,1411,-1259,19,171,200,-178,3,25,-3341,-727,7,-4061,-468,-102,1,-569,807302,51939,9557,868798,113197,7283,1340,121820,"October 15, 2019"
2a,Banks,413345,7829,0,421174,58477,1108,0,59585,2428,0,0,2428,344,0,0,344,-2184,19,0,-2165,-306,3,0,-303,403569,7850,0,411419,56587,1101,0,57688,"October 15, 2019"
2b,Other Financial Services1,407542,44653,9305,461500,57656,6317,1316,65289,-1018,-1259,19,-2258,-144,-178,3,-319,-1156,-746,7,-1895,-162,-105,1,-266,403733,44089,9557,457379,56610,6182,1340,64132,"October 15, 2019"
3,Capital Goods,96117,578,0,96695,13598,82,0,13680,668,0,0,668,94,0,0,94,343,0,0,343,48,0,0,48,95004,578,0,95582,13321,81,0,13402,"October 15, 2019"
4,Chemicals & Petrochemicals,42754,0,0,42754,6049,0,0,6049,-192,0,0,-192,-27,0,0,-27,47,0,0,47,7,0,0,7,41922,0,0,41922,5878,0,0,5878,"October 15, 2019"
5,Coal,10778,0,0,10778,1525,0,0,1525,-48,0,0,-48,-7,0,0,-7,-134,0,0,-134,-19,0,0,-19,10190,0,0,10190,1429,0,0,1429,"October 15, 2019"
6,Commercial Services & Supplies,7558,200,0,7758,1069,28,0,1097,81,0,0,81,12,0,0,12,22,0,0,22,3,0,0,3,7513,200,0,7713,1053,28,0,1081,"October 15, 2019"
