0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on September 30, 2022","AUC as on September 30, 2022","AUC as on September 30, 2022","AUC as on September 30, 2022","AUC as on September 30, 2022","AUC as on September 30, 2022","AUC as on September 30, 2022","AUC as on September 30, 2022","AUC as on September 30, 2022","AUC as on September 30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment September 16-30, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","Net Investment October 01-15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","AUC as on October 15, 2022","October 15, 2022"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"October 15, 2022"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"October 15, 2022"
1,Automobile and Auto Components,259928,0,11,0,259939,31873,0,2,0,31875,-1524,0,0,0,-1524,-187,0,0,0,-187,-690,0,0,0,-690,-84,0,0,0,-84,253196,0,11,0,253207,30732,0,2,0,30734,"October 15, 2022"
2,Capital Goods,119411,403,0,0,119814,14642,49,0,0,14691,374,0,0,0,374,46,0,0,0,46,309,0,0,0,309,37,0,0,0,37,119747,403,0,0,120150,14535,49,0,0,14584,"October 15, 2022"
3,Chemicals,102551,0,0,0,102551,12575,0,0,0,12575,-673,0,0,0,-673,-82,0,0,0,-82,-107,0,0,0,-107,-13,0,0,0,-13,102842,0,0,0,102842,12483,0,0,0,12483,"October 15, 2022"
4,Construction,62874,623,2208,0,65705,7710,76,271,0,8057,216,0,0,0,216,26,0,0,0,26,565,0,0,0,565,69,0,0,0,69,65286,623,2208,0,68117,7924,76,268,0,8268,"October 15, 2022"
5,Construction Materials,76470,1195,783,0,78448,9377,147,96,0,9620,-3,0,0,0,-3,0,0,0,0,0,-372,0,0,0,-372,-45,0,0,0,-45,74680,1195,783,0,76658,9064,145,95,0,9304,"October 15, 2022"
6,Consumer Durables,177295,0,0,0,177295,21740,0,0,0,21740,-655,0,0,0,-655,-80,0,0,0,-80,117,0,0,0,117,14,0,0,0,14,172116,0,0,0,172116,20891,0,0,0,20891,"October 15, 2022"
7,Consumer Services,119028,419,420,0,119867,14595,52,51,0,14698,978,0,135,0,1113,120,0,17,0,137,-90,-2,0,0,-92,-11,0,0,0,-11,115850,517,420,0,116787,14062,63,51,0,14176,"October 15, 2022"
