0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","AUC as on October 15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 01-15, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","Net Investment October 16-31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","AUC as on October 31, 2024","October 31, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"October 31, 2024"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"October 31, 2024"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"October 31, 2024"
1,Automobile and Auto Components,589732,38,0,0,0,0,0,0,0,0,0,589770,70145,4,0,0,0,0,0,0,0,0,0,70149,-8131,0,0,0,0,0,0,0,0,0,0,-8131,-967,0,0,0,0,0,0,0,0,0,0,-967,-2309,0,0,0,0,0,0,0,0,0,0,-2309,-275,0,0,0,0,0,0,0,0,0,0,-275,533563,38,0,0,0,0,0,0,0,0,0,533601,63452,4,0,0,0,0,0,0,0,0,0,63456,"October 31, 2024"
2,Capital Goods,420078,738,28,0,0,0,0,0,0,0,0,420844,49966,88,3,0,0,0,0,0,0,0,0,50057,-853,-22,-1,0,0,0,0,0,0,0,0,-876,-101,-3,0,0,0,0,0,0,0,0,0,-104,-1933,-4,0,0,0,0,0,0,0,0,0,-1937,-230,0,0,0,0,0,0,0,0,0,0,-230,384812,735,28,0,0,0,0,0,0,0,0,385575,45763,87,3,0,0,0,0,0,0,0,0,45853,"October 31, 2024"
3,Chemicals,122120,0,615,0,0,0,0,0,0,0,0,122735,14525,0,73,0,0,0,0,0,0,0,0,14598,552,0,0,0,0,0,0,0,0,0,0,552,66,0,0,0,0,0,0,0,0,0,0,66,31,0,0,0,0,0,0,0,0,0,0,31,4,0,0,0,0,0,0,0,0,0,0,4,118520,0,615,0,0,0,0,0,0,0,0,119135,14095,0,73,0,0,0,0,0,0,0,0,14168,"October 31, 2024"
4,Construction,138208,115,0,0,81,0,0,0,0,0,0,138404,16439,14,0,0,10,0,0,0,0,0,0,16463,-1723,0,0,0,-1,0,0,0,0,0,0,-1724,-205,0,0,0,0,0,0,0,0,0,0,-205,-2927,15,0,0,0,0,0,0,0,0,0,-2912,-348,2,0,0,0,0,0,0,0,0,0,-346,136157,129,0,0,82,0,0,0,0,0,0,136368,16192,15,0,0,10,0,0,0,0,0,0,16217,"October 31, 2024"
5,Construction Materials,126254,1275,380,0,0,0,0,0,0,0,0,127909,15017,152,45,0,0,0,0,0,0,0,0,15214,-1426,0,0,0,0,0,0,0,0,0,0,-1426,-170,0,0,0,0,0,0,0,0,0,0,-170,-2014,0,0,0,0,0,0,0,0,0,0,-2014,-239,0,0,0,0,0,0,0,0,0,0,-239,122031,1275,380,0,0,0,0,0,0,0,0,123686,14512,152,45,0,0,0,0,0,0,0,0,14709,"October 31, 2024"
6,Consumer Durables,238910,0,0,0,0,0,0,0,0,0,0,238910,28417,0,0,0,0,0,0,0,0,0,0,28417,-846,-125,0,0,0,0,0,0,0,0,0,-971,-101,-15,0,0,0,0,0,0,0,0,0,-116,-2017,0,0,0,0,0,0,0,0,0,0,-2017,-240,0,0,0,0,0,0,0,0,0,0,-240,218783,0,0,0,0,0,0,0,0,0,0,218783,26018,0,0,0,0,0,0,0,0,0,0,26018,"October 31, 2024"
