0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","AUC as on August 31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment August 16-31, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","Net Investment September 01-15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","AUC as on September 15, 2025","September 15,2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"September 15,2025"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"September 15,2025"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"September 15,2025"
1,Automobile and Auto Components,533262,70,220,0,0,0,0,0,0,0,0,533552,60700,8,25,0,0,0,0,0,0,0,0,60733,2617,0,0,0,0,0,0,0,0,0,0,2617,298,0,0,0,0,0,0,0,0,0,0,298,1908,0,0,0,0,0,0,0,0,0,0,1908,216,0,0,0,0,0,0,0,0,0,0,216,572718,477,220,0,0,0,0,0,0,0,0,573415,64883,54,25,0,0,0,0,0,0,0,0,64962,"September 15,2025"
2,Capital Goods,371447,570,37,0,0,0,0,0,0,0,0,372054,42281,65,4,0,0,0,0,0,0,0,0,42350,764,-7,0,0,0,0,0,0,0,0,0,757,87,-1,0,0,0,0,0,0,0,0,0,86,1518,0,0,0,0,0,0,0,0,0,0,1518,172,0,0,0,0,0,0,0,0,0,0,172,396438,570,37,0,0,0,0,0,0,0,0,397045,44913,65,4,0,0,0,0,0,0,0,0,44982,"September 15,2025"
3,Chemicals,133984,0,523,0,0,0,0,0,0,0,0,134507,15251,0,60,0,0,0,0,0,0,0,0,15311,1161,0,0,0,0,0,0,0,0,0,0,1161,132,0,0,0,0,0,0,0,0,0,0,132,23,0,0,0,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,3,134628,0,523,0,0,0,0,0,0,0,0,135151,15252,0,59,0,0,0,0,0,0,0,0,15311,"September 15,2025"
4,Construction,121875,95,150,0,113,0,0,0,0,0,0,122233,13873,11,17,0,13,0,0,0,0,0,0,13914,-22,0,0,0,22,0,0,0,0,0,0,0,-2,0,0,0,3,0,0,0,0,0,0,1,130,0,0,0,0,0,0,0,0,0,0,130,15,0,0,0,0,0,0,0,0,0,0,15,123394,95,150,0,113,0,0,0,0,0,0,123752,13979,11,17,0,13,0,0,0,0,0,0,14020,"September 15,2025"
5,Construction Materials,128186,1250,0,0,0,0,0,0,0,0,0,129436,14591,142,0,0,0,0,0,0,0,0,0,14733,785,0,0,0,0,0,0,0,0,0,0,785,89,0,0,0,0,0,0,0,0,0,0,89,-1193,0,0,0,0,0,0,0,0,0,0,-1193,-135,0,0,0,0,0,0,0,0,0,0,-135,125748,1250,0,0,0,0,0,0,0,0,0,126998,14246,142,0,0,0,0,0,0,0,0,0,14388,"September 15,2025"
6,Consumer Durables,190443,0,0,0,0,0,0,0,0,0,0,190443,21678,0,0,0,0,0,0,0,0,0,0,21678,-836,0,0,0,0,0,0,0,0,0,0,-836,-95,0,0,0,0,0,0,0,0,0,0,-95,-326,0,0,0,0,0,0,0,0,0,0,-326,-37,0,0,0,0,0,0,0,0,0,0,-37,192985,0,0,0,0,0,0,0,0,0,0,192985,21863,0,0,0,0,0,0,0,0,0,0,21863,"September 15,2025"
