0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,ReportDate
,,"AUC as on August 31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","AUC as on August 31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment August 16-31, 2016","Net Investment September 01-15, 2016","Net Investment September 01-15, 2016","Net Investment September 01-15, 2016","Net Investment September 01-15, 2016","Net Investment September 01-15, 2016","Net Investment September 01-15, 2016","AUC as on September 15, 2016","AUC as on September 15, 2016","AUC as on September 15, 2016","AUC as on September 15, 2016","AUC as on September 15, 2016","AUC as on September 15, 2016","September 15, 2016"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,"September 15, 2016"
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,"September 15, 2016"
1,Automobiles & Auto Components,145004,317,145321,21648,47,21696,396,0,396,59,0,59,394,0,394,59,0,59,147474,317,147792,22003,47,22050,"September 15, 2016"
2,Total Financial Services,489102,40412,529514,73021,6033,79054,263,-757,-494,39,-113,-74,227,-1910,-1683,34,-285,-251,474749,39290,514039,70832,5862,76694,"September 15, 2016"
2a,Banks,223731,2373,226104,33402,354,33756,185,20,204,28,3,31,357,-17,340,53,-3,51,220679,2358,223037,32925,352,33277,"September 15, 2016"
2b,Other Financial Services1,265371,38039,303410,39619,5679,45298,79,-777,-698,12,-116,-104,-130,-1893,-2023,-19,-282,-302,254070,36932,291002,37907,5510,43417,"September 15, 2016"
3,Capital Goods,128980,847,129827,19256,127,19383,668,0,668,100,0,100,151,0,151,23,0,23,128784,848,129631,19214,126,19341,"September 15, 2016"
4,Chemicals & Petrochemicals,29611,0,29611,4421,0,4421,61,0,61,9,0,9,41,0,41,6,0,6,31601,0,31601,4715,0,4715,"September 15, 2016"
5,Coal,16939,0,16939,2529,0,2529,-586,0,-586,-87,0,-87,-277,0,-277,-41,0,-41,16286,0,16286,2430,0,2430,"September 15, 2016"
6,Commercial Services & Supplies,4901,200,5101,732,30,762,-46,0,-46,-7,0,-7,36,0,36,5,0,5,5019,200,5219,749,30,779,"September 15, 2016"
7,Construction Materials,55836,849,56684,8336,127,8463,390,0,390,58,0,58,95,0,95,14,0,14,54445,849,55294,8123,127,8250,"September 15, 2016"
8,Consumer Durables,6093,0,6093,910,0,910,15,0,15,2,0,2,-42,0,-42,-6,0,-6,6264,0,6264,935,0,935,"September 15, 2016"
9,Diversified2,3825,0,3825,571,0,571,-83,0,-83,-12,0,-12,22,0,22,3,0,3,3850,0,3850,574,0,574,"September 15, 2016"
10,Diversified Consumer Services,255,0,255,38,0,38,-1,0,-1,0,0,0,-1,0,-1,0,0,0,263,0,263,39,0,39,"September 15, 2016"
11,"Food, Beverages & Tobacco",100710,81,100790,15035,12,15048,118,0,118,18,0,18,-286,0,-286,-43,0,-43,98887,81,98967,14754,12,14766,"September 15, 2016"
12,Forest Materials,1070,0,1070,160,0,160,30,0,30,5,0,5,3,0,3,0,0,0,1121,0,1121,167,0,167,"September 15, 2016"
13,General Industrials,16970,385,17355,2534,57,2591,-25,0,-25,-4,0,-4,35,0,35,5,0,5,17474,385,17859,2607,57,2665,"September 15, 2016"
14,Hardware Technology & Equipment,37,0,37,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40,6,0,6,"September 15, 2016"
15,Healthcare Equipment & Supplies,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,"September 15, 2016"
16,Healthcare Services,9542,0,9542,1425,0,1425,55,0,55,8,0,8,15,0,15,2,0,2,9121,0,9121,1361,0,1361,"September 15, 2016"
17,"Hotels, Restaurants & Tourism",6500,125,6625,970,19,989,1,0,1,0,0,0,-18,0,-18,-3,0,-3,6321,125,6446,943,19,962,"September 15, 2016"
18,Household & Personal Products,76915,0,76915,11483,0,11483,-88,0,-88,-13,0,-13,0,0,0,0,0,0,78570,0,78570,11722,0,11722,"September 15, 2016"
19,Media,35944,757,36701,5366,113,5479,-178,-3,-181,-27,0,-27,1,0,1,0,0,0,35828,761,36589,5346,114,5459,"September 15, 2016"
20,Metals & Mining,38380,640,39020,5730,96,5826,323,0,323,48,0,48,122,0,122,18,0,18,37230,642,37871,5555,96,5650,"September 15, 2016"
21,Oil & Gas,122735,49,122784,18324,7,18331,890,0,890,133,0,133,118,0,118,18,0,18,116547,49,116596,17389,7,17396,"September 15, 2016"
22,Pharmaceuticals & Biotechnology,151660,0,151660,22642,0,22642,-1309,0,-1309,-195,0,-195,-126,0,-126,-19,0,-19,155113,0,155113,23143,0,23143,"September 15, 2016"
23,Realty,16735,211,16946,2499,31,2530,5,0,5,1,0,1,-87,0,-87,-13,0,-13,16469,211,16680,2457,31,2489,"September 15, 2016"
24,Retailing,7815,0,7815,1167,0,1167,-4,0,-4,-1,0,-1,-23,0,-23,-3,0,-3,5873,0,5873,876,0,876,"September 15, 2016"
25,Software & Services,243365,0,243365,36333,0,36333,-1099,0,-1099,-164,0,-164,-1064,0,-1064,-159,0,-159,234969,0,234969,35057,0,35057,"September 15, 2016"
26,Telecom Services,33911,2778,36689,5063,415,5478,93,0,93,14,0,14,-532,-401,-933,-79,-60,-139,31595,2401,33996,4714,358,5072,"September 15, 2016"
27,Telecommunications Equipment,225,0,225,34,0,34,0,0,0,0,0,0,-6,0,-6,-1,0,-1,232,0,232,35,0,35,"September 15, 2016"
28,"Textiles, Apparels & Accessories",33426,0,33426,4990,0,4990,70,0,70,10,0,10,9,0,9,1,0,1,33335,0,33335,4974,0,4974,"September 15, 2016"
29,Transportation,34632,785,35417,5170,117,5288,-328,0,-328,-49,0,-49,-265,0,-265,-40,0,-40,34389,785,35174,5131,117,5248,"September 15, 2016"
29 a,Airlines,401,699,1100,60,104,164,-11,0,-11,-2,0,-2,7,0,7,1,0,1,425,699,1124,63,104,168,"September 15, 2016"
29 b,Logistics,2950,1,2951,440,0,441,-1,0,-1,0,0,0,4,0,4,1,0,1,2954,1,2955,441,0,441,"September 15, 2016"
29 c,Marine Port & Services,19260,65,19326,2875,10,2885,-342,0,-342,-51,0,-51,-262,0,-262,-39,0,-39,19402,65,19467,2895,10,2904,"September 15, 2016"
29 d,Roads & Highways,2582,20,2602,385,3,388,13,0,13,2,0,2,-16,0,-16,-2,0,-2,2792,20,2812,417,3,420,"September 15, 2016"
29 e,Shipping,1492,0,1492,223,0,223,1,0,1,0,0,0,-13,0,-13,-2,0,-2,1476,0,1476,220,0,220,"September 15, 2016"
29 f,Surface Transportation,31,0,31,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,31,0,31,5,0,5,"September 15, 2016"
29 g,Transport Related Services,7915,0,7915,1182,0,1182,13,0,13,2,0,2,15,0,15,2,0,2,7309,0,7309,1090,0,1090,"September 15, 2016"
30,Utilities3,76909,6802,83710,11482,1015,12498,-485,17,-467,-72,3,-70,183,29,212,27,4,32,74423,6839,81262,11104,1020,12124,"September 15, 2016"
31,Sovereign,0,179714,179714,0,26830,26830,0,697,697,0,104,104,0,4632,4632,0,691,691,0,185385,185385,0,27659,27659,"September 15, 2016"
32,Others4,338732,103593,442324,50571,15466,66037,4512,-315,4197,674,-47,627,3048,2003,5051,455,299,754,351441,105690,457132,52435,15769,68203,"September 15, 2016"
,Grand Total,2226760,338545,2565304,332445,50543,382988,3658,-361,3297,546,-54,492,1776,4352,6128,265,649,914,2207718,344857,2552575,329388,51452,380840,"September 15, 2016"
