0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,ReportDate
,,"AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","AUC as on August 31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment August 16-31, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","Net Investment September 01-15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","AUC as on September 15, 2021","September 15, 2021"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"September 15, 2021"
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,"September 15, 2021"
1,Automobiles & Auto Components,190014,317,0,0,190331,25975,43,0,0,26018,-1903,0,0,0,-1903,-260,0,0,0,-260,-809,0,0,0,-809,-110,0,0,0,-110,193100,317,0,0,193417,26211,43,0,0,26254,"September 15, 2021"
2,Total Financial Services,1523088,22668,10324,9352,1565432,208204,3099,1411,1278,213992,-1159,-447,-104,156,-1554,-158,-61,-14,21,-212,-862,-413,446,0,-829,-117,-56,61,0,-112,1531558,22006,10785,0,1564349,207891,2987,1464,0,212342,"September 15, 2021"
2a,Banks,852223,5690,81,0,857994,116498,778,11,0,117287,-4136,-276,0,0,-4412,-565,-38,0,0,-603,-2233,-127,0,0,-2360,-303,-17,0,0,-320,858412,5545,81,0,864038,116519,753,11,0,117283,"September 15, 2021"
2b,Other Financial Services1,670865,16978,10243,9352,707438,91706,2321,1400,1278,96705,2978,-171,-104,156,2859,407,-23,-14,21,391,1371,-287,446,0,1530,186,-39,61,0,208,673146,16461,10705,0,700312,91372,2234,1453,0,95059,"September 15, 2021"
3,Capital Goods,158995,283,100,0,159378,21734,39,14,0,21787,-1565,55,0,0,-1510,-214,8,0,0,-206,116,-18,0,0,98,16,-2,0,0,14,163638,265,100,0,164003,22212,36,14,0,22262,"September 15, 2021"
4,Chemicals & Petrochemicals,82820,15,170,0,83005,11321,2,23,0,11346,-92,0,0,0,-92,-13,0,0,0,-13,-31,-382,-173,0,-586,-4,-52,-23,0,-79,86419,15,170,0,86604,11730,2,23,0,11755,"September 15, 2021"
5,Coal,5908,0,0,0,5908,808,0,0,0,808,-73,0,0,0,-73,-10,0,0,0,-10,49,0,0,0,49,7,0,0,0,7,6564,0,0,0,6564,891,0,0,0,891,"September 15, 2021"
6,Commercial Services & Supplies,40125,0,0,0,40125,5485,0,0,0,5485,-808,0,0,0,-808,-110,0,0,0,-110,-679,0,0,0,-679,-92,0,0,0,-92,37895,0,0,0,37895,5144,0,0,0,5144,"September 15, 2021"
7,Construction Materials,102261,407,150,0,102818,13979,56,21,0,14056,1584,0,0,0,1584,217,0,0,0,217,907,-1,0,0,906,123,0,0,0,123,107194,405,150,0,107749,14550,55,20,0,14625,"September 15, 2021"
8,Consumer Durables,135077,0,0,0,135077,18465,0,0,0,18465,552,0,0,0,552,75,0,0,0,75,1482,0,0,0,1482,201,0,0,0,201,145793,0,0,0,145793,19790,0,0,0,19790,"September 15, 2021"
9,Diversified2,15694,1149,535,0,17378,2145,157,73,0,2375,-25,0,0,0,-25,-3,0,0,0,-3,96,0,0,0,96,13,0,0,0,13,17294,1149,535,0,18978,2348,156,73,0,2577,"September 15, 2021"
10,Diversified Consumer Services,3540,0,0,0,3540,484,0,0,0,484,6,0,0,0,6,1,0,0,0,1,64,0,0,0,64,9,0,0,0,9,3988,0,0,0,3988,541,0,0,0,541,"September 15, 2021"
11,Food & Drugs Retailing,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,"September 15, 2021"
12,"Food, Beverages & Tobacco",123734,378,0,0,124112,16914,52,0,0,16966,-189,-68,0,0,-257,-26,-9,0,0,-35,-269,-7,0,0,-276,-36,-1,0,0,-37,127576,371,0,0,127947,17317,50,0,0,17367,"September 15, 2021"
13,Forest Materials,1889,335,79,0,2303,258,46,11,0,315,-58,0,0,0,-58,-8,0,0,0,-8,-10,0,0,0,-10,-1,0,0,0,-1,1986,335,79,0,2400,270,45,11,0,326,"September 15, 2021"
14,General Industrials,37682,439,0,0,38121,5151,60,0,0,5211,368,0,0,0,368,50,0,0,0,50,210,0,0,0,210,29,0,0,0,29,40592,55,0,0,40647,5510,7,0,0,5517,"September 15, 2021"
15,Hardware Technology & Equipment,51,0,0,0,51,7,0,0,0,7,4,0,0,0,4,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,57,0,0,0,57,8,0,0,0,8,"September 15, 2021"
16,Healthcare Equipment & Supplies,1444,0,0,0,1444,197,0,0,0,197,26,0,0,0,26,4,0,0,0,4,30,0,0,0,30,4,0,0,0,4,1506,0,0,0,1506,204,0,0,0,204,"September 15, 2021"
17,Healthcare Services,67352,0,0,0,67352,9207,0,0,0,9207,-272,0,0,0,-272,-37,0,0,0,-37,619,0,0,0,619,84,0,0,0,84,67270,0,0,0,67270,9131,0,0,0,9131,"September 15, 2021"
18,"Hotels, Restaurants & Tourism",32456,100,100,0,32656,4437,14,14,0,4465,-259,0,0,0,-259,-35,0,0,0,-35,517,0,0,0,517,70,0,0,0,70,35271,100,100,0,35471,4788,14,14,0,4816,"September 15, 2021"
19,Household & Personal Products,184167,0,0,0,184167,25175,0,0,0,25175,512,0,0,0,512,70,0,0,0,70,707,0,0,0,707,96,0,0,0,96,189069,0,0,0,189069,25664,0,0,0,25664,"September 15, 2021"
