0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,ReportDate
,,"AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","AUC as on September 15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 01-15, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","Net Investment September 16-30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","AUC as on September 30, 2018","September 30, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"September 30, 2018"
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,"September 30, 2018"
1,Automobiles & Auto Components,207213,317,0,207530,28855,44,0,28899,-211,0,0,-211,-29,0,0,-29,-1921,0,0,-1921,-265,0,0,-265,181485,317,0,181802,25016,44,0,25060,"September 30, 2018"
2,Total Financial Services,989538,58896,0,1048434,137794,8201,0,145995,-3289,-1164,0,-4453,-458,-162,0,-620,-3089,-1618,0,-4707,-426,-223,0,-649,886764,57370,0,944134,122232,7908,0,130140,"September 30, 2018"
2a,Banks,564093,6734,0,570827,78550,938,0,79488,-3462,-58,0,-3520,-482,-8,0,-490,-3530,-207,0,-3737,-487,-29,0,-516,517427,6562,0,523989,71323,905,0,72228,"September 30, 2018"
2b,Other Financial Services1,425445,52162,0,477607,59244,7264,0,66508,173,-1107,0,-934,24,-154,0,-130,440,-1411,0,-971,61,-195,0,-134,369337,50808,0,420145,50910,7003,0,57913,"September 30, 2018"
3,Capital Goods,110005,483,0,110488,15318,67,0,15385,-350,-600,0,-950,-49,-84,0,-133,-87,0,0,-87,-12,0,0,-12,98442,483,0,98925,13569,67,0,13636,"September 30, 2018"
4,Chemicals & Petrochemicals,38356,0,0,38356,5341,0,0,5341,256,0,0,256,36,0,0,36,-44,0,0,-44,-6,0,0,-6,34679,0,0,34679,4780,0,0,4780,"September 30, 2018"
5,Coal,10034,0,0,10034,1397,0,0,1397,16,0,0,16,2,0,0,2,-34,0,0,-34,-5,0,0,-5,9553,0,0,9553,1317,0,0,1317,"September 30, 2018"
6,Commercial Services & Supplies,9146,200,0,9346,1274,28,0,1302,-213,0,0,-213,-30,0,0,-30,-6,0,0,-6,-1,0,0,-1,7524,200,0,7724,1037,28,0,1065,"September 30, 2018"
7,Construction Materials,68874,779,0,69653,9591,108,0,9699,-335,0,0,-335,-47,0,0,-47,-315,0,0,-315,-43,0,0,-43,65453,779,0,66232,9022,107,0,9129,"September 30, 2018"
8,Consumer Durables,37884,0,0,37884,5275,0,0,5275,-231,0,0,-231,-32,0,0,-32,-20,0,0,-20,-3,0,0,-3,35837,0,0,35837,4940,0,0,4940,"September 30, 2018"
9,Diversified2,2812,0,0,2812,392,0,0,392,-11,0,0,-11,-2,0,0,-2,13,0,0,13,2,0,0,2,2562,0,0,2562,353,0,0,353,"September 30, 2018"
10,Diversified Consumer Services,2664,0,0,2664,371,0,0,371,5,0,0,5,1,0,0,1,-1,0,0,-1,0,0,0,0,2570,0,0,2570,354,0,0,354,"September 30, 2018"
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"September 30, 2018"
12,"Food, Beverages & Tobacco",110698,612,0,111310,15415,85,0,15500,40,0,0,40,6,0,0,6,-41,0,0,-41,-6,0,0,-6,105684,612,0,106296,14568,84,0,14652,"September 30, 2018"
