0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,ReportDate
,,"AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","AUC as on September 15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 01-15, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","Net Investment September 16-30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","AUC as on September 30, 2024","September 30, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,"September 30, 2024"
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,"September 30, 2024"
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,"September 30, 2024"
1,Automobile and Auto Components,578527,37,0,0,0,0,0,0,0,0,0,578564,68940,4,0,0,0,0,0,0,0,0,0,68944,-1983,-127,0,0,0,0,0,0,0,0,0,-2110,-236,-15,0,0,0,0,0,0,0,0,0,-251,-123,1,0,0,0,0,0,0,0,0,0,-122,-15,0,0,0,0,0,0,0,0,0,0,-15,615068,38,0,0,0,0,0,0,0,0,0,615106,73407,5,0,0,0,0,0,0,0,0,0,73412,"September 30, 2024"
2,Capital Goods,410162,764,29,0,0,0,0,0,0,0,0,410955,48877,91,3,0,0,0,0,0,0,0,0,48971,1778,-4,0,0,0,0,0,0,0,0,0,1774,212,0,0,0,0,0,0,0,0,0,0,212,2224,-4,0,0,0,0,0,0,0,0,0,2220,265,0,0,0,0,0,0,0,0,0,0,265,413198,760,29,0,0,0,0,0,0,0,0,413987,49314,91,3,0,0,0,0,0,0,0,0,49408,"September 30, 2024"
3,Chemicals,122869,0,615,0,0,0,0,0,0,0,0,123484,14641,0,73,0,0,0,0,0,0,0,0,14714,699,0,0,0,0,0,0,0,0,0,0,699,83,0,0,0,0,0,0,0,0,0,0,83,746,0,0,0,0,0,0,0,0,0,0,746,89,0,0,0,0,0,0,0,0,0,0,89,125531,0,615,0,0,0,0,0,0,0,0,126146,14982,0,73,0,0,0,0,0,0,0,0,15055,"September 30, 2024"
4,Construction,143442,153,0,0,83,0,0,0,0,0,0,143678,17093,18,0,0,10,0,0,0,0,0,0,17121,584,-82,0,0,-1,0,0,0,0,0,0,501,70,-10,0,0,0,0,0,0,0,0,0,60,511,-39,0,0,-2,0,0,0,0,0,0,470,61,-5,0,0,0,0,0,0,0,0,0,56,145187,115,0,0,83,0,0,0,0,0,0,145385,17328,14,0,0,10,0,0,0,0,0,0,17352,"September 30, 2024"
5,Construction Materials,132692,1275,380,0,0,0,0,0,0,0,0,134347,15812,152,45,0,0,0,0,0,0,0,0,16009,-393,0,0,0,0,0,0,0,0,0,0,-393,-47,0,0,0,0,0,0,0,0,0,0,-47,-508,0,0,0,0,0,0,0,0,0,0,-508,-61,0,0,0,0,0,0,0,0,0,0,-61,132691,1275,380,0,0,0,0,0,0,0,0,134346,15836,152,45,0,0,0,0,0,0,0,0,16033,"September 30, 2024"
6,Consumer Durables,244187,125,0,0,0,0,0,0,0,0,0,244312,29098,15,0,0,0,0,0,0,0,0,0,29113,2226,0,0,0,0,0,0,0,0,0,0,2226,265,0,0,0,0,0,0,0,0,0,0,265,1510,0,0,0,0,0,0,0,0,0,0,1510,180,0,0,0,0,0,0,0,0,0,0,180,247520,125,0,0,0,0,0,0,0,0,0,247645,29541,15,0,0,0,0,0,0,0,0,0,29556,"September 30, 2024"
