0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","AUC as on March 31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment March 16-31, 2018","Net Investment April 01-15, 2018","Net Investment April 01-15, 2018","Net Investment April 01-15, 2018","Net Investment April 01-15, 2018","Net Investment April 01-15, 2018","Net Investment April 01-15, 2018","Net Investment April 01-15, 2018","Net Investment April 01-15, 2018","AUC as on April 15, 2018","AUC as on April 15, 2018","AUC as on April 15, 2018","AUC as on April 15, 2018","AUC as on April 15, 2018","AUC as on April 15, 2018","AUC as on April 15, 2018","AUC as on April 15, 2018"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,211034,347,0,211381,32445,53,0,32498,-492,0,0,-492,-76,0,0,-76,-89,0,0,-89,-14,0,0,-14,223070,347,0,223417,34201,53,0,34254
2,Total Financial Services,908861,67144,0,976004,139730,10323,0,150053,264,842,0,1106,41,129,0,170,-777,-1089,0,-1866,-119,-167,0,-286,944326,66115,0,1010441,144785,10137,0,154922
2a,Banks,508425,7379,0,515803,78166,1134,0,79301,-974,-188,0,-1162,-150,-29,0,-179,-597,-305,0,-902,-92,-47,0,-138,529254,7100,0,536354,81146,1089,0,82235
2b,Other Financial Services1,400436,59765,0,460201,61564,9188,0,70752,1239,1030,0,2269,190,158,0,349,-180,-785,0,-964,-28,-120,0,-148,415072,59015,0,474087,63639,9048,0,72687
3,Capital Goods,116051,1203,0,117255,17842,185,0,18027,539,0,0,539,83,0,0,83,-1,0,0,-1,0,0,0,0,122458,1203,0,123661,18775,184,0,18959
4,Chemicals & Petrochemicals,38008,0,0,38008,5843,0,0,5843,160,0,0,160,25,0,0,25,-89,0,0,-89,-14,0,0,-14,39619,0,0,39619,6074,0,0,6074
5,Coal,9832,0,0,9832,1512,0,0,1512,-8,0,0,-8,-1,0,0,-1,7,0,0,7,1,0,0,1,9923,0,0,9923,1521,0,0,1521
6,Commercial Services & Supplies,8759,200,0,8959,1347,31,0,1377,-22,0,0,-22,-3,0,0,-3,-96,0,0,-96,-15,0,0,-15,8564,200,0,8764,1313,31,0,1344
7,Construction Materials,72062,804,0,72866,11079,124,0,11203,-272,0,0,-272,-42,0,0,-42,-670,0,0,-670,-103,0,0,-103,71943,804,0,72747,11030,123,0,11154
8,Consumer Durables,37905,0,0,37905,5828,0,0,5828,-280,0,0,-280,-43,0,0,-43,-193,0,0,-193,-30,0,0,-30,38983,0,0,38983,5977,0,0,5977
9,Diversified2,2591,0,0,2591,398,0,0,398,-1,0,0,-1,0,0,0,0,-21,0,0,-21,-3,0,0,-3,2745,0,0,2745,421,0,0,421
10,Diversified Consumer Services,2005,0,0,2005,308,0,0,308,102,0,0,102,16,0,0,16,6,0,0,6,1,0,0,1,2010,0,0,2010,308,0,0,308
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",107852,613,0,108465,16581,94,0,16676,-230,0,0,-230,-35,0,0,-35,-109,-1,0,-110,-17,0,0,-17,112426,612,0,113038,17237,94,0,17331
13,Forest Materials,2138,0,0,2138,329,0,0,329,9,0,0,9,1,0,0,1,2,0,0,2,0,0,0,0,2278,0,0,2278,349,0,0,349
14,General Industrials,22003,385,0,22388,3383,59,0,3442,-15,0,0,-15,-2,0,0,-2,-282,0,0,-282,-43,0,0,-43,23033,385,0,23418,3531,59,0,3590
15,Hardware Technology & Equipment,73,0,0,73,11,0,0,11,-1,0,0,-1,0,0,0,0,-5,0,0,-5,-1,0,0,-1,76,0,0,76,12,0,0,12
16,Healthcare Equipment & Supplies,121,0,0,121,19,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,132,20,0,0,20
17,Healthcare Services,12908,0,0,12908,1984,0,0,1984,101,0,0,101,16,0,0,16,178,0,0,178,27,0,0,27,13901,0,0,13901,2131,0,0,2131
18,"Hotels, Restaurants & Tourism",12787,56,0,12843,1966,9,0,1974,271,0,0,271,42,0,0,42,-37,0,0,-37,-6,0,0,-6,13559,56,0,13615,2079,9,0,2088
19,Household & Personal Products,91922,0,0,91922,14132,0,0,14132,203,0,0,203,31,0,0,31,-206,0,0,-206,-32,0,0,-32,93850,0,0,93850,14389,0,0,14389
20,Insurance,7245,0,0,7245,1114,0,0,1114,36,0,0,36,6,0,0,6,-4,0,0,-4,-1,0,0,-1,7146,0,0,7146,1096,0,0,1096
21,Media,36861,339,0,37201,5667,52,0,5719,79,-10,0,69,12,-2,0,11,-162,0,0,-162,-25,0,0,-25,37115,339,0,37454,5691,52,0,5743
22,Metals & Mining,70469,678,0,71147,10834,104,0,10938,722,0,0,722,111,0,0,111,-259,-3,0,-262,-40,0,0,-40,75284,677,0,75961,11543,104,0,11647
23,Oil & Gas,202478,2220,0,204698,31129,341,0,31471,-198,-98,0,-296,-30,-15,0,-45,-673,-4,0,-678,-103,-1,0,-104,209370,2216,0,211586,32101,340,0,32441
24,Pharmaceuticals & Biotechnology,110874,0,0,110874,17046,0,0,17046,204,0,0,204,31,0,0,31,-136,0,0,-136,-21,0,0,-21,114988,0,0,114988,17630,0,0,17630
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,25437,551,0,25988,3911,85,0,3996,-57,0,0,-57,-9,0,0,-9,-72,0,0,-72,-11,0,0,-11,25858,551,0,26409,3965,84,0,4049
27,Retailing,28558,300,0,28858,4391,46,0,4437,97,300,0,397,15,46,0,61,38,0,0,38,6,0,0,6,27469,300,0,27769,4212,46,0,4258
28,Software & Services,283779,0,0,283779,43629,0,0,43629,989,0,0,989,152,0,0,152,878,0,0,878,135,0,0,135,301058,0,0,301058,46159,0,0,46159
29,Telecom Services,70223,2246,0,72469,10796,345,0,11142,375,-101,0,274,58,-15,0,42,-728,0,0,-728,-112,0,0,-112,67916,2246,0,70162,10413,344,0,10757
30,Telecommunications Equipment,318,0,0,318,49,0,0,49,4,0,0,4,1,0,0,1,1,0,0,1,0,0,0,0,339,0,0,339,52,0,0,52
31,"Textiles, Apparels & Accessories",45693,0,0,45693,7025,0,0,7025,135,0,0,135,21,0,0,21,15,0,0,15,2,0,0,2,47834,0,0,47834,7334,0,0,7334
