0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on March 31, 2023","AUC as on March 31, 2023","AUC as on March 31, 2023","AUC as on March 31, 2023","AUC as on March 31, 2023","AUC as on March 31, 2023","AUC as on March 31, 2023","AUC as on March 31, 2023","AUC as on March 31, 2023","AUC as on March 31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment March 16-31, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","Net Investment April 01-15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023","AUC as on April 15, 2023"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,252949,19,10,0,252978,30766,2,2,0,30770,-439,0,0,0,-439,-53,0,0,0,-53,1259,0,0,0,1259,154,0,0,0,154,267824,19,11,0,267854,32671,2,2,0,32675
2,Capital Goods,136503,402,0,0,136905,16603,49,0,0,16652,1731,0,0,0,1731,211,0,0,0,211,408,-12,0,0,396,50,-1,0,0,49,139807,390,0,0,140197,17055,47,0,0,17102
3,Chemicals,94397,0,0,0,94397,11481,0,0,0,11481,406,0,0,0,406,49,0,0,0,49,226,0,0,0,226,28,0,0,0,28,97495,0,0,0,97495,11893,0,0,0,11893
4,Construction,81404,605,2178,0,84187,9901,74,265,0,10240,1119,0,0,0,1119,136,0,0,0,136,290,0,0,0,290,35,0,0,0,35,84916,605,2178,0,87699,10359,74,266,0,10699
5,Construction Materials,82424,980,854,0,84258,10025,119,104,0,10248,1140,-6,-3,0,1131,139,-1,0,0,138,227,-13,-93,0,121,28,-2,-11,0,15,83927,967,847,0,85741,10238,118,103,0,10459
6,Consumer Durables,148719,0,0,0,148719,18089,0,0,0,18089,850,0,0,0,850,103,0,0,0,103,18,0,0,0,18,2,0,0,0,2,151041,0,0,0,151041,18425,0,0,0,18425
7,Consumer Services,103435,419,495,0,104349,12581,51,60,0,12692,168,0,0,0,168,20,0,0,0,20,168,0,0,0,168,21,0,0,0,21,106507,419,495,0,107421,12993,51,60,0,13104
