0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
,,"AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","AUC as on March 31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment March 16-31, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","Net Investment April 01-15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025","AUC as on April 15, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total
1,Automobile and Auto Components,450908,32,0,0,0,0,0,0,0,0,0,450940,52688,4,0,0,0,0,0,0,0,0,0,52692,776,0,0,0,0,0,0,0,0,0,0,776,91,0,0,0,0,0,0,0,0,0,0,91,-2562,0,0,0,0,0,0,0,0,0,0,-2562,-299,0,0,0,0,0,0,0,0,0,0,-299,446481,32,0,0,0,0,0,0,0,0,0,446513,52104,4,0,0,0,0,0,0,0,0,0,52108
2,Capital Goods,324758,669,31,0,0,0,0,0,0,0,0,325458,37947,78,4,0,0,0,0,0,0,0,0,38029,1613,-25,-5,0,0,0,0,0,0,0,0,1583,188,-3,-1,0,0,0,0,0,0,0,0,184,-3019,-27,-1,0,0,0,0,0,0,0,0,-3047,-352,-3,0,0,0,0,0,0,0,0,0,-355,309377,642,40,0,0,0,0,0,0,0,0,310059,36104,75,5,0,0,0,0,0,0,0,0,36184
3,Chemicals,116306,0,523,0,0,0,0,0,0,0,0,116829,13590,0,61,0,0,0,0,0,0,0,0,13651,620,0,0,0,0,0,0,0,0,0,0,620,72,0,0,0,0,0,0,0,0,0,0,72,-309,0,0,0,0,0,0,0,0,0,0,-309,-36,0,0,0,0,0,0,0,0,0,0,-36,120154,0,523,0,0,0,0,0,0,0,0,120677,14022,0,61,0,0,0,0,0,0,0,0,14083
4,Construction,121372,95,0,0,111,0,0,0,0,0,0,121578,14182,11,0,0,13,0,0,0,0,0,0,14206,615,0,0,0,-1,0,0,0,0,0,0,614,72,0,0,0,0,0,0,0,0,0,0,72,-2461,0,0,0,-4,0,0,0,0,0,0,-2465,-287,0,0,0,-1,0,0,0,0,0,0,-288,112486,95,0,0,105,0,0,0,0,0,0,112686,13127,11,0,0,12,0,0,0,0,0,0,13150
5,Construction Materials,113627,1350,0,0,0,0,0,0,0,0,0,114977,13277,158,0,0,0,0,0,0,0,0,0,13435,-132,100,0,0,0,0,0,0,0,0,0,-32,-15,12,0,0,0,0,0,0,0,0,0,-3,-612,-101,0,0,0,0,0,0,0,0,0,-713,-71,-12,0,0,0,0,0,0,0,0,0,-83,116176,1250,0,0,0,0,0,0,0,0,0,117426,13558,146,0,0,0,0,0,0,0,0,0,13704
6,Consumer Durables,184666,0,0,0,0,0,0,0,0,0,0,184666,21578,0,0,0,0,0,0,0,0,0,0,21578,48,0,0,0,0,0,0,0,0,0,0,48,6,0,0,0,0,0,0,0,0,0,0,6,-1026,0,0,0,0,0,0,0,0,0,0,-1026,-120,0,0,0,0,0,0,0,0,0,0,-120,189833,0,0,0,0,0,0,0,0,0,0,189833,22153,0,0,0,0,0,0,0,0,0,0,22153
