0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on April 15, 2012","AUC as on April 15, 2012","AUC as on April 15, 2012","AUC as on April 15, 2012","AUC as on April 15, 2012","AUC as on April 15, 2012","Net Investment  April 1-30, 2012","Net Investment  April 1-30, 2012","Net Investment  April 1-30, 2012","Net Investment  April 1-30, 2012","Net Investment  April 1-30, 2012","Net Investment  April 1-30, 2012","Net Investment  April 16-30, 2012","Net Investment  April 16-30, 2012","Net Investment  April 16-30, 2012","Net Investment  April 16-30, 2012","Net Investment  April 16-30, 2012","Net Investment  April 16-30, 2012","AUC as on April 30, 2012","AUC as on April 30, 2012","AUC as on April 30, 2012","AUC as on April 30, 2012","AUC as on April 30, 2012","AUC as on April 30, 2012"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto  Components,49309,0,49309,9590,0,9590,325,0,325,62,0,62,372,0,372,71,0,71,47347,0,47347,9015,0,9015
2,Total Financial Services,271191,35218,306408,52743,6849,59592,-189,-1504,-1693,-36,-286,-322,-95,-1191,-1286,-18,-227,-245,255791,36708,292498,48704,6989,55693
2a,Banks,156454,12,156466,30428,2,30430,-523,-3,-526,-100,-1,-100,-56,-3,-59,-11,-1,-11,148406,9,148414,28257,2,28259
2b,Other Financial  Services1,114737,35206,149942,22315,6847,29162,334,-1501,-1167,64,-286,-222,-39,-1188,-1227,-7,-226,-234,107385,36699,144084,20447,6988,27434
3,Capital Goods,67024,463,67486,13035,90,13125,87,116,203,16,22,39,-70,0,-70,-13,0,-13,64960,463,65422,12369,88,12457
4,Chemicals &  Petrochemicals,8082,0,8082,1572,0,1572,74,-75,-1,14,-14,0,39,0,39,7,0,7,8270,0,8270,1575,0,1575
5,Coal,12275,0,12275,2387,0,2387,92,0,92,17,0,17,71,0,71,14,0,14,11197,0,11197,2132,0,2132
6,Commercial  Services & Supplies,7373,0,7373,1434,0,1434,-16,0,-16,-3,0,-3,-31,0,-31,-6,0,-6,6981,0,6981,1329,0,1329
7,Construction  Materials,20445,60,20505,3976,12,3988,92,0,92,17,0,17,22,0,22,4,0,4,15839,60,15899,3016,11,3027
8,Consumer  Durables,7552,0,7552,1469,0,1469,106,0,106,20,0,20,38,0,38,7,0,7,7145,0,7145,1360,0,1360
9,Diversified2,2721,45,2766,529,9,538,5,0,5,1,0,1,-7,0,-7,-1,0,-1,3241,90,3331,617,17,634
10,Diversified  Consumer Services,596,0,596,116,0,116,34,0,34,7,0,7,18,0,18,3,0,3,843,0,843,161,0,161
11,"Food, Beverages  & Tobacco",53293,76,53369,10365,15,10380,572,0,572,109,0,109,172,0,172,33,0,33,57313,77,57390,10913,15,10927
12,Forest  Materials,438,0,438,85,0,85,17,0,17,3,0,3,9,0,9,2,0,2,612,0,612,116,0,116
13,General  Industrials,6524,0,6524,1269,0,1269,-138,0,-138,-26,0,-26,-73,0,-73,-14,0,-14,6882,0,6882,1310,0,1310
14,Hardware  Technology & Equipment,325,0,325,63,0,63,-3,0,-3,-1,0,-1,0,0,0,0,0,0,293,0,293,56,0,56
15,Healthcare  Equipment & Supplies,1646,0,1646,320,0,320,-31,0,-31,-6,0,-6,-9,0,-9,-2,0,-2,1969,0,1969,375,0,375
16,Healthcare  Services,3345,0,3345,651,0,651,-9,0,-9,-2,0,-2,-3,0,-3,-1,0,-1,4127,0,4127,786,0,786
17,"Hotels,  Restaurants & Tourism",4226,100,4326,822,19,841,8,0,8,2,0,2,34,0,34,7,0,7,4833,100,4933,920,19,939
18,Household &  Personal Products,33117,0,33117,6441,0,6441,-67,0,-67,-13,0,-13,-43,0,-43,-8,0,-8,30426,0,30426,5793,0,5793
19,Media,8970,58,9027,1744,11,1756,-114,0,-114,-22,0,-22,-117,0,-117,-22,0,-22,7940,58,7998,1512,11,1523
