0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on April 15, 2019","AUC as on April 15, 2019","AUC as on April 15, 2019","AUC as on April 15, 2019","AUC as on April 15, 2019","AUC as on April 15, 2019","AUC as on April 15, 2019","AUC as on April 15, 2019","Net Investment April 01-15, 2019","Net Investment April 01-15, 2019","Net Investment April 01-15, 2019","Net Investment April 01-15, 2019","Net Investment April 01-15, 2019","Net Investment April 01-15, 2019","Net Investment April 01-15, 2019","Net Investment April 01-15, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","Net Investment April 16-30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019","AUC as on April 30, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,165694,317,0,166011,23934,46,0,23980,446,0,0,446,64,0,0,64,902,0,0,902,129,0,0,129,156798,317,0,157115,22452,45,0,22497
2,Total Financial Services,1064802,57858,2004,1124664,153808,8357,289,162454,4065,-1810,-11,2244,587,-261,-2,324,1496,-356,-12,1128,214,-51,-2,161,1047037,57467,1981,1106485,149926,8229,284,158439
2a,Banks,623382,8022,0,631404,90046,1159,0,91205,1439,77,0,1516,208,11,0,219,876,-36,0,840,125,-5,0,120,617345,7983,0,625328,88398,1143,0,89541
2b,Other Financial Services1,441419,49836,2004,493259,63762,7199,289,71250,2627,-1887,-11,729,379,-273,-2,104,620,-320,-12,288,89,-46,-2,41,429692,49483,1981,481156,61528,7086,284,68898
3,Capital Goods,103004,313,0,103317,14879,45,0,14924,-126,-100,0,-226,-18,-14,0,-32,-218,0,0,-218,-31,0,0,-31,99834,313,0,100147,14295,45,0,14340
4,Chemicals & Petrochemicals,44162,0,0,44162,6379,0,0,6379,-44,0,0,-44,-6,0,0,-6,98,0,0,98,14,0,0,14,44079,0,0,44079,6312,0,0,6312
5,Coal,11474,0,0,11474,1657,0,0,1657,355,0,0,355,51,0,0,51,1635,0,0,1635,234,0,0,234,13213,0,0,13213,1892,0,0,1892
6,Commercial Services & Supplies,7917,200,0,8117,1144,29,0,1173,-53,0,0,-53,-8,0,0,-8,-21,0,0,-21,-3,0,0,-3,7419,200,0,7619,1062,29,0,1091
7,Construction Materials,59603,529,0,60132,8609,76,0,8685,-823,-150,0,-973,-119,-22,0,-141,-395,49,0,-346,-57,7,0,-50,61785,578,0,62363,8847,83,0,8930
8,Consumer Durables,42033,0,0,42033,6072,0,0,6072,119,0,0,119,17,0,0,17,285,0,0,285,41,0,0,41,42426,0,0,42426,6075,0,0,6075
9,Diversified2,4121,0,0,4121,595,0,0,595,-11,0,0,-11,-2,0,0,-2,12,0,0,12,2,0,0,2,3896,0,0,3896,558,0,0,558
10,Diversified Consumer Services,2953,0,0,2953,427,0,0,427,-16,0,0,-16,-2,0,0,-2,0,0,0,0,0,0,0,0,2957,0,0,2957,423,0,0,423
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",108636,662,0,109298,15692,96,0,15788,5,0,0,5,1,0,0,1,324,0,0,324,46,0,0,46,107817,662,0,108479,15438,95,0,15533
13,Forest Materials,1279,335,0,1614,185,48,0,233,15,0,0,15,2,0,0,2,-1,0,0,-1,0,0,0,0,1210,335,0,1545,173,48,0,221
14,General Industrials,18879,385,0,19264,2727,56,0,2783,77,0,0,77,11,0,0,11,-16,0,0,-16,-2,0,0,-2,18512,385,0,18897,2651,55,0,2706
15,Hardware Technology & Equipment,46,0,0,46,7,0,0,7,6,0,0,6,1,0,0,1,0,0,0,0,0,0,0,0,42,0,0,42,6,0,0,6
16,Healthcare Equipment & Supplies,97,0,0,97,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,88,13,0,0,13
17,Healthcare Services,15453,0,0,15453,2232,0,0,2232,-36,0,0,-36,-5,0,0,-5,10,0,0,10,1,0,0,1,14946,0,0,14946,2140,0,0,2140
18,"Hotels, Restaurants & Tourism",13701,104,0,13805,1979,15,0,1994,-193,25,0,-168,-28,4,0,-24,-90,0,0,-90,-13,0,0,-13,13127,104,0,13231,1880,15,0,1895
