0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
,,"AUC as on July 31, 2017","AUC as on July 31, 2017","AUC as on July 31, 2017","AUC as on July 31, 2017","AUC as on July 31, 2017","AUC as on July 31, 2017","Net Investment July 16-31, 2017","Net Investment July 16-31, 2017","Net Investment July 16-31, 2017","Net Investment July 16-31, 2017","Net Investment July 16-31, 2017","Net Investment July 16-31, 2017","Net Investment August 01-15, 2017","Net Investment August 01-15, 2017","Net Investment August 01-15, 2017","Net Investment August 01-15, 2017","Net Investment August 01-15, 2017","Net Investment August 01-15, 2017","AUC as on August 15, 2017","AUC as on August 15, 2017","AUC as on August 15, 2017","AUC as on August 15, 2017","AUC as on August 15, 2017","AUC as on August 15, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total,Equity,Debt,Total
1,Automobiles & Auto Components,177635,347,177983,27722,54,27776,336,30,367,53,5,57,-345,0,-345,-54,0,-54,176872,347,177219,27625,54,27680
2,Total Financial Services,655995,53793,709788,102376,8395,110771,205,1066,1270,32,166,198,-1547,2132,584,-242,333,91,635948,56116,692064,99328,8765,108092
2a,Banks,330012,5723,335735,51502,893,52395,302,339,642,47,53,100,-294,12,-282,-46,2,-44,322141,5773,327913,50315,902,51216
2b,Other Financial Services1,325983,48071,374053,50873,7502,58375,-98,726,629,-15,113,98,-1254,2120,866,-196,331,135,313807,50343,364150,49013,7863,56876
3,Capital Goods,134928,883,135811,21057,138,21195,773,0,773,121,0,121,-707,0,-707,-110,0,-110,126415,883,127298,19745,138,19882
4,Chemicals & Petrochemicals,36497,0,36497,5696,0,5696,-381,0,-381,-60,0,-60,-12,0,-12,-2,0,-2,35238,0,35238,5504,0,5504
5,Coal,9958,0,9958,1554,0,1554,-196,0,-196,-31,0,-31,-271,0,-271,-42,0,-42,9279,0,9279,1449,0,1449
6,Commercial Services & Supplies,6950,200,7150,1085,31,1116,104,0,104,16,0,16,59,0,59,9,0,9,6507,200,6707,1016,31,1047
7,Construction Materials,59214,649,59863,9241,101,9342,261,0,261,41,0,41,-66,0,-66,-10,0,-10,57885,649,58534,9041,101,9142
8,Consumer Durables,4093,0,4093,639,0,639,-58,0,-58,-9,0,-9,-160,0,-160,-25,0,-25,3852,0,3852,602,0,602
9,Diversified2,1797,0,1797,280,0,280,-4,0,-4,-1,0,-1,11,0,11,2,0,2,1836,0,1836,287,0,287
