0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","AUC as on July 31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment July 16-31, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","Net Investment August 01-15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024","AUC as on August 15, 2024"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,604398,163,10,0,604571,72172,19,1,0,72192,3155,0,0,0,3155,377,0,0,0,377,-1628,0,0,0,-1628,-194,0,0,0,-194,569870,163,10,0,570043,67893,19,1,0,67913
2,Capital Goods,416645,771,29,0,417445,49752,92,3,0,49847,1315,0,0,0,1315,157,0,0,0,157,-1089,-4,0,0,-1093,-130,0,0,0,-130,397601,768,29,0,398398,47369,91,3,0,47463
3,Chemicals,120612,0,615,0,121227,14402,0,73,0,14475,-394,0,0,0,-394,-47,0,0,0,-47,-204,0,0,0,-204,-24,0,0,0,-24,114357,0,615,0,114972,13624,0,73,0,13697
4,Construction,151722,305,0,88,152115,18117,36,0,10,18163,-627,0,0,0,-627,-75,0,0,0,-75,-699,-70,0,0,-769,-83,-8,0,0,-91,139792,235,0,91,140118,16655,28,0,11,16694
5,Construction Materials,136945,1275,380,0,138600,16353,152,45,0,16550,486,0,0,0,486,58,0,0,0,58,-2036,0,0,0,-2036,-243,0,0,0,-243,123438,1275,380,0,125093,14706,152,45,0,14903
6,Consumer Durables,218526,0,0,0,218526,26095,0,0,0,26095,-313,0,0,0,-313,-37,0,0,0,-37,-584,125,0,0,-459,-70,15,0,0,-55,214595,125,0,0,214720,25566,15,0,0,25581
7,Consumer Services,305138,1099,670,0,306907,36437,131,80,0,36648,1787,-10,0,0,1777,213,-1,0,0,212,2196,0,0,0,2196,262,0,0,0,262,324457,1099,670,0,326226,38655,131,80,0,38866
