0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
,,"AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","AUC as on July 31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment July 16-31, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","Net Investment August 01-15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025","AUC as on August 15, 2025"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total
1,Automobile and Auto Components,501618,50,220,0,0,0,0,0,0,0,0,501888,57292,6,25,0,0,0,0,0,0,0,0,57323,-2425,0,0,0,0,0,0,0,0,0,0,-2425,-277,0,0,0,0,0,0,0,0,0,0,-277,-814,0,0,0,0,0,0,0,0,0,0,-814,-93,0,0,0,0,0,0,0,0,0,0,-93,512110,50,220,0,0,0,0,0,0,0,0,512380,58537,6,25,0,0,0,0,0,0,0,0,58568
2,Capital Goods,379369,589,38,0,0,0,0,0,0,0,0,379996,43330,67,4,0,0,0,0,0,0,0,0,43401,-617,-7,0,0,0,0,0,0,0,0,0,-624,-70,-1,0,0,0,0,0,0,0,0,0,-71,1132,-13,-1,0,0,0,0,0,0,0,0,1118,129,-1,0,0,0,0,0,0,0,0,0,128,373595,577,37,0,0,0,0,0,0,0,0,374209,42704,66,4,0,0,0,0,0,0,0,0,42774
3,Chemicals,137733,0,523,0,0,0,0,0,0,0,0,138256,15731,0,60,0,0,0,0,0,0,0,0,15791,961,0,0,0,0,0,0,0,0,0,0,961,110,0,0,0,0,0,0,0,0,0,0,110,410,0,0,0,0,0,0,0,0,0,0,410,47,0,0,0,0,0,0,0,0,0,0,47,133377,0,523,0,0,0,0,0,0,0,0,133900,15246,0,60,0,0,0,0,0,0,0,0,15306
4,Construction,122926,95,150,0,95,0,0,0,0,0,0,123266,14040,11,17,0,11,0,0,0,0,0,0,14079,-1316,0,0,0,0,0,0,0,0,0,0,-1316,-150,0,0,0,0,0,0,0,0,0,0,-150,1378,0,0,0,0,0,0,0,0,0,0,1378,158,0,0,0,0,0,0,0,0,0,0,158,124536,95,150,0,94,0,0,0,0,0,0,124875,14235,11,17,0,11,0,0,0,0,0,0,14274
5,Construction Materials,124187,1250,0,0,0,0,0,0,0,0,0,125437,14184,143,0,0,0,0,0,0,0,0,0,14327,193,0,0,0,0,0,0,0,0,0,0,193,22,0,0,0,0,0,0,0,0,0,0,22,1690,0,0,0,0,0,0,0,0,0,0,1690,193,0,0,0,0,0,0,0,0,0,0,193,126115,1250,0,0,0,0,0,0,0,0,0,127365,14416,143,0,0,0,0,0,0,0,0,0,14559
6,Consumer Durables,189879,0,0,0,0,0,0,0,0,0,0,189879,21687,0,0,0,0,0,0,0,0,0,0,21687,-1322,0,0,0,0,0,0,0,0,0,0,-1322,-151,0,0,0,0,0,0,0,0,0,0,-151,-1133,0,0,0,0,0,0,0,0,0,0,-1133,-129,0,0,0,0,0,0,0,0,0,0,-129,186627,0,0,0,0,0,0,0,0,0,0,186627,21332,0,0,0,0,0,0,0,0,0,0,21332
