0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","AUC as on July 31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment July 16-31, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","Net Investment August 01-15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020","AUC as on August 15, 2020"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobiles & Auto Components,138290,317,0,0,138607,18495,42,0,0,18537,953,0,0,0,953,128,0,0,0,128,781,0,0,0,781,105,0,0,0,105,144407,317,0,0,144724,19313,42,0,0,19355
2,Total Financial Services,825974,30333,7050,0,863357,110465,4057,943,0,115465,572,-1377,-905,0,-1710,76,-184,-121,0,-229,6653,105,707,0,7465,890,14,95,0,999,850076,30195,8834,0,889105,113689,4038,1182,0,118909
2a,Banks,480327,6828,0,0,487155,64239,913,0,0,65152,670,-668,0,0,2,90,-89,0,0,1,7441,-42,0,0,7399,995,-6,0,0,989,492200,6768,0,0,498968,65827,905,0,0,66732
2b,Other Financial Services1,345647,23505,7050,0,376202,46227,3144,943,0,50314,-98,-709,-905,0,-1712,-13,-95,-121,0,-229,-788,147,707,0,66,-105,20,95,0,10,357876,23427,8834,0,390137,47862,3133,1182,0,52177
3,Capital Goods,73477,273,20,0,73770,9827,37,3,0,9867,-48,-89,0,0,-137,-6,-12,0,0,-18,385,-53,0,0,332,51,-7,0,0,44,79418,223,20,0,79661,10621,30,3,0,10654
4,Chemicals & Petrochemicals,39467,0,310,0,39777,5278,0,41,0,5319,-61,0,0,0,-61,-8,0,0,0,-8,-63,0,0,0,-63,-8,0,0,0,-8,40612,0,310,0,40922,5431,0,41,0,5472
5,Coal,6053,0,0,0,6053,809,0,0,0,809,-10,0,0,0,-10,-1,0,0,0,-1,-56,0,0,0,-56,-7,0,0,0,-7,6166,0,0,0,6166,825,0,0,0,825
6,Commercial Services & Supplies,6654,0,0,0,6654,890,0,0,0,890,21,0,0,0,21,3,0,0,0,3,-11,0,0,0,-11,-1,0,0,0,-1,7573,0,0,0,7573,1013,0,0,0,1013
7,Construction Materials,48521,359,50,0,48930,6489,48,7,0,6544,-281,0,0,0,-281,-38,0,0,0,-38,-140,0,0,0,-140,-19,0,0,0,-19,47747,359,50,0,48156,6386,48,7,0,6441
8,Consumer Durables,52118,0,0,0,52118,6970,0,0,0,6970,592,0,0,0,592,79,0,0,0,79,379,0,0,0,379,51,0,0,0,51,54930,0,0,0,54930,7346,0,0,0,7346
