0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on August 15, 2019","AUC as on August 15, 2019","AUC as on August 15, 2019","AUC as on August 15, 2019","AUC as on August 15, 2019","AUC as on August 15, 2019","AUC as on August 15, 2019","AUC as on August 15, 2019","Net Investment August 01-15, 2019","Net Investment August 01-15, 2019","Net Investment August 01-15, 2019","Net Investment August 01-15, 2019","Net Investment August 01-15, 2019","Net Investment August 01-15, 2019","Net Investment August 01-15, 2019","Net Investment August 01-15, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","Net Investment August 16-31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019","AUC as on August 31, 2019"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,133294,317,0,133611,18748,45,0,18793,-190,0,0,-190,-27,0,0,-27,267,0,0,267,37,0,0,37,136095,317,0,136412,18966,44,0,19010
2,Total Financial Services,1009215,54024,8849,1072088,141949,7599,1245,150793,-6209,-819,14,-7014,-873,-115,2,-986,-6881,-351,35,-7197,-959,-49,5,-1003,994025,53721,9083,1056829,138523,7486,1266,147275
2a,Banks,580255,7989,0,588244,81615,1124,0,82739,-5405,-64,0,-5469,-760,-9,0,-769,-3503,-263,0,-3766,-488,-37,0,-525,568042,7790,0,575832,79160,1086,0,80246
2b,Other Financial Services1,428961,46035,8849,483845,60335,6475,1245,68055,-804,-755,14,-1545,-113,-106,2,-217,-3378,-88,35,-3431,-471,-12,5,-478,425983,45931,9083,480997,59363,6401,1266,67030
3,Capital Goods,88375,578,0,88953,12430,81,0,12511,-481,0,0,-481,-68,0,0,-68,-93,0,0,-93,-13,0,0,-13,87355,578,0,87933,12174,81,0,12255
4,Chemicals & Petrochemicals,39415,0,0,39415,5544,0,0,5544,22,0,0,22,3,0,0,3,154,0,0,154,22,0,0,22,40840,0,0,40840,5691,0,0,5691
5,Coal,11263,0,0,11263,1584,0,0,1584,152,0,0,152,21,0,0,21,-407,0,0,-407,-57,0,0,-57,9988,0,0,9988,1392,0,0,1392
6,Commercial Services & Supplies,6455,200,0,6655,908,28,0,936,-75,0,0,-75,-11,0,0,-11,114,0,0,114,16,0,0,16,6869,200,0,7069,957,28,0,985
7,Construction Materials,57298,569,0,57867,8059,80,0,8139,-287,0,0,-287,-40,0,0,-40,-816,30,0,-786,-114,4,0,-110,54022,599,0,54621,7528,83,0,7611
8,Consumer Durables,43110,0,0,43110,6063,0,0,6063,-59,0,0,-59,-8,0,0,-8,-238,0,0,-238,-33,0,0,-33,44033,0,0,44033,6136,0,0,6136
9,Diversified2,3301,0,0,3301,464,0,0,464,21,0,0,21,3,0,0,3,0,0,0,0,0,0,0,0,3264,0,0,3264,455,0,0,455
10,Diversified Consumer Services,2754,0,0,2754,387,0,0,387,5,0,0,5,1,0,0,1,-16,0,0,-16,-2,0,0,-2,2799,0,0,2799,390,0,0,390
11,Food & Drugs Retailing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Food, Beverages & Tobacco",104694,662,0,105356,14726,93,0,14819,-504,0,0,-504,-71,0,0,-71,-1680,0,0,-1680,-234,0,0,-234,105580,772,0,106352,14713,108,0,14821
13,Forest Materials,906,335,0,1241,127,47,0,174,-7,0,0,-7,-1,0,0,-1,-14,0,0,-14,-2,0,0,-2,814,335,0,1149,113,47,0,160
14,General Industrials,15872,385,0,16257,2232,54,0,2286,-95,0,0,-95,-13,0,0,-13,-483,0,0,-483,-67,0,0,-67,15679,385,0,16064,2185,54,0,2239
15,Hardware Technology & Equipment,33,0,0,33,5,0,0,5,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,32,0,0,32,4,0,0,4
16,Healthcare Equipment & Supplies,80,0,0,80,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,85,12,0,0,12
17,Healthcare Services,16560,0,0,16560,2329,0,0,2329,23,0,0,23,3,0,0,3,253,0,0,253,35,0,0,35,17881,0,0,17881,2492,0,0,2492
18,"Hotels, Restaurants & Tourism",10562,104,0,10666,1486,15,0,1501,-14,0,0,-14,-2,0,0,-2,121,0,0,121,17,0,0,17,10663,104,0,10767,1486,14,0,1500
19,Household & Personal Products,102937,0,0,102937,14478,0,0,14478,133,0,0,133,19,0,0,19,580,0,0,580,81,0,0,81,104667,0,0,104667,14586,0,0,14586
20,Insurance,48900,0,0,48900,6878,0,0,6878,482,0,0,482,68,0,0,68,3742,0,0,3742,521,0,0,521,56335,0,0,56335,7851,0,0,7851
21,Media,22660,174,0,22834,3187,25,0,3212,279,-1,0,278,39,0,0,39,323,30,0,353,45,4,0,49,24552,210,0,24762,3422,29,0,3451
22,Metals & Mining,40943,577,0,41520,5759,81,0,5840,-335,0,0,-335,-47,0,0,-47,-386,-15,0,-401,-54,-2,0,-56,38990,562,0,39552,5434,78,0,5512
23,Oil & Gas,251331,5883,0,257214,35350,827,0,36177,-2420,94,0,-2326,-340,13,0,-327,-1420,201,0,-1219,-198,28,0,-170,243948,6073,0,250021,33996,846,0,34842
24,Pharmaceuticals & Biotechnology,101438,950,0,102388,14268,134,0,14402,-344,0,0,-344,-48,0,0,-48,-222,0,0,-222,-31,0,0,-31,104189,950,0,105139,14519,132,0,14651
25,Real Estate Investment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Realty,28772,577,0,29349,4047,81,0,4128,-22,0,0,-22,-3,0,0,-3,-13,0,0,-13,-2,0,0,-2,28951,577,0,29528,4035,80,0,4115
27,Retailing,29069,300,0,29369,4089,42,0,4131,78,0,0,78,11,0,0,11,90,0,0,90,13,0,0,13,28946,300,0,29246,4034,42,0,4076
28,Software & Services,344525,0,0,344525,48459,0,0,48459,-2112,0,0,-2112,-297,0,0,-297,-632,0,0,-632,-88,0,0,-88,353827,0,0,353827,49308,0,0,49308
29,Telecom Services,59739,668,0,60407,8402,94,0,8496,650,0,0,650,91,0,0,91,-141,0,0,-141,-20,0,0,-20,58227,668,0,58895,8114,93,0,8207
30,Telecommunications Equipment,164,0,0,164,23,0,0,23,4,0,0,4,1,0,0,1,1,0,0,1,0,0,0,0,165,0,0,165,23,0,0,23
31,"Textiles, Apparels & Accessories",39598,0,0,39598,5570,0,0,5570,-81,0,0,-81,-11,0,0,-11,-192,0,0,-192,-27,0,0,-27,40242,0,0,40242,5608,0,0,5608
32,Transportation,39446,699,0,40145,5548,98,0,5646,-326,0,0,-326,-46,0,0,-46,-190,0,0,-190,-26,0,0,-26,40304,699,0,41003,5617,97,0,5714
32 a,Airlines,9963,699,0,10662,1401,98,0,1499,-46,0,0,-46,-6,0,0,-6,81,0,0,81,11,0,0,11,10551,699,0,11250,1470,97,0,1567
32 b,Logistics,1659,0,0,1659,233,0,0,233,-1,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,1601,0,0,1601,223,0,0,223
32 c,Marine Port & Services,16673,0,0,16673,2345,0,0,2345,-197,0,0,-197,-28,0,0,-28,-203,0,0,-203,-28,0,0,-28,16738,0,0,16738,2333,0,0,2333
32 d,Roads & Highways,1953,0,0,1953,275,0,0,275,29,0,0,29,4,0,0,4,-27,0,0,-27,-4,0,0,-4,1682,0,0,1682,234,0,0,234
32 e,Shipping,968,0,0,968,136,0,0,136,1,0,0,1,0,0,0,0,-19,0,0,-19,-3,0,0,-3,958,0,0,958,134,0,0,134
32 f,Surface Transportation,40,0,0,40,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,44,6,0,0,6
32 g,Transport Related Services,8191,0,0,8191,1152,0,0,1152,-113,0,0,-113,-16,0,0,-16,-21,0,0,-21,-3,0,0,-3,8729,0,0,8729,1216,0,0,1216
33,Utilities3,82961,4127,0,87088,11669,580,0,12249,-50,668,0,618,-7,94,0,87,475,34,0,509,66,5,0,71,84229,4158,0,88387,11738,579,0,12317
34,Sovereign,0,209621,0,209621,0,29484,0,29484,0,807,0,807,0,114,0,114,0,3470,0,3470,0,484,0,484,0,211307,0,211307,0,29447,0,29447
35,Others4,13479,145668,2961,162108,1896,20489,416,22801,-681,886,0,205,-96,125,0,29,2554,6637,-1,9190,356,925,0,1281,14076,152095,2961,169132,1962,21195,413,23570
,Grand Total,2749148,426419,11809,3187376,386677,59977,1661,448315,-12441,1635,14,-10792,-1750,230,2,-1518,-5151,10037,35,4921,-718,1399,5,686,2751674,434611,12043,3198328,383463,60566,1678,445707
