0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,,"AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","AUC as on November 30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment November 16-30, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","Net Investment December 01-15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023","AUC as on December 15, 2023"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total,Equity,Debt,Debt VRR,Hybrid,Total
1,Automobile and Auto Components,384535,13,11,0,384559,46135,2,1,0,46138,2132,-1,0,0,2131,256,0,0,0,256,3309,0,0,0,3309,398,0,0,0,398,399156,13,11,0,399180,47987,2,1,0,47990
2,Capital Goods,248334,149,0,0,248483,29794,18,0,0,29812,2524,0,0,0,2524,303,0,0,0,303,2989,0,0,0,2989,359,0,0,0,359,262951,149,0,0,263100,31612,18,0,0,31630
3,Chemicals,97452,0,0,0,97452,11692,0,0,0,11692,-12,0,0,0,-12,-1,0,0,0,-1,-120,0,0,0,-120,-14,0,0,0,-14,101060,0,0,0,101060,12150,0,0,0,12150
4,Construction,120842,441,2178,0,123461,14498,53,261,0,14812,-576,0,0,0,-576,-69,0,0,0,-69,1096,-4,0,0,1092,132,0,0,0,132,135702,437,2178,0,138317,16314,52,262,0,16628
5,Construction Materials,101524,958,837,0,103319,12180,115,100,0,12395,644,0,0,0,644,77,0,0,0,77,2007,-56,-281,0,1670,241,-7,-34,0,200,114004,896,556,0,115456,13706,108,67,0,13881
6,Consumer Durables,190902,0,0,0,190902,22904,0,0,0,22904,180,0,0,0,180,22,0,0,0,22,130,0,0,0,130,16,0,0,0,16,197054,0,0,0,197054,23690,0,0,0,23690
7,Consumer Services,170760,1109,545,0,172414,20487,133,65,0,20685,3534,0,0,0,3534,424,0,0,0,424,2850,0,0,0,2850,343,0,0,0,343,181871,1109,545,0,183525,21865,133,65,0,22063
8,Diversified,3894,179,0,0,4073,467,22,0,0,489,-22,0,0,0,-22,-3,0,0,0,-3,-19,0,0,0,-19,-2,0,0,0,-2,4010,179,0,0,4189,482,22,0,0,504
9,Fast Moving Consumer Goods,388673,144,0,0,388817,46631,17,0,0,46648,-643,0,0,0,-643,-77,0,0,0,-77,315,0,0,0,315,38,0,0,0,38,396010,144,0,0,396154,47609,17,0,0,47626
10,Financial Services,1801596,18420,5409,0,1825425,216148,2210,649,0,219007,-2427,186,-234,0,-2475,-291,22,-28,0,-297,22891,684,-14,0,23561,2752,82,-2,0,2832,1941167,19267,5371,0,1965805,233369,2316,646,0,236331
11,Forest Materials,2551,497,0,0,3048,306,60,0,0,366,-45,0,0,0,-45,-5,0,0,0,-5,-36,-10,0,0,-46,-4,-1,0,0,-5,2566,487,0,0,3053,309,59,0,0,368
12,Healthcare,317402,406,0,0,317808,38081,49,0,0,38130,360,0,0,0,360,43,0,0,0,43,3449,0,0,0,3449,415,0,0,0,415,322262,406,0,0,322668,38743,49,0,0,38792
13,Information Technology,548415,0,385,0,548800,65797,0,46,0,65843,1991,0,0,0,1991,239,0,0,0,239,1422,0,0,0,1422,171,0,0,0,171,602397,0,385,0,602782,72421,0,46,0,72467
14,"Media, Entertainment & Publication",19503,0,115,0,19618,2340,0,14,0,2354,-498,0,0,0,-498,-60,0,0,0,-60,-1211,0,0,0,-1211,-146,0,0,0,-146,19242,0,115,0,19357,2313,0,14,0,2327
15,Metals & Mining,161412,71,1500,0,162983,19366,9,180,0,19555,412,0,0,0,412,49,0,0,0,49,12,0,0,0,12,1,0,0,0,1,182300,71,1500,0,183871,21916,8,180,0,22104
16,"Oil, Gas & Consumable Fuels",472586,418,0,0,473004,56699,50,0,0,56749,988,0,0,0,988,119,0,0,0,119,-3954,0,0,0,-3954,-475,0,0,0,-475,497284,418,0,0,497702,59784,50,0,0,59834
17,Power,201661,3666,105,6514,211946,24195,440,13,782,25430,-1563,0,0,-28,-1591,-188,0,0,-3,-191,91,0,0,-26,65,11,0,0,-3,8,245237,3665,105,6525,255532,29483,441,13,784,30721
18,Realty,99153,139,667,13651,113610,11896,17,80,1638,13631,860,0,0,-15,845,103,0,0,-2,101,-103,0,0,101,-2,-12,0,0,12,0,106470,139,667,13935,121211,12800,17,80,1675,14572
19,Services,95557,1014,0,4050,100621,11465,122,0,486,12073,-86,0,0,3,-83,-10,0,0,0,-10,919,0,0,-3,916,111,0,0,0,111,109971,1014,0,4046,115031,13221,122,0,486,13829
20,Telecommunication,158064,363,0,3894,162321,18964,44,0,467,19475,812,-85,0,0,727,97,-10,0,0,87,2675,-30,0,0,2645,322,-4,0,0,318,159541,308,0,3894,163743,19180,37,0,468,19685
21,Textiles,19152,363,0,0,19515,2298,44,0,0,2342,-38,0,0,0,-38,-5,0,0,0,-5,-85,0,0,0,-85,-10,0,0,0,-10,19382,363,0,0,19745,2330,44,0,0,2374
