0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
,,"AUC as on December 15, 2017","AUC as on December 15, 2017","AUC as on December 15, 2017","AUC as on December 15, 2017","AUC as on December 15, 2017","AUC as on December 15, 2017","AUC as on December 15, 2017","AUC as on December 15, 2017","Net Investment December 01-15, 2017","Net Investment December 01-15, 2017","Net Investment December 01-15, 2017","Net Investment December 01-15, 2017","Net Investment December 01-15, 2017","Net Investment December 01-15, 2017","Net Investment December 01-15, 2017","Net Investment December 01-15, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","Net Investment December 16-31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017","AUC as on December 31, 2017"
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn
Sr. No.,Sectors,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total,Equity,Debt,Hybrid,Total
1,Automobiles & Auto Components,192983,347,0,193330,30108,54,0,30163,-330,0,0,-330,-52,0,0,-52,-316,0,0,-316,-49,0,0,-49,201104,347,0,201451,31458,54,0,31513
2,Total Financial Services,612007,57982,0,669990,95483,9046,0,104529,227,463,0,690,35,72,0,108,3350,235,0,3585,524,37,0,561,612588,58152,0,670740,95826,9097,0,104922
2a,Banks,298440,5749,0,304189,46562,897,0,47458,36,-75,0,-39,6,-12,0,-6,3314,8,0,3322,518,1,0,520,295706,5748,0,301454,46257,899,0,47156
2b,Other Financial Services1,313568,52234,0,365801,48922,8149,0,57071,191,538,0,729,30,84,0,114,36,227,0,263,6,35,0,41,316882,52403,0,369286,49569,8197,0,57766
3,Capital Goods,127541,883,0,128424,19898,138,0,20036,-1034,0,0,-1034,-161,0,0,-161,537,0,0,537,84,0,0,84,134474,953,0,135427,21035,149,0,21185
4,Chemicals & Petrochemicals,34433,0,0,34433,5372,0,0,5372,94,0,0,94,15,0,0,15,-178,0,0,-178,-28,0,0,-28,35914,0,0,35914,5618,0,0,5618
5,Coal,10202,0,0,10202,1592,0,0,1592,-62,0,0,-62,-10,0,0,-10,-147,0,0,-147,-23,0,0,-23,9768,0,0,9768,1528,0,0,1528
6,Commercial Services & Supplies,8829,200,0,9029,1377,31,0,1409,106,0,0,106,16,0,0,16,69,0,0,69,11,0,0,11,9365,200,0,9565,1465,31,0,1496
7,Construction Materials,60043,774,0,60817,9368,121,0,9488,-424,151,0,-273,-66,24,0,-43,-215,0,0,-215,-34,0,0,-34,60992,774,0,61766,9541,121,0,9662
8,Consumer Durables,4437,0,0,4437,692,0,0,692,-152,0,0,-152,-24,0,0,-24,-4,0,0,-4,-1,0,0,-1,4641,0,0,4641,726,0,0,726
9,Diversified2,2240,0,0,2240,349,0,0,349,35,0,0,35,5,0,0,5,0,0,0,0,0,0,0,0,2560,0,0,2560,400,0,0,400
10,Diversified Consumer Services,237,0,0,237,37,0,0,37,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,245,0,0,245,38,0,0,38
11,"Food, Beverages & Tobacco",105678,89,0,105767,16488,14,0,16501,182,0,0,182,28,0,0,28,-2,0,0,-2,0,0,0,0,107024,89,0,107113,16742,14,0,16755
12,Forest Materials,1688,0,0,1688,263,0,0,263,19,0,0,19,3,0,0,3,40,0,0,40,6,0,0,6,1793,0,0,1793,280,0,0,280
13,General Industrials,21383,385,0,21768,3336,60,0,3396,5,0,0,5,1,0,0,1,1,0,0,1,0,0,0,0,22739,385,0,23124,3557,60,0,3617
14,Hardware Technology & Equipment,41,0,0,41,6,0,0,6,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,42,0,0,42,7,0,0,7
15,Healthcare Equipment & Supplies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
16,Healthcare Services,10098,0,0,10098,1575,0,0,1575,104,0,0,104,16,0,0,16,92,0,0,92,14,0,0,14,10652,0,0,10652,1666,0,0,1666
17,"Hotels, Restaurants & Tourism",9114,182,0,9297,1422,28,0,1450,-16,0,0,-16,-2,0,0,-2,88,-125,0,-37,14,-20,0,-6,9430,57,0,9487,1475,9,0,1484
18,Household & Personal Products,91455,0,0,91455,14268,0,0,14268,-163,0,0,-163,-25,0,0,-25,-12,0,0,-12,-2,0,0,-2,93683,0,0,93683,14655,0,0,14655
19,Media,35241,582,0,35823,5498,91,0,5589,-206,0,0,-206,-32,0,0,-32,145,0,0,145,23,0,0,23,36461,582,0,37043,5704,91,0,5795
20,Metals & Mining,58742,742,0,59485,9165,116,0,9281,-364,-9,0,-373,-57,-1,0,-58,602,0,0,601,94,0,0,94,65490,715,0,66205,10245,112,0,10356
21,Oil & Gas,206758,1569,0,208326,32258,245,0,32502,-228,173,0,-55,-36,27,0,-9,561,309,0,870,88,48,0,136,206497,1877,0,208374,32302,294,0,32596
22,Pharmaceuticals & Biotechnology,102842,0,0,102842,16045,0,0,16045,253,0,0,253,39,0,0,39,455,0,0,455,71,0,0,71,108614,0,0,108614,16990,0,0,16990
23,Realty,25023,551,0,25574,3904,86,0,3990,-274,0,0,-274,-43,0,0,-43,-78,0,0,-78,-12,0,0,-12,27062,551,0,27613,4233,86,0,4319
24,Retailing,8303,0,0,8303,1295,0,0,1295,44,0,0,44,7,0,0,7,36,0,0,36,6,0,0,6,9150,0,0,9150,1431,0,0,1431
25,Software & Services,221909,0,0,221909,34621,0,0,34621,-42,0,0,-42,-7,0,0,-7,-6043,0,0,-6043,-945,0,0,-945,237103,0,0,237103,37089,0,0,37089
26,Telecom Services,52032,2353,0,54385,8118,367,0,8485,164,0,0,164,26,0,0,26,-389,0,0,-389,-61,0,0,-61,54391,2353,0,56744,8508,368,0,8876
27,Telecommunications Equipment,518,0,0,518,81,0,0,81,-1,0,0,-1,0,0,0,0,1,0,0,1,0,0,0,0,543,0,0,543,85,0,0,85
28,"Textiles, Apparels & Accessories",38367,9,0,38376,5986,1,0,5987,6,0,0,6,1,0,0,1,54,0,0,54,8,0,0,8,40716,9,0,40725,6369,1,0,6371
29,Transportation,33175,719,0,33895,5176,112,0,5288,-833,0,0,-833,-130,0,0,-130,-301,-3,0,-304,-47,0,0,-48,33962,717,0,34679,5313,112,0,5425
29 a,Airlines,1009,699,0,1708,157,109,0,266,41,0,0,41,6,0,0,6,34,0,0,34,5,0,0,5,1130,699,0,1829,177,109,0,286
29 b,Logistics,2642,0,0,2642,412,0,0,412,-13,0,0,-13,-2,0,0,-2,2,0,0,2,0,0,0,0,2742,0,0,2742,429,0,0,429
29 c,Marine Port & Services,17685,0,0,17685,2759,0,0,2759,-751,0,0,-751,-117,0,0,-117,-354,0,0,-354,-55,0,0,-55,17441,0,0,17441,2728,0,0,2728
29 d,Roads & Highways,1880,20,0,1900,293,3,0,296,-115,0,0,-115,-18,0,0,-18,40,-3,0,37,6,0,0,6,2172,18,0,2190,340,3,0,343
29 e,Shipping,1623,0,0,1623,253,0,0,253,3,0,0,3,0,0,0,0,-3,0,0,-3,0,0,0,0,1638,0,0,1638,256,0,0,256
29 f,Surface Transportation,57,0,0,57,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,59,9,0,0,9
29 g,Transport Related Services,8280,0,0,8280,1292,0,0,1292,2,0,0,2,0,0,0,0,-20,0,0,-20,-3,0,0,-3,8779,0,0,8779,1373,0,0,1373
30,Utilities3,89300,6054,0,95354,13932,945,0,14877,257,-159,0,98,40,-25,0,15,428,109,0,537,67,17,0,84,92705,6158,0,98864,14502,963,0,15465
31,Sovereign,0,245511,0,245511,0,38304,0,38304,0,320,0,320,0,50,0,50,0,450,0,450,0,70,0,70,0,244461,0,244461,0,38240,0,38240
32,Others4,581863,134901,0,716764,90780,21047,0,111827,116,181,0,297,18,28,0,46,-2140,257,-11,-1894,-335,40,-2,-296,594677,134888,2630,732194,93024,21100,411,114535
,Grand Total,2746482,453833,0,3200318,428493,70806,0,499298,-2517,1120,0,-1397,-395,175,0,-220,-3366,1231,-11,-2145,-527,192,-2,-337,2824386,453267,2630,3280283,441812,70902,411,513125
